lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-135.44,60.44,4,16112,-158.368,57.13399999999999,0.033,239,-156.47,55.59,5.56,2.02,1.76,-139.27,0.15,324.2,901,111,8.6,8.6,5.56,0.2,0.2,-1.33,-1.15,-4.34,-12.85,4.23,-0.97,43.9,0.06,49.88,111.62,2.19,NA_DEPOSIT
-129.62,53.05,8,16112,-159.36,57.113,0.03,243,-157.53,55.72,5.56,4.23,1.76,-136.88,0.18,321.52,901,111,9.42,9.42,5.55,0.41,0.41,-1.29,-1.2,-4.34,-10.71,4.27,-0.81,35.13,0.07,63.19,98.88,2.03,NA_DEPOSIT
-121.05,50.49,210,16102,-53.566,26.276999999999997,0.066,1226,-57.72,27.03,5.58,12.95,4.01,-122.18,0.19,102.81,131,101,0.09,0.09,5.44,1.25,1.25,-2.13,-3.39,-3.95,-32.79,3.32,-2.14,32.98,0.07,0.0,95.38,2.38,NA_DEPOSIT
-128.63,53.49,8,16112,-160.65,56.846000000000004,0.033,238,-158.86,55.21,5.65,-4.06,1.74,-144.59,0.15,328.73,901,111,10.33,10.33,5.64,-0.4,0.4,-1.42,-1.01,-4.46,-18.6,4.23,-1.42,33.63,0.05,67.0,96.27,2.08,NA_DEPOSIT
-128.71,53.89,7,16112,-160.654,56.684,0.033,235,-158.88,55.06,5.67,-4.34,1.73,-144.75,0.15,328.88,901,111,10.33,10.33,5.66,-0.43,0.43,-1.42,-1.0,-4.48,-18.78,4.25,-1.44,35.84,0.06,65.57,99.77,2.12,NA_DEPOSIT
-126.68,57.22,221,16102,-51.141000000000005,29.781,0.064,1459,-55.39,30.09,5.76,19.84,-2.29,-88.34,0.2,93.5,131,101,6.93,6.93,5.42,1.96,1.96,0.07,-2.29,-5.5,-3.51,5.49,-0.34,38.8,0.08,0.0,108.76,2.54,NA_DEPOSIT
-130.99,57.36,222,16101,-53.135,31.186999999999998,0.033,1472,-55.32,31.28,5.85,19.54,-2.29,-87.55,0.2,93.43,131,101,8.33,8.33,5.51,1.96,1.96,0.1,-2.29,-5.63,-3.44,5.62,-0.34,37.33,0.08,0.0,166.64,2.53,NA_DEPOSIT
-122.29,52.52,210,16113,-53.148,28.416999999999998,0.063,1314,-57.15,29.24,5.87,12.3,4.09,-123.95,0.19,103.08,131,101,2.37,2.37,5.74,1.25,1.25,-2.28,-3.39,-4.07,-31.66,3.47,-2.14,35.17,0.07,0.0,98.84,2.4,NA_DEPOSIT
-126.5,54.48,21,173,-116.564,51.667,0.064,291,-122.33,50.91,6.55,-29.12,2.14,165.25,0.19,75.21,903,101,1.87,13.72,5.72,-3.19,3.19,-2.07,0.54,-4.5,-35.64,3.66,-2.62,14.1,0.05,43.24,64.42,1.67,NA_DEPOSIT
-135.25,60.03,38,16110,-117.59299999999999,54.853,0.006999999999999999,265,-118.02,54.54,6.64,-3.35,2.38,-144.69,0.19,44.65,903,101,14.71,44.02,6.63,-0.39,0.39,-1.94,-1.38,-4.98,-20.5,4.66,-1.74,18.68,0.06,44.76,69.57,1.9,NA_DEPOSIT
-131.88,58.24,218,16101,-53.121,33.298,0.036000000000000004,1446,-55.56,33.4,6.66,25.3,4.26,-113.06,0.2,90.38,131,101,9.32,9.32,6.02,2.85,2.85,-1.67,-3.92,-4.49,-13.77,4.36,-1.07,33.91,0.08,0.0,96.8,2.48,NA_DEPOSIT
-120.85,40.2,103,16105,-89.728,70.007,0.03,285,-92.77,68.66,6.8,49.01,-4.71,-57.93,0.2,3.06,902,182,0.1,0.1,4.46,5.13,5.13,2.5,-3.99,-7.03,9.14,6.94,1.12,50.67,0.07,57.24,119.27,2.48,NA_DEPOSIT
-120.48,49.63,103,16104,-86.655,68.057,0.038,296,-92.53,68.22,6.86,-39.23,4.72,-146.56,0.17,91.79,902,101,0.44,57.77,5.31,-4.34,4.34,-3.94,-2.6,-7.05,-78.94,1.35,-6.92,50.67,0.08,57.24,119.92,2.48,NA_DEPOSIT
-135.28,59.98,37,16110,-117.095,54.022,0.004,308,-117.22,53.82,7.04,-2.78,2.4,-145.2,0.19,45.48,903,101,15.67,43.29,7.03,-0.34,0.34,-1.97,-1.37,-5.32,-18.55,5.04,-1.69,20.99,0.07,40.79,75.84,1.91,NA_DEPOSIT
-135.49,60.14,35,16110,-117.022,54.428000000000004,0.015,313,-117.94,53.75,7.16,-2.01,2.39,-145.32,0.19,45.24,903,101,15.67,43.75,7.15,-0.25,0.25,-1.96,-1.36,-5.41,-17.08,5.17,-1.59,20.43,0.07,42.06,74.81,1.92,NA_DEPOSIT
-137.08,59.02,50,16101,-113.04700000000001,60.718999999999994,0.076,211,-119.87,58.06,7.31,-13.66,2.6,150.2,0.15,48.19,903,101,10.66,46.59,7.1,-1.73,1.73,-2.26,1.29,-4.87,-5.03,4.85,-0.43,1.4,0.01,13.4,44.48,1.03,NA_DEPOSIT
-101.95,19.0,50,16101,-114.529,59.373999999999995,0.052000000000000005,215,-118.97,57.51,7.43,-14.0,2.63,149.92,0.19,49.51,903,101,11.39,45.86,7.21,-1.8,1.8,-2.27,1.32,-4.96,-5.48,4.94,-0.47,0.54,0.01,8.66,43.25,0.22,NA_DEPOSIT
-120.98,48.2,49,16101,-113.245,60.666000000000004,0.079,212,-120.08,57.8,7.44,-12.72,3.22,151.53,0.2,48.18,903,101,10.64,46.67,7.26,-1.64,1.64,-2.83,1.54,-4.44,-1.1,4.44,-0.08,1.75,0.02,8.25,45.0,1.0,NA_DEPOSIT
-127.85,50.68,48,16101,-114.23700000000001,59.817,0.068,213,-120.03,57.39,7.55,-12.15,3.22,150.9,0.19,48.97,903,101,10.83,46.6,7.38,-1.59,1.59,-2.82,1.57,-4.58,-0.04,4.58,0.0,0.9,0.02,11.14,43.77,0.72,NA_DEPOSIT
-127.58,50.33,48,16101,-114.73200000000001,59.251999999999995,0.057999999999999996,214,-119.8,57.25,7.6,-12.08,3.23,150.95,0.19,49.16,903,101,11.02,46.41,7.43,-1.59,1.59,-2.82,1.57,-4.62,-0.03,4.62,0.0,0.9,0.02,11.14,43.77,0.72,NA_DEPOSIT
-158.41,56.15,48,16101,-115.26799999999999,58.788000000000004,0.05,216,-119.35,56.96,7.68,-11.94,3.24,151.06,0.19,49.54,903,101,11.39,46.04,7.52,-1.59,1.59,-2.83,1.57,-4.7,-0.03,4.7,0.0,0.9,0.02,11.14,43.77,0.72,NA_DEPOSIT
-124.96,55.11,154,16110,-65.692,45.325,0.032,514,-68.32,45.36,7.68,4.01,3.12,-92.78,0.19,88.14,902,16111,5.79,5.79,7.67,0.54,0.54,-0.15,-3.12,-7.94,-19.18,7.5,-2.61,96.9,0.15,17.97,155.29,2.78,NA_DEPOSIT
-160.68,55.63,48,16101,-114.492,58.873999999999995,0.055999999999999994,217,-119.13,56.82,7.73,-11.87,3.24,151.11,0.19,49.72,903,101,11.58,45.85,7.56,-1.59,1.59,-2.84,1.57,-4.74,-0.03,4.74,0.0,0.9,0.02,5.58,43.77,0.72,NA_DEPOSIT
-142.99,63.61,105,16104,-84.66,67.657,0.04,299,-90.68,67.89,7.79,-52.09,3.49,-165.73,0.17,93.22,902,101,0.26,57.95,4.78,-6.14,6.14,-3.38,-0.86,-7.12,-78.95,1.37,-6.99,48.49,0.07,62.02,118.07,2.47,NA_DEPOSIT
-118.43,38.62,106,16105,-87.305,70.104,0.04,289,-90.11,68.07,7.79,36.58,-3.51,-77.04,0.2,4.75,902,182,0.1,0.1,6.26,4.64,4.64,0.79,-3.42,-7.13,9.6,7.03,1.19,49.58,0.1,70.98,120.06,2.47,NA_DEPOSIT
-118.08,38.49,108,16101,-81.469,66.598,0.048,297,-88.42,66.9,8.06,-53.38,3.68,-169.44,0.18,97.16,902,101,0.96,57.25,4.81,-6.47,6.47,-3.61,-0.67,-7.23,-80.74,1.16,-7.13,52.47,0.07,79.18,123.1,2.23,NA_DEPOSIT
-127.94,54.84,97,16102,-82.546,53.898999999999994,0.064,478,-88.74,54.33,8.24,-29.41,4.91,-161.02,0.19,105.38,902,101,16.82,41.39,7.18,-4.05,4.05,-4.65,-1.6,-6.16,-65.85,2.52,-5.62,69.98,0.13,39.27,140.67,2.12,NA_DEPOSIT
-130.34,57.74,205,16101,-55.213,37.402,0.040999999999999995,1068,-58.2,37.38,8.28,41.8,4.87,-112.76,0.2,87.09,131,101,8.53,8.53,6.17,5.52,5.52,-1.88,-4.49,-4.39,13.86,4.27,1.05,77.7,0.12,7.6,136.03,2.53,NA_DEPOSIT
-130.26,57.66,205,16101,-55.227,37.312,0.040999999999999995,1069,-58.19,37.18,8.29,41.77,4.86,-112.61,0.2,87.1,131,101,8.33,8.33,6.18,5.52,5.52,-1.87,-4.49,-4.41,13.8,4.29,1.05,77.7,0.12,7.6,136.03,2.53,NA_DEPOSIT
-126.73,57.23,201,16102,-54.405,37.582,0.064,961,-59.03,37.36,8.32,41.56,4.83,-111.71,0.2,85.19,131,101,6.93,6.93,6.23,5.52,5.52,-1.79,-4.49,-4.54,13.44,4.42,1.06,29.67,0.08,0.55,114.57,2.49,NA_DEPOSIT
-126.67,57.2,202,16102,-54.17100000000001,37.12,0.064,986,-58.79,36.97,8.32,41.56,4.83,-111.68,0.2,85.69,131,101,6.93,6.93,6.23,5.52,5.52,-1.78,-4.49,-4.54,13.42,4.42,1.05,28.43,0.08,0.33,113.62,2.49,NA_DEPOSIT
-125.36,55.53,200,16113,-54.875,36.15,0.059000000000000004,1027,-59.05,35.76,8.37,41.29,4.78,-110.22,0.2,84.83,131,101,4.94,4.94,6.29,5.52,5.52,-1.65,-4.49,-4.73,12.9,4.61,1.06,31.37,0.08,0.83,115.44,2.49,NA_DEPOSIT
-120.99,50.54,208,16102,-53.74,27.151,0.067,1115,-57.96,28.01,8.45,27.25,4.64,-120.01,0.19,101.96,131,101,0.28,0.28,7.52,3.87,3.87,-2.32,-4.01,-5.18,-1.3,5.18,-0.12,32.57,0.09,0.0,94.72,2.38,NA_DEPOSIT
-160.68,55.64,49,16110,-112.915,54.912,0.013000000000000001,272,-113.96,54.45,8.46,-4.61,3.36,159.83,0.19,45.95,903,101,15.48,41.82,8.43,-0.68,0.68,-3.16,1.16,-5.31,5.37,5.29,0.5,6.82,0.05,39.42,52.77,1.75,NA_DEPOSIT
-120.99,50.5,203,16102,-54.431999999999995,29.224,0.067,989,-58.78,29.79,8.46,27.24,4.63,-120.04,0.19,99.71,131,101,0.09,0.09,7.52,3.87,3.87,-2.32,-4.01,-5.19,-1.23,5.18,-0.11,65.47,0.13,0.23,115.2,2.49,NA_DEPOSIT
-120.99,50.42,208,16102,-53.806000000000004,27.046,0.066,1108,-58.0,27.82,8.46,27.24,4.63,-119.87,0.19,101.94,131,101,0.09,0.09,7.52,3.87,3.87,-2.31,-4.01,-5.2,-1.3,5.2,-0.12,32.57,0.09,0.0,94.72,2.38,NA_DEPOSIT
-117.5,38.33,207,178,-57.422,15.561,0.07200000000000001,815,-61.51,14.39,8.47,54.15,-4.16,-80.13,0.2,73.32,131,101,8.28,8.28,4.96,6.87,6.87,0.71,-4.1,-6.3,26.23,5.65,2.78,33.0,0.06,0.0,97.84,2.39,NA_DEPOSIT
-160.63,55.25,49,16110,-113.57700000000001,54.505,0.004,278,-113.73,54.31,8.5,-4.59,3.37,159.86,0.19,46.14,903,101,15.67,41.63,8.47,-0.68,0.68,-3.16,1.16,-5.35,5.34,5.32,0.5,6.82,0.05,39.42,52.77,1.75,NA_DEPOSIT
-127.97,50.71,180,101,-54.982,20.511999999999997,0.083,642,-59.8,19.02,8.73,49.43,-6.77,-69.26,0.19,71.52,902,101,0.29,0.29,5.68,6.64,6.64,2.4,-6.33,-8.1,2.13,8.1,0.3,78.4,0.11,5.46,147.13,2.78,NA_DEPOSIT
-110.95,33.4,60,104,-92.309,29.614,0.042,462,-94.51,28.13,8.86,6.01,4.15,-162.71,0.19,49.77,902,101,8.12,8.12,8.81,0.93,0.93,-3.96,-1.23,-4.87,-3.67,4.86,-0.31,46.66,0.13,17.44,115.7,2.31,NA_DEPOSIT
-142.51,63.37,58,104,-94.585,32.76,0.053,441,-97.67,31.22,9.11,-3.44,1.63,-170.62,0.18,57.79,902,101,12.17,12.17,9.1,-0.55,0.55,-1.6,-0.26,-7.54,-6.29,7.49,-0.83,43.38,0.12,7.47,111.18,2.37,NA_DEPOSIT
-126.9,54.81,58,104,-95.40700000000001,33.095,0.045,437,-98.07,31.83,9.15,-7.97,1.61,-175.11,0.17,62.13,902,101,12.87,12.87,9.06,-1.27,1.27,-1.6,-0.14,-7.59,-10.78,7.46,-1.42,43.9,0.12,7.47,111.91,2.37,NA_DEPOSIT
-110.72,31.49,60,104,-95.065,33.38,0.047,434,-97.95,32.24,9.16,-7.93,4.2,-176.78,0.17,61.95,902,101,13.22,13.22,9.07,-1.26,1.26,-4.19,-0.24,-5.1,-17.16,4.88,-1.51,44.44,0.12,10.46,112.66,2.33,NA_DEPOSIT
-109.7,30.27,57,104,-93.914,31.592,0.053,452,-96.67,29.68,9.28,5.9,1.66,-162.34,0.18,49.89,902,101,10.38,10.38,9.23,0.95,0.95,-1.58,-0.5,-7.66,3.26,7.65,0.44,44.27,0.12,8.64,112.42,2.38,NA_DEPOSIT
-109.03,27.0,59,101,-96.11,37.07,0.063,414,-100.16,35.59,9.34,-12.5,1.51,-179.68,0.2,65.59,902,101,17.04,17.04,9.11,-2.02,2.02,-1.51,-0.01,-7.87,-15.04,7.6,-2.04,51.04,0.15,24.17,121.44,2.27,NA_DEPOSIT
-110.48,32.75,59,101,-96.25,37.179,0.061,411,-100.43,36.13,9.36,-18.47,1.5,174.28,0.19,71.44,902,101,17.62,17.62,8.88,-2.96,2.96,-1.49,0.15,-7.91,-20.96,7.38,-2.83,50.55,0.14,24.17,120.82,2.27,NA_DEPOSIT
-111.07,31.98,59,101,-96.37299999999999,37.357,0.06,410,-100.5,36.31,9.36,-18.46,1.49,174.26,0.19,71.4,902,101,17.81,17.81,8.88,-2.96,2.96,-1.48,0.15,-7.92,-20.93,7.4,-2.83,50.55,0.14,24.17,120.82,2.29,NA_DEPOSIT
-110.18,30.85,60,101,-96.47399999999999,37.801,0.059000000000000004,408,-100.5,36.72,9.37,-18.41,4.22,172.47,0.19,71.26,902,101,18.18,18.18,8.89,-2.96,2.96,-4.19,0.55,-5.29,-27.16,4.71,-2.41,51.37,0.14,25.9,121.87,2.25,NA_DEPOSIT
