lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-69.29,-42.26,3,283,-68.765,-42.103,0.077,748,-74.68,-41.7,8.85,-17.06,1.59,151.8,0.17,96.87,911,201,9.93,9.93,8.46,-2.6,2.6,-1.41,0.75,-7.29,-14.58,7.05,-1.83,15.51,0.07,85.01,71.41,1.55,SA_VOLCANIC
-70.14,-41.77,0,283,-70.14,-41.77,0.066,770,-75.17,-41.52,8.86,-14.89,1.62,154.22,0.16,94.17,911,201,10.28,10.28,8.57,-2.28,2.28,-1.46,0.7,-7.28,-12.43,7.11,-1.57,14.73,0.06,89.47,64.84,1.42,SA_VOLCANIC
-72.95,-41.87,0,283,-72.95,-41.87,0.028999999999999998,769,-75.19,-41.68,8.86,-17.54,1.61,151.51,0.17,96.83,911,201,10.11,10.11,8.45,-2.67,2.67,-1.42,0.77,-7.28,-15.07,7.03,-1.89,14.73,0.06,89.47,64.84,1.42,SA_VOLCANIC
-70.28,-41.53,3,283,-69.752,-41.372,0.064,751,-74.61,-41.19,8.86,-14.39,1.61,154.65,0.16,94.18,911,201,10.44,10.44,8.58,-2.2,2.2,-1.45,0.69,-7.29,-11.93,7.13,-1.51,18.35,0.07,90.53,71.41,1.56,SA_VOLCANIC
-69.36,-41.77,3,283,-68.835,-41.613,0.076,750,-74.63,-41.36,8.86,-14.4,1.6,154.58,0.16,94.19,911,201,10.28,10.28,8.58,-2.2,2.2,-1.45,0.69,-7.29,-11.93,7.13,-1.51,18.35,0.07,90.53,71.41,1.56,SA_VOLCANIC
-70.67,-41.45,0,283,-70.67,-41.45,0.059000000000000004,772,-75.13,-41.18,8.87,-18.72,1.62,150.5,0.18,98.0,911,201,10.61,10.61,8.4,-2.85,2.85,-1.41,0.8,-7.28,-16.28,6.99,-2.04,20.52,0.08,99.9,73.42,1.49,SA_VOLCANIC
-72.22,-41.3,2,283,-71.86399999999999,-41.193999999999996,0.038,755,-74.74,-40.9,8.87,-18.38,1.62,150.81,0.18,97.99,911,201,10.79,10.79,8.42,-2.8,2.8,-1.41,0.79,-7.29,-15.94,7.01,-2.0,17.9,0.07,92.4,75.05,1.55,SA_VOLCANIC
-70.22,-41.04,0,283,-70.22,-41.04,0.064,776,-75.06,-40.83,8.88,-18.7,1.63,150.65,0.18,97.96,911,201,10.97,10.97,8.41,-2.85,2.85,-1.42,0.8,-7.29,-16.27,6.99,-2.04,20.52,0.08,99.9,73.42,1.49,SA_VOLCANIC
-72.27,-41.3,0,283,-72.27,-41.3,0.038,775,-75.1,-41.0,8.88,-18.71,1.63,150.57,0.18,97.98,911,201,10.79,10.79,8.41,-2.85,2.85,-1.42,0.8,-7.28,-16.27,6.99,-2.04,20.52,0.08,99.9,73.42,1.49,SA_VOLCANIC
-72.6,-41.01,2,283,-72.244,-40.904,0.033,756,-74.7,-40.72,8.88,-18.37,1.62,150.89,0.18,97.96,911,201,10.97,10.97,8.43,-2.8,2.8,-1.42,0.79,-7.29,-15.94,7.01,-2.0,17.9,0.07,92.4,75.05,1.55,SA_VOLCANIC
