ID,Lat,Lon,age
180,54.75000537,-126.3377958,77
181,51.463611,-123.625556,79
182,60.98916,-133.74944,80
183,51.03970565,-123.370816,80
184,51.07830565,-123.416716,80
185,38.78,-117.95,81
186,53.681111,-127.178056,82
187,66.1809,-155.8346,82
188,53.53330523,-127.2333174,85
189,24.90098,-106.37412,85
190,29.40438,-108.39227,86
191,51.10440565,-123.400016,86
192,51.10110566,-123.352816,87
193,51.09470565,-123.388316,87
194,40.61175832,-117.0517318,88
195,48.61472222,-120.3819444,89
196,65.27423,-150.02791,89
197,40.41666667,-117.2166667,89
198,54.85220519,-127.690018,89
199,54.83528316,-127.943629,89
200,59.8991,-155.2807,90
201,29.40438,-108.39227,91
202,35.48333333,-115.1333333,94
203,49.63060593,-120.4781151,97
204,40.195,-120.8538889,100
205,62.52583,-138.61416,103
206,63.672,-142.869,103
207,63.61,-142.99,103
208,64.2075,-143.801,103
209,62.72333,-138.56055,105
210,38.61666667,-118.4333333,105
211,38.49194444,-118.075,105
212,64.2287,-143.9312,106
213,64.2262,-143.8916,106
214,62.26511,-137.09041,108
215,39.26,-114.9994444,110
216,55.5,-125.3,121
217,55.10500557,-124.9561177,134
218,41.76694444,-114.7669444,150
219,50.25890511,-127.6164164,154
220,39.05,-119.24,161
221,28.05579,-113.38544,165
222,49.67080597,-120.1756151,166
223,38.98,-119.2,167
224,50.61080513,-127.5117165,167
225,50.59610513,-127.4558165,167
226,50.63110513,-127.5217165,167
227,50.59690514,-127.4628165,167
228,50.58810514,-127.3900165,167
229,50.59280514,-127.4558165,167
230,50.675,-127.8583333,168
231,49.17170596,-120.0022149,168
232,38.96,-119.27,169
233,50.6,-127.4777778,171
234,50.71060508,-127.9722166,172
235,31.43194444,-109.9013889,180
236,58.48390501,-129.1072199,190
237,56.5,-130.25,193
238,49.42470592,-120.457215,193
239,49.51780598,-120.013615,193
240,49.879444,-120.006389,195
241,56.8325,-130.802778,196
242,55.553889,-129.448056,196
243,57.36640531,-127.015574,197
244,52.246667,-121.369722,197
245,57.067778,-126.724722,199
246,55.531944,-125.355278,200
247,57.23330535,-126.7333189,201
248,57.20420536,-126.6686189,202
249,50.49810592,-120.9878154,203
250,50.47500592,-120.9781154,203
251,57.74420483,-130.3353197,205
252,57.65580484,-130.2589197,205
253,57.76080483,-130.2936197,205
254,57.68220485,-130.1717197,205
255,38.33333333,-117.5,207
256,50.42310591,-120.9872154,208
257,50.51060592,-120.9350154,208
258,50.32170592,-120.8494154,208
259,50.54140592,-120.9930154,208
260,50.56140591,-121.0164155,208
261,50.42580591,-120.9947154,208
262,50.44450592,-120.9136154,208
263,50.45030591,-121.0431154,208
264,50.36639391,-120.9575154,208
265,50.38000591,-120.9581154,208
266,52.518056,-122.2875,210
267,50.485556,-121.048333,210
268,50.43170591,-120.9981154,210
269,58.2406046,-131.8836202,218
270,57.223889,-126.676389,221
271,57.364167,-130.990278,222
