total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
102.11,37.27,4.52,-4.08,4.44,False
150.51,94.99,10.05,-3.07,9.84,False
85.22,26.59,6.55,-6.29,6.52,False
154.62,94.93,10.45,-7.94,9.59,False
105.5,39.64,14.3,-12.48,13.78,False
158.33,136.37,9.84,-8.88,9.78,False
140.31,69.56,10.43,-8.12,10.35,False
157.9,100.0,7.77,-5.5,5.34,False
272.12,118.66,-7.95,-8.47,-0.35,False
108.81,41.93,14.35,-12.55,13.83,False
88.18,28.51,3.98,-3.73,3.96,False
71.41,18.43,6.19,-6.1,6.16,False
149.41,96.86,18.61,-15.0,16.99,False
94.17,32.23,5.39,-3.91,5.36,False
124.88,54.09,8.86,-9.02,8.83,False
124.88,54.09,8.87,-9.01,8.83,False
129.07,57.64,11.49,-9.68,11.41,False
134.3,80.36,1.5,-4.45,0.21,False
156.48,98.85,1.5,2.7,0.21,False
146.38,78.93,8.01,-7.67,7.91,False
146.96,80.04,11.29,-10.14,9.72,False
157.94,103.8,14.18,-11.56,12.39,False
151.85,86.72,16.58,-12.62,13.77,False
126.78,88.66,1.98,-3.8,1.98,False
146.19,93.57,17.64,-14.43,16.72,False
152.07,87.6,10.7,-9.25,9.84,False
51.6,6.06,4.42,-2.68,4.41,False
153.39,91.5,15.83,-10.85,12.66,False
129.47,60.27,3.86,-5.22,3.73,False
142.42,72.3,9.19,-8.24,5.16,False
142.71,72.69,9.2,-8.18,5.18,False
97.36,34.23,5.2,-4.78,5.09,False
154.72,94.64,2.46,-4.97,2.39,False
119.55,57.25,5.76,-6.6,5.64,False
155.6,97.0,1.83,-3.72,1.67,False
96.85,33.94,6.55,-4.44,6.02,False
114.49,124.84,8.74,6.91,5.77,False
130.56,74.21,8.81,6.97,6.88,False
126.79,86.29,8.82,6.98,6.89,False
134.24,62.64,7.65,-5.65,7.57,False
154.25,93.59,9.76,-7.94,9.03,False
57.23,9.61,4.43,-2.04,4.21,False
153.05,117.66,4.46,5.07,4.23,False
76.6,17.28,5.12,-4.7,4.56,False
152.45,89.46,2.6,-4.94,2.4,False
154.77,95.18,8.37,-7.94,8.34,False
127.26,55.97,12.66,-8.65,12.36,False
126.79,86.29,8.82,6.98,6.89,False
78.92,22.88,10.5,-8.31,7.86,False
148.69,82.33,9.35,-8.31,8.73,False
154.62,95.0,9.79,-7.94,9.26,False
140.54,69.74,8.61,-7.81,8.2,False
125.29,129.37,8.72,6.9,5.76,False
45.43,2.49,7.23,-4.91,6.96,False
130.47,54.94,8.97,-7.71,8.85,False
149.29,83.09,15.68,-10.9,13.65,False
112.73,124.51,8.76,6.93,5.76,False
46.54,3.69,12.07,-9.64,12.06,False
134.72,64.19,8.31,-7.64,8.26,False
149.32,83.39,8.85,-8.33,6.98,False
49.85,7.06,7.6,-4.67,6.1,False
101.5,36.87,6.17,-4.24,5.61,False
148.09,80.96,2.65,-2.42,1.8,False
114.49,124.84,8.74,6.91,5.76,False
130.78,74.5,8.34,-4.63,6.25,False
152.91,88.16,13.1,-11.36,13.1,False
146.74,75.98,2.85,-2.53,1.3,False
116.93,54.21,8.36,-6.75,6.99,False
45.06,1.71,7.32,-4.36,6.87,False
150.34,85.14,9.94,-7.15,8.88,False
150.55,85.46,10.34,-7.88,10.31,False
142.18,90.06,15.37,-12.95,13.14,False
118.78,42.02,8.68,-7.56,6.9,False
145.25,73.48,2.85,-2.54,1.3,False
137.43,64.84,8.57,-7.71,8.13,False
147.34,79.68,11.3,-9.92,11.07,False
113.85,53.27,2.79,-2.49,2.01,False
266.39,4.37,-3.1,2.1,-0.27,False
65.76,11.13,-4.38,5.52,-0.69,False
155.14,95.63,6.19,-4.98,4.96,False
129.16,53.61,9.08,-7.77,7.15,False
152.69,89.96,15.8,-9.62,14.24,False
153.76,85.58,2.57,-4.66,2.3,False
113.17,53.48,2.85,-2.52,1.3,False
44.5,1.82,7.21,-4.89,6.94,False
142.34,74.7,2.42,-2.27,1.17,False
112.4,51.5,2.85,-2.53,1.3,False
44.83,1.58,12.2,-9.78,12.15,False
58.88,10.66,6.35,-4.28,5.74,False
150.57,85.61,9.95,-7.04,9.69,False
150.81,86.05,10.89,-8.39,10.83,False
154.29,91.79,15.87,-10.83,15.72,False
135.85,64.33,14.61,-12.48,14.61,False
154.75,95.24,8.49,-7.94,8.38,False
147.05,78.46,8.07,-3.67,3.63,False
68.18,14.23,-4.54,4.77,-0.62,False
153.64,78.19,17.46,-13.4,16.69,False
118.36,57.66,2.59,-2.37,1.71,False
149.32,83.39,8.85,-8.33,6.98,False
147.66,79.28,9.39,-8.34,9.17,False
146.03,74.2,2.85,-2.53,1.3,False
139.81,68.87,14.72,-12.49,14.32,False
151.36,87.15,10.79,-9.47,10.5,False
154.8,94.81,6.13,-4.97,5.25,False
44.5,1.82,7.21,-4.89,6.94,False
75.22,21.09,9.21,-7.57,9.21,False
149.22,82.93,14.06,-11.75,13.57,False
153.67,92.16,2.51,-4.98,2.29,False
115.65,47.37,8.38,-6.67,5.03,False
266.39,4.37,-3.1,2.1,-0.27,False
149.39,88.86,15.94,-9.87,11.6,False
150.25,84.97,9.97,-6.97,8.94,False
149.71,83.96,11.22,-7.22,11.21,False
149.1,83.03,9.38,-8.33,9.16,False
152.11,84.42,13.38,-11.57,12.6,False
154.21,93.42,2.44,-4.98,2.23,False
101.33,36.78,5.65,-4.0,5.51,False
150.3,84.96,10.22,-7.69,9.43,False
148.98,82.54,11.01,-9.7,11.0,False
155.45,95.57,6.92,-5.73,6.07,False
148.44,77.18,13.35,-11.57,13.3,False
135.62,64.08,12.34,-9.62,11.82,False
149.27,83.37,9.52,-8.47,9.31,False
75.22,21.09,9.21,-7.57,9.21,False
150.04,84.72,9.6,-8.54,9.39,False
153.15,90.99,15.94,-9.87,11.59,False
