total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
156.46,92.22,7.69,-5.42,5.24,False
73.37,19.56,9.18,-7.05,8.85,False
91.68,30.68,4.28,-4.24,4.18,False
193.51,149.41,2.83,6.62,2.76,False
122.76,52.16,16.66,-12.35,8.75,False
96.94,33.99,10.69,-11.55,10.6,False
154.62,94.93,10.45,-7.94,9.59,False
98.82,35.09,5.35,-4.27,5.35,False
150.35,112.52,7.83,-7.67,7.03,False
87.69,28.17,3.92,-3.64,3.8,False
79.73,18.04,12.04,-9.51,9.22,False
150.45,107.48,6.9,-7.66,6.81,False
93.22,31.64,5.05,-4.63,4.96,False
56.75,9.36,4.37,-1.94,3.52,False
127.77,76.86,10.34,-9.24,8.76,False
154.71,95.9,0.87,2.65,0.64,False
73.37,19.56,9.18,-7.05,8.85,False
61.35,12.16,6.45,-4.35,5.64,False
142.06,71.8,8.55,-6.33,6.37,False
146.96,80.97,6.21,-5.42,2.82,False
148.51,81.71,14.69,-10.17,13.25,False
140.51,69.79,15.02,-10.87,14.36,False
149.32,83.39,8.85,-8.33,6.98,False
59.58,11.06,4.45,-2.04,3.68,False
155.66,97.61,8.88,-7.93,7.74,False
140.54,70.22,8.72,-8.16,5.59,False
141.25,69.75,10.78,-8.3,10.71,False
155.7,97.09,8.79,7.06,5.7,False
130.47,54.94,9.02,-7.73,8.98,False
142.18,71.95,13.95,-11.99,7.93,False
126.79,88.45,1.5,-4.18,0.21,False
156.27,98.35,1.5,-4.48,0.21,False
152.94,90.5,15.72,-9.52,14.13,False
45.43,2.49,7.23,-4.91,6.96,False
121.96,51.49,13.92,-11.76,11.84,False
149.44,82.34,17.18,-12.63,16.95,False
94.61,32.48,8.37,-4.79,6.3,False
44.69,1.42,4.46,-4.45,3.22,False
125.49,88.28,8.83,7.0,6.89,False
137.02,65.67,15.57,-10.91,13.58,False
133.58,90.19,8.8,7.0,5.75,False
141.91,71.57,15.76,-10.88,12.65,False
146.98,88.67,7.29,5.05,6.29,False
155.88,98.77,10.81,-9.17,10.78,False
133.96,62.37,14.49,-12.4,14.27,False
135.47,62.95,9.91,-7.86,9.59,False
65.85,14.95,9.02,-7.35,9.01,False
125.49,88.28,8.83,7.0,6.88,False
145.58,76.83,12.67,-10.56,8.1,False
115.27,55.0,2.73,-2.45,1.92,False
130.16,88.98,8.82,7.01,6.87,False
150.65,85.93,9.91,-7.13,8.91,False
159.66,106.84,14.43,-11.75,14.32,False
152.8,90.21,15.82,-9.65,14.27,False
152.85,90.33,2.59,-4.94,2.39,False
130.85,75.43,10.34,-9.27,10.34,False
112.73,124.51,8.76,6.93,5.76,False
46.12,2.6,7.05,-4.56,4.09,False
159.07,105.41,14.45,-11.76,14.36,False
45.52,2.16,8.02,-4.47,6.36,False
144.66,74.42,8.67,-7.95,8.3,False
62.77,13.09,6.01,-4.04,5.17,False
62.51,12.99,14.26,-12.16,14.24,False
101.18,36.68,6.17,-4.25,5.61,False
153.75,96.44,8.82,7.03,6.86,False
44.85,2.66,12.42,-9.99,12.42,False
