total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
124.15,53.29,2.92,-4.3,1.6,False
116.74,47.02,7.51,-10.74,4.33,False
148.41,81.56,11.89,-9.48,11.17,False
97.08,19.48,-3.14,3.52,-1.22,False
68.12,10.65,8.33,-3.96,4.08,False
98.41,27.77,10.28,-6.26,10.19,False
149.23,83.1,5.72,-4.62,5.15,False
143.87,74.17,10.07,-8.96,10.06,False
107.64,40.99,9.03,-7.22,8.61,False
129.27,58.16,13.14,-10.77,12.31,False
131.78,60.16,4.36,-2.43,4.33,False
43.18,0.44,1.57,0.48,1.51,False
127.76,59.17,2.64,-0.89,2.59,False
100.68,36.29,3.64,-6.44,1.17,False
131.59,59.94,11.88,-11.75,11.36,False
147.76,80.43,11.75,-9.37,10.26,False
156.13,98.27,12.21,-9.72,11.51,False
117.69,48.08,7.06,-6.68,6.72,False
114.4,46.66,9.11,-8.03,8.43,False
46.33,2.61,0.43,1.2,0.38,False
126.14,54.99,11.05,-11.9,9.42,False
104.97,46.96,10.73,-9.37,10.7,False
150.2,84.82,5.86,-4.21,5.8,False
98.78,35.06,10.73,-6.6,10.57,False
152.93,90.43,4.4,-3.84,3.65,False
128.74,57.31,5.27,-1.6,3.87,False
103.52,38.16,9.28,-8.63,9.08,False
94.62,32.46,6.54,-8.93,3.0,False
150.58,85.42,9.63,-7.33,9.54,False
98.71,35.2,7.75,-8.35,7.75,False
128.74,57.31,5.11,-1.44,4.4,False
78.24,14.29,4.86,-6.19,4.81,False
148.77,82.15,6.82,-4.94,5.79,False
88.58,28.72,9.51,-8.75,9.47,False
98.71,35.2,7.65,-8.26,7.65,False
89.91,34.17,8.67,-4.73,4.87,False
116.28,47.09,5.23,-5.05,4.89,False
126.08,56.05,3.59,-1.64,3.54,False
108.66,37.45,6.08,-7.07,5.09,False
115.94,46.82,4.45,-4.54,3.61,False
102.53,37.47,8.5,-7.42,7.1,False
122.25,51.72,3.99,-1.99,3.88,False
95.29,32.88,5.09,-6.08,4.87,False
87.19,27.89,11.9,-10.52,11.86,False
93.09,31.48,8.62,-11.84,7.63,False
107.96,41.15,5.67,-5.43,5.36,False
103.28,38.02,8.18,-9.71,6.27,False
118.14,48.42,6.83,-6.55,6.45,False
105.95,39.79,6.23,-5.93,5.87,False
95.08,32.77,8.88,-7.11,8.88,False
84.4,25.79,11.04,-6.85,10.93,False
129.42,58.04,2.77,-1.0,2.73,False
159.39,105.93,12.32,-9.81,11.69,False
111.45,43.14,8.6,-4.67,2.78,False
96.79,33.82,7.98,-8.56,7.58,False
137.07,66.66,3.84,-2.58,3.8,False
121.56,51.14,8.96,-10.7,5.54,False
106.99,40.5,8.59,-7.97,8.32,False
131.78,60.16,4.32,-2.39,4.29,False
117.69,48.15,9.37,-9.68,8.52,False
139.41,66.52,3.1,-2.09,2.91,False
148.98,84.89,9.75,-7.45,9.29,False
106.88,40.43,5.55,-5.44,5.15,False
94.66,32.49,14.06,-9.96,13.9,False
93.98,32.1,10.77,-6.64,10.68,False
87.85,31.37,8.56,-4.57,2.68,False
113.45,44.95,10.94,-9.59,10.92,False
95.08,32.77,8.9,-7.12,8.89,False
118.96,49.11,-2.89,2.82,-0.24,False
116.28,47.09,4.71,-4.69,4.33,False
133.57,61.96,4.41,-2.97,4.21,False
106.88,40.43,5.58,-5.47,5.18,False
99.58,37.32,8.33,-11.68,6.08,False
107.08,40.54,8.68,-10.42,5.41,False
108.82,42.63,7.96,-7.47,7.21,False
110.43,39.85,5.66,-5.47,5.31,False
89.05,13.27,8.31,-3.88,6.05,False
115.86,46.78,-2.94,2.54,-1.03,False
79.97,30.37,8.63,-4.59,3.56,False
107.7,40.95,8.84,-8.15,8.22,False
114.55,45.77,8.24,-7.64,8.02,False
134.84,63.27,4.11,-0.96,4.08,False
96.97,35.36,6.6,-9.22,2.74,False
118.96,49.11,-2.9,2.87,-0.32,False
94.73,32.51,3.4,-5.95,0.8,False
69.5,17.13,7.22,-6.32,7.14,False
100.55,36.22,8.99,-8.38,8.98,False
156.55,99.03,2.84,-0.44,2.84,False
102.83,32.17,5.0,-6.15,4.65,False
141.3,70.81,-9.75,10.21,-4.68,False
155.42,32.46,4.29,-2.91,2.14,False
160.74,109.35,4.86,2.51,1.73,False
142.03,71.77,9.97,-5.15,8.6,False
117.15,29.06,4.81,2.34,3.03,False
171.94,129.01,3.94,-1.55,3.63,False
136.99,65.64,9.74,-4.92,9.72,False
150.91,83.81,7.9,-8.23,6.31,False
141.94,71.66,9.87,-5.04,8.49,False
150.84,73.16,9.44,-5.67,9.15,False
151.46,87.43,3.85,-1.47,3.84,False
151.42,86.75,8.81,-8.24,7.23,False
123.69,66.61,1.35,0.67,1.34,False
142.41,69.9,1.35,0.66,1.34,False
137.01,68.67,1.69,-3.8,0.24,False
151.18,88.06,7.25,-5.13,7.0,False
150.84,73.16,9.44,-5.67,9.15,False
137.83,66.58,9.99,-4.54,4.3,False
137.58,66.31,10.02,-4.61,4.38,False
138.78,67.7,5.81,-4.57,4.01,False
150.84,83.0,3.66,-4.42,2.03,False
150.84,73.16,9.44,-5.67,9.15,False
149.45,87.95,9.03,-9.48,7.17,False
127.15,68.55,6.14,-4.18,5.59,False
112.05,44.04,8.68,-6.65,7.11,False
130.98,59.72,5.06,-3.45,2.78,False
102.25,56.93,8.15,-8.01,7.92,False
101.46,26.08,-2.08,1.11,-0.47,False
110.64,41.38,-2.41,1.71,-1.14,False
135.63,64.22,4.46,-4.18,0.46,False
89.59,29.35,9.76,-9.0,8.7,False
129.83,58.42,1.53,-4.23,1.05,False
149.33,84.47,10.5,-8.19,10.23,False
89.94,28.37,6.53,-8.63,6.03,False
128.99,58.85,8.84,-6.85,7.43,False
78.66,22.69,11.54,-7.26,5.38,False
48.98,14.35,4.1,-5.5,3.82,False
87.84,12.41,1.49,-3.85,1.34,False
109.76,19.73,8.49,-2.99,8.04,False
92.84,31.38,7.67,-8.95,7.55,False
125.31,56.7,5.72,-2.17,2.05,False
87.75,29.45,9.85,-9.09,7.72,False
91.17,30.34,6.72,-7.45,5.73,False
113.73,70.06,7.35,-7.76,7.22,False
131.68,59.15,5.52,-3.79,4.6,False
133.44,74.5,7.66,-4.25,7.39,False
123.88,53.22,6.02,-4.65,5.63,False
73.71,6.07,6.8,-5.85,4.81,False
57.35,4.9,1.45,-3.73,1.23,False
145.81,77.22,7.81,-5.51,5.26,False
118.83,51.6,12.8,-9.14,12.79,False
128.09,70.66,3.84,-2.22,3.77,False
151.83,88.09,13.78,-11.27,13.64,False
58.2,16.79,7.06,-6.04,6.47,False
124.27,53.36,1.52,-4.12,1.2,False
116.64,40.53,5.06,-3.16,3.67,False
103.89,39.17,5.35,-3.85,5.22,False
84.2,22.73,12.36,-11.03,7.53,False
84.45,28.19,12.36,-11.0,7.52,False
150.83,87.91,3.55,-2.09,3.32,False
121.62,68.13,2.9,-0.7,2.39,False
116.64,40.53,5.06,-3.16,3.67,False
158.32,103.45,12.97,-10.42,11.15,False
94.93,31.73,7.82,-9.21,7.72,False
122.26,57.37,5.5,-3.59,4.88,False
