total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
95.34,32.94,4.36,-3.9,4.31,False
156.32,122.92,4.42,5.12,4.35,False
88.14,28.57,3.47,-2.71,2.55,False
50.7,5.42,4.44,-2.08,4.4,False
151.09,91.78,1.39,-3.54,1.23,False
153.45,102.46,9.79,-8.84,9.74,False
73.14,19.41,9.13,-7.04,8.84,False
79.81,23.34,5.31,-3.9,4.01,False
69.27,17.08,16.39,-13.65,12.76,False
104.15,38.64,14.27,-10.61,7.4,False
159.95,125.79,8.58,4.34,7.92,False
156.46,92.22,7.69,-5.42,5.24,False
131.24,91.18,1.5,-3.11,0.21,False
54.02,7.6,4.4,-2.65,4.23,False
126.33,74.74,10.33,-9.24,8.76,False
148.7,82.03,15.89,-10.83,15.74,False
130.95,59.36,8.05,-7.44,7.83,False
123.5,53.88,8.87,6.91,6.49,False
142.93,72.98,11.03,-8.33,5.01,False
149.39,83.3,3.66,-1.98,1.27,False
52.44,7.98,7.56,-5.21,5.31,False
132.97,61.37,14.9,-10.84,14.25,False
146.07,76.75,8.69,-7.99,8.33,False
149.55,83.58,15.84,-10.85,12.7,False
156.64,119.84,7.63,5.22,6.48,False
153.21,91.11,2.83,-4.56,2.78,False
145.82,87.22,7.01,-4.91,6.79,False
54.65,7.79,4.42,-2.05,4.24,False
148.69,82.33,9.35,-8.31,8.73,False
56.05,8.91,4.4,-2.6,3.83,False
55.61,8.63,4.36,-1.88,2.83,False
56.25,9.02,4.35,-1.89,3.46,False
116.93,54.21,8.35,-6.77,6.98,False
148.52,81.7,10.59,-8.21,10.29,False
148.51,78.15,1.66,-4.81,1.62,False
152.66,74.77,1.5,-4.78,1.49,False
43.57,0.92,9.5,-10.01,3.71,False
73.37,19.56,9.18,-7.05,8.85,False
143.96,78.37,15.52,-13.04,15.46,False
154.98,95.83,7.63,-7.94,7.6,False
48.34,4.46,9.59,-10.08,2.98,False
60.72,12.94,5.93,-3.95,5.08,False
142.1,66.54,12.39,-10.35,12.29,False
149.29,83.11,15.82,-10.86,12.68,False
67.58,2.51,4.02,2.46,0.11,False
44.75,1.63,4.4,-2.73,4.34,False
55.35,8.47,9.11,-7.42,8.41,False
154.74,95.31,8.6,-7.94,8.48,False
126.79,88.45,1.5,-4.18,0.21,False
147.31,79.72,3.31,-2.38,3.04,False
58.88,10.66,6.35,-4.28,5.74,False
149.88,84.29,11.31,-7.03,11.3,False
139.32,68.34,15.57,-10.91,13.57,False
116.93,54.21,8.35,-6.77,6.98,False
147.88,80.84,9.3,-8.26,7.59,False
159.29,107.84,13.74,-11.29,13.15,False
94.61,32.48,8.36,-4.73,6.28,False
154.72,94.64,2.45,-4.97,2.38,False
129.22,73.29,10.34,-9.27,10.33,False
118.11,55.44,2.52,-2.33,1.36,False
144.66,74.42,8.67,-7.95,8.3,False
134.13,89.69,8.81,6.99,6.88,False
144.66,74.42,8.67,-7.95,8.3,False
49.32,4.83,4.14,-4.11,3.06,False
135.18,62.75,15.4,-10.91,14.14,False
44.47,1.0,3.79,6.2,0.15,False
113.17,53.48,2.85,-2.52,1.3,False
143.87,73.75,8.65,-7.9,8.27,False
148.89,82.68,8.83,-8.31,8.09,False
43.66,0.86,7.25,-4.27,7.18,False
137.43,64.84,8.57,-7.71,8.13,False
152.22,96.84,18.68,-15.06,17.07,False
42.63,0.13,10.68,-8.27,9.58,False
151.46,87.31,10.81,-9.42,10.53,False
152.59,89.73,15.75,-9.51,12.87,False
61.76,12.53,13.35,-10.9,12.63,False
150.21,84.86,10.87,-8.32,10.8,False
153.03,90.72,15.84,-9.71,14.91,False
68.18,14.23,-4.54,4.77,-0.62,False
42.54,0.09,-3.7,5.72,-1.96,False
146.03,74.2,2.85,-2.53,1.3,False
154.9,95.04,10.47,-9.39,9.18,False
153.13,82.31,1.56,-3.64,1.54,False
124.01,49.36,8.96,-7.72,7.1,False
150.26,84.94,10.88,-9.56,10.79,False
100.25,36.02,14.36,-12.22,14.16,False
138.64,67.25,8.62,-7.85,5.4,False
150.95,86.22,10.24,-7.77,10.23,False
135.58,82.93,1.9,-4.88,1.58,False
68.11,16.38,13.98,-11.9,13.97,False
61.08,12.06,9.34,-7.61,8.96,False
152.22,96.84,18.68,-15.06,17.07,False
152.47,89.48,15.73,-9.49,12.84,False
134.09,62.49,7.65,-5.71,7.57,False
76.75,21.63,3.19,-2.09,2.14,False
65.85,14.95,9.02,-7.35,9.01,False
155.45,95.57,6.92,-5.73,6.07,False
124.61,49.5,8.8,-7.6,8.76,False
42.56,0.07,-3.78,5.74,-1.42,False
149.96,84.5,11.18,-7.13,11.17,False
150.09,84.73,11.37,-7.11,11.36,False
45.52,2.0,-3.77,6.03,-1.09,False
153.64,78.19,17.41,-13.35,16.63,False
155.11,95.56,6.87,-5.72,6.32,False
152.45,89.43,2.9,-4.57,2.84,False
57.02,13.27,9.0,-7.32,9.0,False
151.36,87.15,10.76,-9.44,10.57,False
150.09,84.73,11.37,-7.11,11.36,False
146.24,75.14,2.94,-2.62,1.48,False
149.68,83.92,14.37,-9.97,14.28,False
151.09,86.5,10.22,-7.79,9.44,False
152.44,89.42,16.2,-12.96,15.63,False
155.3,96.01,6.83,-5.66,6.8,False
45.96,2.37,12.42,-9.99,12.42,False
150.95,86.22,10.22,-7.76,9.44,False
110.77,49.11,2.94,-2.61,1.48,False
58.88,10.66,6.35,-4.28,5.74,False
150.3,85.15,11.17,-7.19,11.15,False
149.78,84.11,11.44,-6.92,10.77,False
139.94,68.81,8.64,-7.9,5.45,False
152.11,84.42,13.36,-11.55,13.32,False
42.54,0.09,-3.7,5.72,-1.96,False
150.04,84.72,9.59,-8.53,9.38,False
116.31,49.08,8.38,-6.67,5.03,False
142.17,72.36,8.71,-8.09,5.58,False
152.79,90.18,13.51,-9.52,13.44,False
157.76,107.86,13.38,-11.07,13.2,False
145.02,75.21,8.7,-8.02,5.6,False
150.3,85.04,9.86,-7.25,8.88,False
153.67,92.16,2.52,-4.98,2.3,False
65.76,11.13,-4.38,5.52,-0.69,False
150.46,85.39,9.9,-7.28,8.83,False
152.11,84.42,13.38,-11.57,12.6,False
139.61,63.58,3.59,-2.19,0.87,False
150.08,84.67,11.15,-7.32,11.14,False
