total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
111.38,43.44,7.81,-8.58,7.36,False
113.88,45.29,9.95,-13.76,8.27,False
100.06,35.87,8.45,-7.37,7.67,False
63.66,29.18,8.55,-4.41,4.54,False
109.96,42.51,7.68,-10.57,3.69,False
118.91,49.14,9.01,-7.16,8.59,False
112.47,44.26,2.91,-1.12,2.88,False
75.92,5.24,8.73,-7.43,8.62,False
108.66,41.57,8.8,-7.73,8.11,False
50.0,6.96,2.62,1.43,2.59,False
89.57,29.34,11.84,-10.47,11.83,False
90.85,46.27,12.41,-8.63,11.78,False
94.66,32.49,14.06,-9.96,13.9,False
148.07,81.99,6.02,-4.82,5.48,False
110.38,42.97,7.98,-6.17,6.31,False
107.65,42.37,6.13,-6.8,5.67,False
89.69,33.06,9.27,-8.53,9.05,False
44.8,1.59,1.46,0.5,1.37,False
120.35,50.17,10.87,-9.45,10.64,False
130.52,59.65,12.61,-16.73,11.31,False
126.32,55.1,9.79,-11.74,6.78,False
49.19,8.7,12.46,-8.72,11.8,False
91.5,30.16,4.98,-6.11,4.42,False
118.35,48.65,9.47,-10.73,7.28,False
113.82,45.21,8.39,-7.77,8.18,False
86.5,27.49,14.93,-10.67,12.72,False
97.59,34.79,9.18,-8.59,9.0,False
146.32,77.99,6.89,-5.42,6.1,False
91.2,30.78,9.35,-8.67,9.33,False
51.9,19.43,8.45,-4.21,6.36,False
98.71,35.2,7.3,-7.97,7.25,False
146.32,77.99,7.01,-5.48,4.9,False
128.74,57.31,5.24,-1.57,4.55,False
107.96,41.15,5.71,-5.46,5.7,False
98.53,34.96,8.83,-10.22,8.03,False
113.81,45.26,7.42,-7.01,7.08,False
116.28,47.09,5.23,-5.05,4.89,False
89.47,28.4,14.61,-10.41,14.51,False
117.59,48.07,9.11,-9.46,8.28,False
95.53,33.01,9.02,-12.36,6.71,False
94.66,32.49,13.98,-9.9,13.34,False
150.41,85.23,5.42,-2.88,5.36,False
90.13,29.67,11.9,-10.52,11.88,False
65.77,17.9,8.39,-4.07,4.39,False
150.41,85.23,5.22,-2.68,4.94,False
101.43,36.82,8.43,-9.98,4.74,False
103.7,32.99,8.04,-9.58,6.18,False
44.37,1.27,9.53,-7.99,9.5,False
94.72,32.51,11.35,-7.09,9.88,False
95.51,5.75,8.29,-3.82,4.13,False
151.45,87.31,5.0,-2.43,4.74,False
95.72,33.11,5.75,-4.7,5.14,False
110.43,43.81,5.48,-5.34,5.12,False
42.74,0.18,11.99,-11.47,8.61,False
96.7,33.76,6.79,-9.39,2.8,False
151.51,87.48,10.76,-8.38,9.96,False
63.66,29.18,8.54,-4.39,4.53,False
139.59,68.64,3.01,-1.86,2.64,False
104.07,38.54,8.53,-7.97,8.24,False
109.91,43.43,10.02,-6.07,9.64,False
95.52,26.61,10.28,-6.26,9.83,False
64.9,17.41,5.13,-4.08,4.75,False
80.46,15.1,8.36,-3.99,4.3,False
90.59,33.07,5.75,-4.7,5.14,False
104.77,36.61,9.19,-8.52,8.95,False
129.13,57.59,9.52,-11.51,6.78,False
43.18,0.44,1.57,0.48,1.51,False
95.83,5.33,8.24,-2.94,3.14,False
130.17,58.62,4.68,-1.15,4.65,False
106.15,39.88,3.65,-6.69,1.5,False
87.2,25.65,12.23,-10.86,10.74,False
89.66,29.78,9.4,-8.64,9.21,False
112.62,44.38,9.21,-10.51,7.04,False
113.71,46.92,9.05,-7.26,9.04,False
93.11,22.72,10.27,-6.25,9.8,False
125.25,54.22,3.66,-1.71,3.62,False
106.88,40.43,5.76,-5.62,5.74,False
117.16,47.74,-2.81,2.47,-0.97,False
118.35,48.65,10.01,-11.13,6.95,False
86.83,32.87,8.69,-4.75,3.71,False
114.87,45.99,8.2,-7.61,7.95,False
105.81,39.32,10.59,-6.5,10.47,False
52.36,20.56,8.44,-4.18,4.49,False
131.41,59.81,4.61,-1.13,4.58,False
106.88,40.43,5.58,-5.47,5.18,False
84.09,9.12,12.27,-9.46,12.16,False
118.55,45.81,-2.95,2.72,-0.89,False
110.4,42.42,13.02,-9.13,12.89,False
150.94,86.34,12.23,-9.77,11.54,False
142.47,72.36,-9.36,8.75,-1.4,False
93.67,20.47,4.72,-2.41,3.07,False
89.08,26.51,0.67,2.25,0.07,False
149.61,79.66,3.65,-4.43,2.05,False
81.95,8.25,2.39,2.41,1.56,False
137.3,67.33,9.86,-5.1,9.67,False
142.41,69.9,1.36,0.62,1.3,False
147.0,83.42,5.38,-2.96,4.74,False
142.77,74.22,1.5,-4.32,0.01,False
149.57,83.27,13.14,-9.46,10.15,False
135.87,63.98,5.78,-4.52,3.95,False
138.99,74.03,9.38,-5.6,6.91,False
140.51,69.8,9.45,-4.81,9.27,False
149.08,87.97,7.48,-5.31,7.25,False
149.05,78.87,7.78,-8.28,5.92,False
149.79,90.38,7.3,-5.15,7.04,False
139.33,75.38,9.67,-7.04,9.57,False
135.28,63.74,-2.36,-4.12,-0.01,False
127.53,56.11,-3.22,-3.71,-0.54,False
151.46,88.4,3.93,-1.54,3.93,False
144.12,71.81,1.34,0.66,1.33,False
141.24,70.75,10.11,-4.82,4.66,False
138.39,68.56,-4.4,-4.26,-1.28,False
106.95,29.02,2.7,-3.8,2.32,False
150.31,87.13,13.32,-10.8,11.38,False
149.62,83.71,6.08,-3.58,2.46,False
135.63,65.03,8.97,-5.37,6.35,False
86.66,2.89,2.15,-3.51,1.54,False
92.47,27.77,7.48,-9.04,7.42,False
148.94,82.42,13.85,-11.34,13.71,False
149.62,83.71,5.71,-3.17,4.46,False
126.48,55.33,5.44,-4.07,5.07,False
151.27,86.92,13.52,-11.0,12.81,False
83.44,25.61,15.14,-10.84,11.26,False
78.82,22.8,11.48,-7.21,8.61,False
129.1,58.7,5.14,-2.96,2.58,False
104.09,42.2,6.56,-6.29,5.72,False
96.41,37.12,12.09,-8.55,11.89,False
74.82,14.38,4.16,-2.62,4.16,False
58.92,11.77,3.07,-4.51,2.45,False
110.08,42.7,5.85,-5.64,4.74,False
115.86,46.78,-2.75,2.18,-1.65,False
48.98,14.35,4.32,-5.7,4.05,False
113.33,68.28,7.39,-7.69,7.31,False
100.8,37.0,12.17,-8.61,11.98,False
136.02,64.59,4.45,-2.77,4.38,False
128.34,57.01,4.52,-4.4,0.66,False
87.49,28.09,8.63,-6.84,3.0,False
113.1,44.98,8.7,-3.11,8.29,False
145.81,77.22,7.81,-5.51,5.26,False
127.06,57.53,8.65,-9.14,8.65,False
108.97,64.42,9.34,-9.31,9.34,False
130.76,54.96,4.55,-4.44,0.7,False
74.82,14.38,4.0,-2.45,4.0,False
119.33,53.84,8.65,-9.11,8.65,False
97.81,45.64,8.19,-8.14,7.48,False
90.6,49.69,7.82,-7.71,7.59,False
99.59,40.92,9.85,-9.23,8.09,False
114.55,45.81,-2.72,2.15,-1.64,False
134.1,62.97,2.54,-4.32,0.15,False
131.09,59.52,9.75,-4.18,7.69,False
155.83,97.2,13.22,-10.68,11.3,False
60.06,15.25,6.92,-5.95,6.31,False
64.8,16.99,8.1,-2.42,7.52,False
149.05,82.66,11.6,-9.04,10.91,False
