total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
156.78,99.27,13.38,-10.84,11.4,True
89.45,44.8,8.26,-8.71,8.06,True
134.04,62.71,11.21,-8.64,10.55,True
147.03,79.47,11.75,-9.06,11.35,True
132.77,61.16,10.95,-8.38,10.78,True
149.29,83.12,10.0,-7.67,9.02,True
134.04,62.45,11.28,-8.71,10.63,True
89.39,39.34,8.15,-8.6,7.95,True
115.09,46.22,10.83,-8.81,9.79,True
154.06,92.06,11.14,-8.0,6.56,True
145.8,76.21,7.63,-5.99,2.87,True
111.4,43.62,10.48,-7.91,9.99,True
128.0,56.64,11.37,-8.69,10.79,True
89.39,39.34,8.14,-8.58,7.93,True
156.17,98.17,11.18,-8.06,6.95,True
142.63,72.58,1.63,0.81,1.08,True
118.03,48.4,10.83,-8.8,9.79,True
