total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
98.11,45.64,7.97,-7.9,7.24,False
110.62,39.79,-2.02,0.8,-0.04,False
125.45,54.85,12.75,-9.12,12.74,False
130.76,54.96,4.54,-4.42,0.65,False
129.68,58.72,3.37,-1.4,3.37,False
48.98,14.35,4.05,-5.45,3.76,False
128.43,56.53,12.73,-9.1,12.72,False
148.34,81.4,6.27,-3.87,4.63,False
111.22,39.64,1.58,-1.3,1.41,False
144.02,73.55,2.75,-1.5,1.78,False
78.21,22.45,11.41,-7.15,8.6,False
150.91,83.81,7.9,-8.23,6.31,False
129.82,58.44,2.53,-4.23,1.29,False
113.1,44.98,8.89,-3.3,8.49,False
110.64,41.38,-2.41,1.71,-1.14,False
111.98,25.86,8.68,-3.5,8.38,False
114.92,46.21,4.85,-3.37,4.74,False
