total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
121.46,51.08,10.18,-10.33,9.91,False
145.91,77.41,11.43,-9.11,10.7,False
88.84,27.78,8.59,-4.52,4.66,False
148.39,81.53,11.9,-9.49,11.19,False
105.74,39.62,9.92,-13.5,7.79,False
152.14,87.88,5.3,-3.79,5.23,False
141.93,72.57,2.67,-1.68,2.26,False
72.19,4.33,13.73,-10.48,13.63,False
116.82,48.34,4.17,-4.61,3.55,False
155.87,97.35,3.01,-0.59,3.01,False
102.78,37.69,8.64,-10.27,5.0,False
56.12,10.81,11.71,-11.1,10.1,False
108.82,42.63,8.03,-7.53,7.71,False
116.28,47.09,5.11,-4.96,4.76,False
75.93,6.23,12.69,-11.41,12.64,False
110.4,42.81,9.45,-13.14,6.64,False
129.25,57.76,3.42,-1.52,3.39,False
127.16,56.02,9.79,-7.62,8.92,False
43.99,0.7,9.58,-8.04,9.56,False
48.75,4.88,12.27,-8.53,11.69,False
110.06,42.58,13.04,-9.14,12.91,False
113.36,45.54,8.08,-8.82,7.61,False
91.5,30.16,4.98,-6.11,4.42,False
105.81,39.32,10.69,-6.58,10.57,False
106.41,40.16,9.02,-7.25,8.61,False
48.98,14.35,4.62,-5.96,4.57,False
122.25,51.72,4.06,-2.06,3.44,False
146.32,77.99,6.89,-5.42,6.1,False
65.77,17.9,8.38,-4.04,6.19,False
117.16,47.74,-2.88,2.74,-0.92,False
91.2,30.78,9.51,-8.82,9.26,False
84.35,26.09,12.22,-10.85,10.71,False
99.93,35.84,9.4,-8.73,9.19,False
51.9,19.43,8.43,-4.19,6.34,False
85.58,26.91,12.05,-10.67,11.84,False
114.48,45.72,3.98,-7.32,2.11,False
121.12,50.86,9.0,-7.09,8.55,False
87.2,27.84,12.04,-10.67,12.02,False
112.47,44.26,2.7,-0.96,2.7,False
159.39,105.93,12.32,-9.81,11.69,False
103.23,37.93,6.83,-7.78,5.84,False
91.96,30.83,11.09,-6.91,11.09,False
91.11,30.27,8.06,-6.98,7.24,False
109.83,42.44,5.69,-5.38,5.4,False
139.42,68.44,1.05,0.41,0.98,False
133.57,61.96,4.08,-2.74,4.05,False
153.41,91.6,12.54,-10.04,12.54,False
46.43,2.72,11.93,-11.38,10.35,False
129.73,58.71,4.65,-2.52,3.9,False
69.85,30.06,7.76,-6.68,6.97,False
117.28,47.82,-2.93,2.73,-0.94,False
108.01,41.17,7.61,-10.44,3.53,False
150.58,85.42,9.55,-7.27,8.71,False
117.33,47.79,10.68,-9.35,10.48,False
149.63,84.85,9.55,-7.28,8.7,False
80.46,15.1,8.39,-4.07,4.25,False
141.93,72.57,2.58,-1.63,2.14,False
81.24,30.69,5.49,-4.44,4.85,False
117.4,47.93,4.23,-4.44,3.29,False
108.66,39.0,6.33,-7.27,5.39,False
100.41,38.5,5.8,-4.76,4.75,False
89.05,13.27,8.25,-3.78,4.89,False
102.25,37.31,7.94,-8.51,7.58,False
123.14,55.92,2.65,-0.91,2.6,False
132.75,61.12,4.49,-1.08,4.47,False
119.42,50.22,3.59,-4.33,2.84,False
120.48,50.3,3.79,-4.27,3.23,False
107.96,41.15,5.64,-5.4,5.32,False
48.53,23.77,5.37,-4.32,4.76,False
119.98,49.9,9.24,-10.97,5.68,False
117.16,47.74,-2.81,2.47,-0.97,False
80.13,15.24,8.37,-4.02,4.33,False
149.68,84.82,6.11,-4.41,6.04,False
111.44,43.56,8.12,-7.59,7.82,False
103.69,40.4,10.19,-6.2,9.81,False
140.65,69.98,12.61,-10.15,11.78,False
128.74,57.31,4.9,-1.29,4.53,False
123.16,52.49,1.7,0.76,0.65,False
147.13,79.44,12.92,-10.5,11.17,False
115.48,46.54,9.03,-7.19,8.06,False
115.36,46.37,7.34,-7.75,6.47,False
117.59,48.07,8.6,-9.04,8.23,False
101.1,36.59,8.75,-8.18,8.48,False
151.51,87.48,10.81,-8.43,10.08,False
137.07,61.96,4.05,-2.71,4.01,False
137.44,66.1,13.62,-13.26,13.58,False
95.08,32.77,8.86,-7.09,8.56,False
117.39,47.87,4.17,-7.78,2.61,False
91.34,30.38,5.35,-6.49,4.73,False
147.18,79.39,12.06,-7.24,1.67,False
155.42,32.46,4.29,-2.91,2.14,False
152.34,92.71,7.76,-5.51,7.38,False
136.89,66.73,1.67,-3.81,0.26,False
137.96,66.73,-3.58,2.17,-1.01,False
153.21,94.87,8.77,-6.39,8.19,False
151.72,84.27,3.86,-1.51,3.86,False
134.91,63.37,10.93,-8.63,10.06,False
147.85,83.59,4.2,-2.52,3.6,False
146.77,78.66,9.6,-9.64,8.39,False
135.87,63.98,5.78,-4.52,3.95,False
138.38,66.97,1.53,-4.32,0.42,False
144.43,83.59,5.04,-3.37,4.82,False
138.36,68.75,2.54,-4.35,0.18,False
153.38,87.63,5.08,-3.11,4.93,False
142.08,71.28,-4.56,-4.59,-0.99,False
140.49,70.0,-4.56,-4.57,-1.04,False
151.18,88.06,7.43,-5.26,7.19,False
152.67,86.43,3.74,-1.42,3.74,False
147.52,76.64,9.81,-9.74,8.68,False
148.21,90.34,2.63,2.01,2.52,False
149.02,80.34,9.41,-5.63,9.11,False
142.47,89.28,8.37,-6.07,8.18,False
123.64,52.91,5.21,-3.8,5.1,False
76.58,21.5,6.61,-7.71,6.53,False
125.31,56.7,5.73,-2.2,2.09,False
93.27,30.13,8.42,-6.36,7.73,False
109.97,47.05,6.4,-6.18,6.19,False
85.63,28.02,15.18,-10.87,11.29,False
130.42,67.4,8.93,-7.26,2.53,False
133.57,61.96,4.67,-3.15,4.08,False
133.58,59.63,-6.34,-5.04,-0.95,False
108.6,42.3,8.57,-6.52,7.88,False
108.61,37.58,-1.13,1.49,-0.34,False
104.09,42.2,6.59,-6.33,5.76,False
82.57,22.73,15.28,-10.95,7.23,False
93.35,34.78,9.59,-9.02,7.88,False
79.25,23.05,8.53,-6.71,5.31,False
145.04,75.86,12.15,-9.63,10.61,False
78.66,22.69,11.51,-7.24,8.57,False
112.58,38.61,4.62,-2.67,1.65,False
128.99,60.96,8.86,-6.87,7.45,False
95.04,35.12,9.51,-8.91,7.76,False
126.71,53.15,6.01,-4.64,5.63,False
72.22,24.76,5.52,-6.0,3.93,False
131.81,76.91,6.79,-4.73,6.63,False
128.88,57.46,5.43,-4.06,5.08,False
74.82,14.38,4.2,-2.66,3.98,False
82.57,24.85,11.96,-8.4,11.77,False
105.03,57.11,6.05,-6.56,5.93,False
126.76,55.47,1.49,-4.1,1.08,False
109.05,70.21,9.4,-9.33,9.4,False
123.88,53.22,6.02,-4.65,5.63,False
93.15,31.57,7.8,-9.15,7.7,False
120.81,59.37,8.81,-5.24,4.84,False
102.3,47.1,5.78,-6.43,5.71,False
110.62,39.79,2.09,0.49,0.75,False
130.13,59.72,4.99,-3.39,3.98,False
89.59,29.35,9.79,-9.04,7.73,False
145.62,77.77,9.67,-9.68,8.49,False
135.63,65.03,9.13,-5.47,6.58,False
89.47,27.39,11.75,-7.44,8.65,False
140.36,68.61,1.71,-0.33,1.35,False
91.03,29.69,9.77,-9.02,7.74,False
93.83,33.63,8.35,-8.84,8.35,False
