conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
5.89,11.22,0.09,36.62,2.21
5.64,8.6,0.07,41.87,2.22
5.67,8.9,0.07,41.87,2.22
5.46,6.78,0.06,66.3,2.14
5.51,7.25,0.07,66.3,2.14
5.31,5.26,0.07,68.81,2.06
5.35,5.64,0.07,68.81,2.06
5.42,6.41,0.08,66.3,2.14
5.42,6.41,0.08,66.3,2.14
5.17,3.92,0.07,75.8,2.04
5.03,2.58,0.07,81.86,2.0
5.11,3.35,0.07,75.8,2.04
4.89,1.24,0.06,81.86,1.93
4.95,1.82,0.06,81.86,2.0
5.13,3.54,0.07,75.8,2.04
5.19,4.11,0.07,68.81,2.04
5.09,3.16,0.07,75.8,2.04
5.35,5.64,0.07,68.81,2.06
5.23,4.49,0.07,68.81,2.06
5.27,4.88,0.07,68.81,2.06
4.81,0.48,0.06,81.86,1.93
5.29,5.07,0.07,68.81,2.06
5.05,2.77,0.07,75.8,2.04
5.15,3.73,0.07,75.8,2.04
4.93,1.63,0.06,81.86,2.0
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
5.11,4.69,0.02,25.74,0.9
4.83,3.71,0.01,25.74,0.9
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
5.48,3.29,0.02,52.25,1.33
6.18,0.47,0.05,83.11,1.44
6.01,1.17,0.04,77.0,1.39
6.01,1.17,0.04,77.0,1.39
6.18,0.47,0.05,83.11,1.44
6.05,1.0,0.04,77.0,1.39
5.43,3.46,0.02,52.25,1.33
5.71,2.37,0.04,77.0,1.38
5.52,3.1,0.03,52.25,1.33
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
7.03,0.09,0.06,90.98,1.65
7.66,4.77,0.08,105.19,1.66
7.53,3.79,0.08,99.97,1.65
7.7,5.16,0.08,104.14,1.67
7.55,3.98,0.08,99.97,1.66
7.55,3.98,0.08,99.97,1.66
7.29,2.01,0.08,100.17,1.65
7.27,1.82,0.08,100.17,1.65
7.4,2.8,0.08,99.97,1.66
7.99,7.47,0.08,109.65,1.68
7.99,7.47,0.08,109.65,1.68
7.87,6.51,0.08,104.14,1.66
7.83,6.13,0.08,104.14,1.66
7.97,7.28,0.08,109.65,1.68
8.01,7.66,0.08,109.65,1.68
8.01,7.66,0.08,109.65,1.68
8.04,7.84,0.08,109.65,1.68
7.8,5.93,0.08,104.14,1.66
7.78,5.74,0.08,104.14,1.67
7.8,5.93,0.08,104.14,1.66
8.06,8.03,0.08,109.65,1.66
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
6.28,0.09,0.05,83.11,1.44
6.28,0.09,0.05,83.11,1.44
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
7.29,2.01,0.08,100.17,1.65
