conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
5.29,15.48,0.03,49.8,1.8,False
9.95,10.05,0.19,6.04,2.76,False
8.53,6.73,0.17,13.9,2.79,False
1.89,4.78,0.04,85.39,2.72,False
1.7,6.02,0.03,19.76,2.65,False
14.71,15.3,0.24,16.96,2.55,False
15.35,15.18,0.29,16.26,2.34,False
8.82,0.09,0.14,3.74,2.51,False
10.34,0.09,0.17,7.25,2.54,False
4.38,4.02,0.02,44.6,1.53,False
7.56,7.6,0.07,3.57,0.78,False
4.1,0.06,0.0,28.09,0.9,False
7.49,11.44,0.11,31.63,2.52,False
9.94,5.41,0.09,19.29,1.84,False
9.73,5.91,0.13,2.27,2.54,False
6.01,0.78,0.04,56.32,1.76,False
2.2,9.68,0.04,14.78,2.72,False
8.41,6.52,0.15,12.14,2.76,False
7.33,10.56,0.11,12.22,0.76,False
8.61,10.44,0.17,17.29,2.82,False
1.49,10.71,0.01,6.84,2.51,False
3.69,0.1,0.05,43.05,2.09,False
16.09,27.18,0.25,32.89,2.5,False
-4.4,0.09,0.0,91.86,1.56,False
16.44,1.64,0.1,34.08,2.64,False
11.94,0.1,0.1,43.79,2.25,False
-9.42,0.07,0.0,24.68,1.79,False
5.65,5.14,0.07,0.0,2.54,False
4.24,11.42,0.01,15.09,1.61,False
8.77,8.9,0.13,7.87,2.5,False
8.79,9.01,0.1,3.8,2.63,False
10.51,0.07,0.09,10.59,2.66,False
10.34,0.1,0.17,8.18,2.56,False
9.54,11.7,0.17,11.38,2.68,False
1.92,5.98,0.04,16.36,2.72,False
4.79,13.94,0.04,45.28,1.84,False
7.64,13.65,0.16,16.07,2.65,False
7.06,13.65,0.14,17.6,2.64,False
4.43,1.32,0.02,13.13,1.35,False
4.8,14.14,0.03,47.25,1.81,False
8.75,7.79,0.13,8.33,2.76,False
1.88,0.1,0.03,13.44,2.6,False
7.03,29.14,0.09,21.5,2.05,False
6.35,0.09,0.04,66.26,1.8,False
2.89,2.37,0.06,19.77,2.69,False
8.31,7.53,0.12,2.72,2.52,False
1.92,0.06,0.02,13.74,2.56,False
5.41,15.86,0.01,48.92,1.83,False
4.39,3.84,0.03,41.64,1.48,False
2.7,12.97,0.02,20.51,2.66,False
8.82,8.83,0.12,7.84,2.55,False
8.65,4.22,0.14,9.4,2.5,False
4.48,3.66,0.03,55.56,1.49,False
19.33,15.38,0.32,24.34,2.69,False
8.28,8.53,0.12,5.44,2.41,False
10.4,12.78,0.18,17.1,2.71,False
3.22,5.78,0.01,28.46,1.54,False
1.71,13.16,0.03,19.13,2.71,False
10.13,9.46,0.14,2.38,2.6,False
5.84,0.09,0.03,8.25,1.78,False
1.5,0.09,0.0,19.94,2.82,False
8.87,0.48,0.11,3.7,2.52,False
5.6,0.28,0.07,0.0,2.44,False
10.81,16.63,0.2,37.34,2.36,False
8.86,0.08,0.09,3.6,2.53,False
12.4,16.63,0.22,37.82,2.2,False
11.57,16.82,0.14,21.89,2.6,False
1.5,1.08,0.0,15.8,2.73,False
15.87,16.63,0.25,28.91,2.71,False
8.9,5.53,0.06,50.86,2.1,False
1.51,10.71,0.03,21.65,2.67,False
