index,lon,lat,age
231,-99.162,19.232,1
232,-99.156,19.254,1
233,-99.15,19.25,1
234,-99.103,19.057,1
235,-99.088,19.35,1
236,-99.068,18.957,1
237,-99.05,19.303,1
238,-99.048,19.368,1
239,-99.032,19.255,1
240,-99.015,19.38,1
241,-99.013,19.243,1
242,-98.96,19.42,1
243,-98.935,19.38,1
244,-98.893,19.36,1
245,-98.855,19.085,1
246,-98.833,19.213,1
247,-98.822,18.95,1
248,-98.807,19.008,1
249,-98.775,19.122,1
250,-98.72,19.32,1
251,-98.715,19.335,1
252,-98.708,19.33,1
253,-98.6756,19.0621,1
254,-98.655,19.0567,1
255,-98.65,19.095,1
256,-98.637,19.05,1
257,-98.63,19.355,1
258,-98.533,19.083,1
259,-98.483,18.973,1
260,-97.4947,18.958,1
261,-97.49,18.979,1
262,-97.461,18.978,1
263,-97.325,18.892,1
264,-97.317,19.033,1
265,-97.291,18.965,1
266,-97.238,18.957,1
267,-97.233,18.95,1
268,-97.232,18.97,1
269,-97.117,19.55,1
270,-97.067,19.45,1
271,-96.9,19.367,1
272,-93.23,17.36,1
273,-119.07,49.78,2
274,-118.53,49.88,3
275,-104.79,21.506,3
276,-104.731,21.382,3
277,-104.725,21.501,3
278,-104.71,21.517,3
279,-104.693,21.167,3
280,-104.683,21.281,3
281,-104.683,21.294,3
282,-104.673,21.476,3
283,-104.669,21.126,3
284,-104.669,21.471,3
285,-104.637,21.44,3
286,-104.622,21.229,3
287,-104.609,21.376,3
288,-104.595,21.215,3
289,-104.591,21.217,3
290,-104.541,21.178,3
291,-104.155,21.005,3
292,-104.072,21.017,3
293,-103.855,20.853,3
294,-103.738,20.791,3
295,-103.734,20.892,3
296,-103.732,20.903,3
297,-103.725,20.892,3
298,-103.436,20.924,3
299,-103.34,20.776,3
300,-135.4367,60.4367,4
301,-135.4333,60.4583,4
302,-135.0417,60.6933,4
303,-105.278,21.022,4
304,-104.67,21.326,4
305,-104.659,21.318,4
306,-104.651,21.303,4
307,-104.44,21.119,4
308,-104.422,21.101,4
309,-104.403,21.078,4
310,-104.24,21.096,4
311,-104.233,21.042,4
