index,lon,lat,age
163,-67.7823,-23.3217,2
164,-67.775,-23.3233,2
165,-67.7533,-23.3244,2
166,-67.7971,-23.3262,2
167,-67.7742,-23.3307,2
168,-67.8005,-23.3337,2
169,-67.7513,-23.3341,2
170,-67.7624,-23.3341,2
171,-67.7512,-23.3346,2
172,-67.757,-23.3351,2
173,-67.8082,-23.346,2
174,-67.8072,-23.3464,2
175,-67.8108,-23.3487,2
176,-67.8164,-23.3529,2
177,-67.8155,-23.355,2
178,-67.8177,-23.3714,2
179,-67.7243,-23.39,2
180,-67.7197,-23.3949,2
181,-67.7184,-23.3952,2
182,-67.7207,-23.3954,2
183,-67.7511,-23.4,2
184,-67.6,-24,2
185,-66.4167,-24,2
186,-66.5,-24,2
187,-68.3161,-24.1364,2
188,-68.3192,-24.1372,2
189,-68.3103,-24.1372,2
190,-68.3069,-24.1392,2
191,-68.2653,-24.14,2
192,-68.2189,-24.1514,2
193,-68.2267,-24.1583,2
194,-66.55,-24.18,2
195,-68.3275,-24.2967,2
196,-68.3611,-24.3972,2
197,-68.4522,-24.4706,2
198,-68.5581,-24.6839,2
199,-68.516,-24.739,2
200,-66.1676,-24.7433,2
201,-68.515,-24.748,2
202,-68.529,-24.754,2
203,-68.559,-24.756,2
204,-68.503,-24.76,2
205,-68.5747,-24.7647,2
206,-68.398,-24.8002,2
207,-68.375,-24.92,2
208,-68.5189,-25.1253,2
209,-68.56,-25.1397,2
210,-68.5167,-25.1431,2
211,-68.5156,-25.1461,2
212,-70.5,-35,2
213,-68.66385,-35.020814,2
214,-68.251476,-35.080093,2
215,-69.707,-35.1032,2
216,-69.874,-35.127,2
217,-69.87,-35.13,2
218,-69.882,-35.133,2
219,-69.866,-35.136,2
220,-69.88212,-35.13675,2
221,-69.88161,-35.13689,2
222,-69.8493,-35.1392,2
223,-69.68718,-35.14037,2
224,-69.66158,-35.14045,2
225,-68.013528,-35.154944,2
226,-69.877,-35.161,2
227,-69.784,-35.163,2
228,-69.791,-35.163,2
229,-69.794,-35.166,2
230,-69.776,-35.168,2
231,-69.775,-35.168,2
232,-68.30403,-35.169272,2
233,-69.79,-35.17,2
234,-69.776,-35.173,2
235,-69.774,-35.174,2
236,-69.794,-35.176,2
237,-69.782,-35.178,2
238,-69.77327,-35.1865,2
239,-69.772,-35.194,2
240,-68.278592,-35.197284,2
241,-68.110397,-35.19853,2
