conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
10.88,4.17,2.43,-125.65,0.2,27.14,10.85,0.79,-1.41,-1.97,-9.53,-7.15,9.45,-1.19,42.88,24.89,104.97,2.47,False
1.84,15.5,1.89,-150.2,0.2,29.86,1.77,0.49,-1.64,-0.94,-0.48,-73.12,0.14,-0.46,1.16,21.88,44.19,1.05,False
13.92,-7.57,4.09,168.12,0.2,25.84,13.8,-1.83,-4.0,0.84,-9.85,-5.83,9.8,-1.0,35.95,15.9,104.57,2.39,False
8.84,-13.57,2.38,-126.81,0.2,25.46,8.59,-2.07,-1.43,-1.91,-8.21,-29.06,7.17,-3.99,39.93,36.22,106.16,2.34,False
10.39,-23.05,2.81,-173.24,0.2,29.22,9.56,-4.07,-2.79,-0.33,-8.09,-33.05,6.78,-4.41,81.6,4.37,149.05,2.49,False
9.92,-36.73,2.35,-103.34,0.2,24.48,7.95,-5.93,-0.54,-2.28,-11.04,-48.09,7.37,-8.22,48.85,26.33,118.61,2.16,False
3.29,-10.5,1.2,-170.03,0.2,28.07,3.24,-0.6,-1.18,-0.21,-2.21,-21.44,2.06,-0.81,65.58,25.72,136.96,2.46,False
13.72,6.71,1.53,-144.04,0.16,22.79,13.63,1.6,-1.24,-0.9,-12.41,3.33,12.39,0.72,5.91,16.07,51.32,1.64,False
13.46,-7.61,4.0,168.12,0.2,28.14,13.34,-1.78,-3.91,0.82,-9.48,-5.86,9.43,-0.97,40.83,12.83,107.53,2.42,False
10.89,-32.1,2.38,-105.5,0.2,25.23,9.23,-5.79,-0.64,-2.29,-11.78,-43.35,8.56,-8.08,54.99,23.77,126.14,2.35,False
4.37,6.4,4.19,-160.55,0.2,26.51,4.34,0.49,-3.95,-1.39,-1.02,-66.86,0.4,-0.94,59.94,33.31,131.55,2.41,False
11.12,-32.54,-4.12,-8.2,0.2,4.17,9.37,-5.98,4.08,-0.59,-14.99,-26.15,13.45,-6.61,48.13,41.33,117.85,2.36,False
4.71,-25.78,2.38,-128.36,0.2,25.92,4.24,-2.05,-1.47,-1.86,-4.82,-54.62,2.79,-3.93,45.63,38.86,114.32,2.36,False
5.77,8.58,2.33,151.37,0.2,35.03,5.71,0.86,-2.04,1.12,-4.15,28.26,3.65,1.96,85.83,25.35,150.73,2.56,False
5.05,-27.24,-3.95,-25.01,0.15,4.26,4.49,-2.31,3.58,-1.67,-9.0,-26.66,8.05,-4.04,61.0,32.94,132.65,2.56,False
9.39,-23.92,2.37,-113.47,0.19,25.68,8.59,-3.81,-0.94,-2.17,-9.68,-38.14,7.61,-5.98,48.81,32.41,118.57,2.05,False
5.03,-18.18,-1.99,-84.9,0.2,12.1,4.78,-1.57,0.18,-1.98,-6.08,-35.86,4.93,-3.56,29.8,41.11,90.69,2.13,False
4.17,-54.05,-4.14,-8.1,0.2,3.75,2.45,-3.37,4.1,-0.58,-7.66,-31.31,6.55,-3.98,48.1,36.16,117.65,2.22,False
10.36,-13.71,2.4,-106.52,0.2,25.03,10.07,-2.46,-0.68,-2.3,-10.5,-26.96,9.36,-4.76,50.96,29.11,121.31,2.08,False
9.87,-16.02,1.91,114.11,0.19,3.08,9.49,-2.72,-0.78,1.74,-8.77,-6.42,8.72,-0.98,67.47,29.33,138.69,2.61,False
2.49,10.2,3.85,-158.52,0.2,29.09,2.45,0.44,-3.58,-1.41,1.5,-138.2,-1.12,-1.0,0.06,22.54,43.2,1.01,False
9.06,-22.24,1.89,107.93,0.2,3.79,8.39,-3.43,-0.58,1.8,-7.99,-11.8,7.82,-1.63,45.86,37.11,114.79,2.55,False
5.86,8.45,2.34,151.51,0.2,35.42,5.8,0.86,-2.06,1.12,-4.21,27.79,3.73,1.96,84.82,25.35,150.2,2.56,False
8.99,-17.95,1.91,156.54,0.2,27.97,8.56,-2.77,-1.76,0.76,-7.09,-16.41,6.8,-2.0,52.44,32.96,123.03,2.19,False
8.24,-14.4,2.37,-126.11,0.2,26.85,7.98,-2.05,-1.4,-1.92,-7.69,-31.07,6.59,-3.97,45.17,22.24,113.75,2.42,False
14.97,31.32,4.28,-152.95,0.2,18.47,12.79,7.78,-3.82,-1.95,-10.7,32.98,8.98,5.83,28.4,34.01,83.44,2.18,False
12.11,10.41,2.43,-119.13,0.17,19.63,11.92,2.19,-1.18,-2.12,-10.74,0.32,10.74,0.06,26.69,30.97,85.33,2.19,False
5.28,-11.78,1.86,121.72,0.18,14.17,5.16,-1.08,-0.98,1.58,-4.22,6.92,4.19,0.51,19.83,3.84,51.31,1.36,False
9.63,-7.66,2.87,-156.41,0.18,33.37,9.54,-1.28,-2.63,-1.15,-7.33,-19.42,6.92,-2.44,85.42,5.24,150.58,2.44,False
5.11,30.19,4.3,-135.49,0.18,22.76,4.42,2.57,-3.06,-3.01,-1.45,-18.69,1.38,-0.47,59.81,36.71,131.41,2.38,False
14.88,18.66,4.27,-165.51,0.18,18.6,14.1,4.76,-4.13,-1.07,-10.62,20.28,9.96,3.68,25.33,19.67,85.61,2.22,False
3.77,25.08,2.2,-137.66,0.18,23.05,3.41,1.6,-1.63,-1.48,-1.8,3.3,1.8,0.1,52.03,35.88,126.08,2.37,False
-1.38,97.95,2.24,-146.5,0.17,21.49,-0.19,1.37,-1.87,-1.24,2.05,176.94,-2.05,0.11,48.88,37.77,118.65,2.33,False
9.49,-48.1,-2.01,-22.57,0.2,27.17,6.34,-7.06,1.86,-0.77,-11.35,-43.71,8.2,-7.84,52.92,24.81,123.74,2.36,False
11.8,3.07,2.43,-126.7,0.2,23.45,11.79,0.63,-1.45,-1.95,-10.43,-7.3,10.34,-1.33,30.23,31.71,94.66,2.23,False
10.9,-6.75,4.16,172.41,0.18,20.3,10.83,-1.28,-4.12,0.55,-6.75,-6.33,6.7,-0.74,29.93,22.35,90.6,2.34,False
8.67,-64.92,-6.44,83.2,0.19,9.03,3.68,-7.86,0.76,6.39,-4.7,-18.16,4.47,-1.47,32.88,3.07,87.31,2.26,False
