conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
8.81,38.62,9.11,172.8,0.2,5.99,6.88,5.5,-9.04,1.14,6.97,108.0,-2.15,6.63,74.21,6.8,130.56,2.53,False
8.82,38.7,9.1,172.79,0.2,6.72,6.89,5.52,-9.03,1.14,6.98,107.87,-2.14,6.65,86.29,5.61,126.79,2.52,False
7.65,8.44,4.87,-123.78,0.19,12.35,7.57,1.12,-2.71,-4.05,-5.65,-31.08,4.84,-2.92,62.64,36.85,134.24,2.41,False
9.76,-22.22,1.88,144.09,0.2,8.93,9.03,-3.69,-1.52,1.1,-7.94,-19.29,7.5,-2.62,93.59,13.52,154.25,2.84,False
4.43,-18.36,2.4,162.46,0.19,2.55,4.21,-1.4,-2.29,0.72,-2.04,-19.53,1.92,-0.68,9.61,37.77,57.23,1.48,False
4.46,18.5,9.23,-177.12,0.19,14.88,4.23,1.42,-9.21,-0.46,5.07,169.33,-4.98,0.94,117.66,5.18,153.05,0.76,False
5.12,-26.88,1.77,-139.99,0.19,15.48,4.56,-2.31,-1.36,-1.14,-4.7,-47.21,3.19,-3.45,17.28,44.59,76.6,1.88,False
2.6,22.68,-4.34,-70.48,0.2,4.37,2.4,1.0,1.45,-4.09,-4.94,-38.74,3.85,-3.09,89.46,17.86,152.45,2.68,False
8.37,4.92,3.78,-104.74,0.2,8.46,8.34,0.72,-0.96,-3.65,-7.94,-21.94,7.36,-2.97,95.18,14.35,154.77,2.78,False
12.66,12.51,4.3,-149.97,0.19,18.37,12.36,2.74,-3.73,-2.15,-8.65,3.87,8.63,0.58,55.97,14.39,127.26,2.27,False
8.82,38.7,9.1,172.79,0.2,6.72,6.89,5.52,-9.03,1.14,6.98,107.87,-2.14,6.65,86.29,5.61,126.79,2.52,False
10.5,-41.59,2.2,142.78,0.2,18.72,7.86,-6.97,-1.75,1.33,-8.31,-42.58,6.12,-5.62,22.88,39.32,78.92,1.97,False
9.35,-21.06,1.93,-149.12,0.07,0.04,8.73,-3.36,-1.66,-0.99,-8.31,-31.63,7.07,-4.36,82.33,6.37,148.69,2.8,False
9.79,-18.87,1.9,149.19,0.19,7.72,9.26,-3.17,-1.63,0.97,-7.94,-16.33,7.62,-2.23,95.0,13.24,154.62,2.83,False
8.61,17.75,6.73,-102.79,0.07,0.04,8.2,2.63,-1.49,-6.57,-7.81,-30.48,6.73,-3.96,69.74,5.29,140.54,2.73,False
8.72,48.69,9.13,-176.78,0.18,1.54,5.76,6.55,-9.12,-0.51,6.9,119.15,-3.36,6.02,129.37,4.86,125.29,2.48,False
7.23,-15.72,2.73,138.94,0.19,0.09,6.96,-1.96,-2.06,1.79,-4.91,-1.83,4.91,-0.16,2.49,20.36,45.43,1.06,False
8.97,-9.31,5.28,-130.63,0.19,0.35,8.85,-1.45,-3.44,-4.01,-7.71,-45.08,5.44,-5.46,54.94,1.78,130.47,2.58,False
15.68,29.44,5.33,-129.11,0.19,11.97,13.65,7.71,-3.36,-4.13,-10.9,18.95,10.31,3.54,83.09,34.8,149.29,2.6,False
8.76,48.85,9.13,-176.78,0.19,3.66,5.76,6.59,-9.11,-0.51,6.93,118.88,-3.35,6.07,124.51,3.73,112.73,2.47,False
12.07,-1.61,2.46,-173.58,0.14,0.07,12.06,-0.34,-2.44,-0.27,-9.64,-3.6,9.62,-0.6,3.69,17.26,46.54,1.48,False
8.31,-6.42,4.9,-121.36,0.17,11.61,8.26,-0.93,-2.55,-4.18,-7.64,-41.92,5.68,-5.1,64.19,44.15,134.72,2.11,False
8.85,-37.93,1.29,-155.58,0.18,0.09,6.98,-5.44,-1.18,-0.54,-8.33,-45.83,5.81,-5.98,83.39,9.43,149.32,2.74,False
7.6,36.69,3.07,-156.55,0.11,4.26,6.1,4.54,-2.82,-1.22,-4.67,45.56,3.27,3.33,7.06,4.81,49.85,1.42,False
6.17,24.72,4.15,-112.24,0.2,4.94,5.61,2.58,-1.57,-3.85,-4.24,-17.25,4.05,-1.26,36.87,0.0,101.5,2.43,False
2.65,47.22,3.67,-91.88,0.19,1.78,1.8,1.94,-0.12,-3.67,-2.42,-45.43,1.7,-1.72,80.96,0.22,148.09,0.75,False
8.74,48.77,9.13,-176.78,0.19,2.49,5.76,6.57,-9.12,-0.51,6.91,119.01,-3.35,6.05,124.84,4.68,114.49,2.47,False
8.34,41.45,4.81,-111.01,0.2,6.13,6.25,5.52,-1.72,-4.49,-4.63,13.16,4.5,1.05,74.5,4.45,130.78,2.66,False
13.1,1.7,2.43,-138.22,0.2,14.58,13.1,0.39,-1.81,-1.62,-11.36,-6.18,11.29,-1.22,88.16,22.39,152.91,2.69,False
2.85,62.86,-3.68,-73.95,0.19,0.1,1.3,2.54,1.02,-3.53,-2.53,-22.84,2.34,-0.98,75.98,0.69,146.74,0.75,False
8.36,33.28,4.32,-93.04,0.18,0.28,6.99,4.59,-0.23,-4.31,-6.75,2.55,6.75,0.3,54.21,-0.0,116.93,2.63,False
7.32,20.32,3.15,-174.48,0.1,1.06,6.87,2.54,-3.14,-0.3,-4.36,31.17,3.73,2.26,1.71,33.21,45.06,1.16,False
9.94,26.69,5.27,-109.54,0.2,2.17,8.88,4.47,-1.76,-4.97,-7.15,-4.29,7.13,-0.53,85.14,11.73,150.34,2.67,False
10.34,4.59,4.98,-127.84,0.2,16.44,10.31,0.83,-3.05,-3.93,-7.88,-23.1,7.25,-3.09,85.46,33.01,150.55,2.43,False
15.37,-31.22,2.98,-179.02,0.19,15.57,13.14,-7.97,-2.98,-0.05,-12.95,-38.23,10.17,-8.01,90.06,18.02,142.18,2.42,False
8.68,37.32,-5.32,-83.13,0.19,1.45,6.9,5.26,0.64,-5.28,-7.56,0.06,7.56,0.01,42.02,0.05,118.78,2.51,False
2.85,62.86,-3.68,-73.91,0.19,0.1,1.3,2.54,1.02,-3.53,-2.54,-22.82,2.34,-0.98,73.48,0.14,145.25,0.77,False
8.57,18.32,6.72,-102.81,0.07,0.04,8.13,2.69,-1.49,-6.56,-7.71,-30.23,6.66,-3.88,64.84,5.47,137.43,2.69,False
11.3,11.6,4.93,-107.02,0.19,7.73,11.07,2.27,-1.44,-4.71,-9.92,-14.18,9.62,-2.43,79.68,31.97,147.34,2.46,False
2.79,44.09,3.67,-93.54,0.19,0.47,2.01,1.94,-0.23,-3.67,-2.49,-43.7,1.8,-1.72,53.27,-0.0,113.85,2.61,False
-3.1,-94.99,2.54,130.14,0.19,0.09,-0.27,-3.09,-1.64,1.94,2.1,-149.38,-1.8,-1.07,4.37,31.88,266.39,1.18,False
-4.38,-99.03,2.61,-177.84,0.17,0.09,-0.69,-4.32,-2.61,-0.1,5.52,-126.65,-3.3,-4.43,11.13,97.81,65.76,1.54,False
6.19,-36.71,2.05,-171.22,0.19,14.31,4.96,-3.7,-2.02,-0.31,-4.98,-53.6,2.95,-4.0,95.63,15.19,155.14,2.71,False
9.08,38.07,-5.29,-83.54,0.19,0.48,7.15,5.6,0.6,-5.26,-7.77,2.7,7.77,0.37,53.61,1.72,129.16,2.57,False
15.8,25.68,6.42,-142.34,0.2,16.24,14.24,6.85,-5.08,-3.92,-9.62,17.46,9.18,2.89,89.96,22.6,152.69,2.63,False
2.57,-26.46,-2.09,-20.3,0.19,11.07,2.3,-1.15,1.96,-0.73,-4.66,-23.76,4.26,-1.88,85.58,24.98,153.76,2.69,False
2.85,62.86,-3.67,-74.14,0.19,0.1,1.3,2.54,1.0,-3.53,-2.52,-22.95,2.32,-0.98,53.48,0.0,113.17,2.61,False
7.21,-15.65,2.73,139.02,0.19,0.09,6.94,-1.94,-2.06,1.79,-4.89,-1.71,4.89,-0.15,1.82,24.93,44.5,1.02,False
2.42,61.22,-3.69,-82.37,0.19,4.26,1.17,2.12,0.49,-3.66,-2.27,-42.3,1.68,-1.52,74.7,0.49,142.34,1.5,False
2.85,62.86,-3.68,-74.06,0.19,0.1,1.3,2.54,1.01,-3.53,-2.53,-22.9,2.33,-0.98,51.5,0.01,112.4,2.6,False
12.2,-5.22,2.45,-177.07,0.19,21.04,12.15,-1.11,-2.45,-0.13,-9.78,-7.19,9.7,-1.22,1.58,13.95,44.83,1.16,False
6.35,-25.22,2.12,166.66,0.17,0.09,5.74,-2.71,-2.07,0.49,-4.28,-30.78,3.68,-2.19,10.66,66.26,58.88,1.8,False
9.95,13.09,5.32,-124.35,0.15,0.08,9.69,2.25,-3.0,-4.4,-7.04,-18.0,6.69,-2.18,85.61,11.97,150.57,2.67,False
10.89,5.97,3.28,-139.85,0.2,1.58,10.83,1.13,-2.51,-2.12,-8.39,-6.83,8.33,-1.0,86.05,22.75,150.81,2.67,False
15.87,-7.84,5.49,-168.84,0.19,16.82,15.72,-2.17,-5.39,-1.06,-10.83,-17.55,10.33,-3.27,91.79,30.86,154.29,2.7,False
14.61,1.51,4.99,-123.11,0.2,26.61,14.61,0.38,-2.72,-4.18,-12.48,-17.68,11.89,-3.79,64.33,14.97,135.85,2.56,False
8.49,9.32,3.79,-101.91,0.19,7.69,8.38,1.38,-0.78,-3.71,-7.94,-17.31,7.58,-2.36,95.24,13.93,154.75,2.8,False
8.07,63.28,5.04,-97.87,0.2,10.76,3.63,7.21,-0.69,-4.99,-3.67,37.49,2.91,2.23,78.46,10.14,147.05,1.81,False
-4.54,-97.82,2.43,162.16,0.17,0.94,-0.62,-4.5,-2.32,0.75,4.77,-128.01,-2.94,-3.76,14.23,93.22,68.18,1.56,False
17.46,17.13,4.59,-139.21,0.19,17.67,16.69,5.14,-3.48,-3.0,-13.4,9.18,13.23,2.14,78.19,20.72,153.64,2.69,False
2.59,48.68,3.67,-91.42,0.19,2.34,1.71,1.94,-0.09,-3.67,-2.37,-46.39,1.64,-1.72,57.66,0.0,118.36,2.57,False
8.85,-37.93,1.29,-155.58,0.18,0.09,6.98,-5.44,-1.18,-0.54,-8.33,-45.83,5.81,-5.98,83.39,9.43,149.32,2.74,False
9.39,12.31,1.94,-115.65,0.19,1.06,9.17,2.0,-0.84,-1.74,-8.34,1.76,8.34,0.26,79.28,5.54,147.66,2.78,False
