conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
4.36,-8.81,1.88,-125.59,0.15,9.5,4.31,-0.67,-1.1,-1.53,-3.9,-34.46,3.22,-2.21,32.94,39.55,95.34,2.09,False
4.42,10.23,9.23,174.44,0.19,13.33,4.35,0.78,-9.19,0.89,5.12,161.03,-4.84,1.66,122.92,1.19,156.32,0.77,False
3.47,42.68,-1.73,-87.33,0.16,8.16,2.55,2.35,0.08,-1.73,-2.71,13.24,2.64,0.62,28.57,29.08,88.14,1.98,False
4.44,-7.66,2.36,172.11,0.17,1.32,4.4,-0.59,-2.34,0.32,-2.08,-7.59,2.06,-0.27,5.42,11.26,50.7,1.34,False
1.39,-28.41,2.74,-94.12,0.19,6.34,1.23,-0.66,-0.2,-2.73,-3.54,-73.18,1.03,-3.39,91.78,34.08,151.09,2.69,False
9.79,-6.22,1.87,-131.58,0.19,4.8,9.74,-1.06,-1.24,-1.4,-8.84,-16.17,8.49,-2.46,102.46,15.57,153.45,2.8,False
9.13,14.48,2.11,-159.49,0.19,14.14,8.84,2.28,-1.98,-0.74,-7.04,12.86,6.86,1.57,19.41,44.13,73.14,1.96,False
5.31,40.98,4.73,-93.39,0.19,7.73,4.01,3.48,-0.28,-4.72,-3.9,-18.54,3.7,-1.24,23.34,24.83,79.81,2.11,False
16.39,38.86,4.67,-94.28,0.19,8.5,12.76,10.28,-0.35,-4.65,-13.65,24.27,12.45,5.61,17.08,14.88,69.27,1.96,False
14.27,58.78,-4.66,-89.11,0.19,8.31,7.4,12.2,0.07,-4.66,-10.61,45.09,7.49,7.51,38.64,119.08,104.15,2.4,False
8.58,-22.46,9.0,-173.76,0.18,0.09,7.92,-3.28,-8.95,-0.98,4.34,-103.66,-1.02,-4.22,125.79,2.22,159.95,0.78,False
7.69,-47.11,3.75,173.46,0.15,0.07,5.24,-5.64,-3.73,0.43,-5.42,-73.77,1.51,-5.2,92.22,23.33,156.46,2.72,False
1.5,-82.08,-1.95,-30.66,0.19,0.1,0.21,-1.49,1.68,-0.99,-3.11,-52.77,1.88,-2.48,91.18,12.55,131.24,2.6,False
4.4,-16.26,2.28,134.66,0.18,4.73,4.23,-1.23,-1.61,1.62,-2.65,8.4,2.62,0.39,7.6,39.85,54.02,1.25,False
10.33,-32.04,1.95,-160.85,0.2,0.29,8.76,-5.48,-1.84,-0.64,-9.24,-41.51,6.92,-6.12,74.74,7.3,126.33,2.55,False
15.89,-7.93,5.49,-169.27,0.19,18.15,15.74,-2.19,-5.4,-1.02,-10.83,-17.48,10.33,-3.25,82.03,37.23,148.7,2.48,False
8.05,-13.4,4.87,-128.05,0.2,9.76,7.83,-1.87,-3.0,-3.84,-7.44,-49.84,4.8,-5.69,59.36,41.39,130.95,2.34,False
8.87,43.03,8.95,177.34,0.19,0.1,6.49,6.06,-8.94,0.42,6.91,110.71,-2.44,6.46,53.88,2.94,123.5,2.52,False
11.03,-63.0,4.96,162.62,0.2,19.48,5.01,-9.83,-4.73,1.48,-8.33,-88.24,0.26,-8.33,72.98,37.63,142.93,2.45,False
3.66,69.65,5.55,-102.88,0.19,0.09,1.27,3.44,-1.24,-5.41,-1.98,-88.75,0.04,-1.98,83.3,12.89,149.39,2.64,False
7.56,45.42,2.71,-158.71,0.18,4.87,5.31,5.39,-2.53,-0.98,-5.21,57.81,2.78,4.41,7.98,32.95,52.44,1.42,False
14.9,16.96,4.68,-137.92,0.16,4.3,14.25,4.35,-3.47,-3.13,-10.84,6.22,10.78,1.18,61.37,51.77,132.97,2.14,False
