conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
14.72,-7.47,4.99,-133.02,0.2,16.44,14.59,-1.91,-3.41,-3.65,-12.49,-26.44,11.19,-5.56,66.88,16.96,138.35,2.57,FALSE
15.91,19.47,6.35,-148.09,0.19,18.18,15,5.3,-5.39,-3.36,-9.81,11.21,9.62,1.91,90.86,23.07,153.1,2.63,FALSE
10.51,-27.86,2.54,-152.01,0.2,14.37,9.29,-4.91,-2.24,-1.19,-9.34,-40.77,7.07,-6.1,96.08,17.44,155.33,2.71,FALSE
15.77,25.8,6.43,-142.02,0.2,16.44,14.2,6.86,-5.07,-3.96,-9.59,17.41,9.15,2.87,90.24,22.13,152.82,2.67,FALSE
12.25,-5.2,2.45,-177.07,0.19,20.66,12.2,-1.11,-2.45,-0.13,-9.82,-7.16,9.75,-1.22,1.58,11.49,44.83,1.16,FALSE
8.55,18.61,6.72,-102.82,0.07,0.04,8.1,2.73,-1.49,-6.55,-7.66,-30.11,6.63,-3.84,62.78,2.86,135.92,2.67,FALSE
8.83,4.69,6.89,-105.96,0.2,1.76,8.8,0.72,-1.89,-6.62,-9.08,-40.61,6.9,-5.91,114.13,4.24,118.05,2.51,FALSE
12.41,7.44,3.74,-135.77,0.19,18.37,12.31,1.61,-2.68,-2.61,-9.69,-6.02,9.63,-1.02,64.96,14.81,136.46,2.53,FALSE
9.32,-24.26,2.39,-162.98,0.19,18.87,8.5,-3.83,-2.29,-0.7,-7.67,-36.07,6.2,-4.52,14.01,5.11,65.63,1.8,FALSE
8.57,18.32,6.72,-102.81,0.07,0.04,8.13,2.69,-1.49,-6.56,-7.71,-30.23,6.66,-3.88,64.84,5.47,137.43,2.69,FALSE
4.89,31.5,-3.76,-60.91,0.2,6.43,4.17,2.55,1.83,-3.29,-6.06,-6.69,6.02,-0.71,60.2,0.35,133.69,1.91,FALSE
2.81,43.67,3.68,-93.67,0.19,0.28,2.04,1.94,-0.24,-3.67,-2.5,-43.4,1.82,-1.72,49.78,0,111.07,2.59,FALSE
2.85,62.86,-3.67,-74.14,0.19,0.1,1.3,2.54,1,-3.53,-2.52,-22.95,2.32,-0.98,53.48,0,113.17,2.61,FALSE
15.92,19.4,6.34,-148.22,0.19,18.18,15.02,5.29,-5.39,-3.34,-9.83,11.22,9.64,1.91,90.99,23.4,153.15,2.61,FALSE
16.29,23.65,5.97,-131.4,0.19,18.18,14.92,6.53,-3.95,-4.48,-11.18,10.49,10.99,2.04,87.12,21.35,153.49,2.69,FALSE
2.93,29.69,-4.21,-85.78,0.2,2.77,2.54,1.45,0.31,-4.2,-3.96,-44,2.85,-2.75,88.87,20.32,152.17,2.68,FALSE
15.73,25.95,6.45,-141.73,0.2,16.44,14.14,6.88,-5.07,-4,-9.54,17.39,9.1,2.85,90.5,22.07,152.94,2.69,FALSE
8.5,36.86,9.06,169.34,0.2,6.72,6.8,5.1,-8.9,1.68,7.08,107.35,-2.11,6.76,70.25,10.93,140.67,2.67,FALSE
