conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
2.92,-56.78,2.36,-128.5,0.2,28.93,1.6,-2.44,-1.47,-1.85,-4.3,-88.04,0.15,-4.3,53.29,24.81,124.15,2.43,False
2.99,-54.77,2.36,-128.56,0.2,29.52,1.72,-2.44,-1.47,-1.85,-4.31,-86.42,0.27,-4.3,52.41,24.81,123.1,2.41,False
9.92,-36.73,2.35,-103.34,0.2,24.48,7.95,-5.93,-0.54,-2.28,-11.04,-48.09,7.37,-8.22,48.85,26.33,118.61,2.16,False
8.84,-13.57,2.38,-126.81,0.2,25.46,8.59,-2.07,-1.43,-1.91,-8.21,-29.06,7.17,-3.99,39.93,36.22,106.16,2.34,False
2.64,11.95,2.03,-152.36,0.2,28.34,2.58,0.55,-1.79,-0.94,-0.89,-27.1,0.79,-0.41,50.32,32.67,118.45,1.32,False
5.79,-26.31,1.88,105.97,0.2,9.22,5.19,-2.56,-0.52,1.8,-4.74,-9.24,4.68,-0.76,38.5,11.31,100.41,2.21,False
11.67,2.82,2.43,-126.88,0.2,25.22,11.66,0.57,-1.46,-1.94,-10.3,-7.68,10.21,-1.38,33.58,34.57,96.38,2.24,False
12.87,-10.44,3.65,172.53,0.16,19.31,12.66,-2.33,-3.62,0.47,-9.23,-11.39,9.05,-1.82,1.3,-0.0,46.9,1.75,False
6.57,-11.77,2.0,-93.84,0.2,6.12,6.43,-1.34,-0.13,-1.99,-7.11,-28.09,6.27,-3.35,42.37,43.0,109.74,2.19,False
6.24,-23.55,1.89,107.83,0.2,4.19,5.72,-2.49,-0.58,1.8,-5.19,-7.7,5.15,-0.7,46.2,25.68,115.33,2.54,False
5.33,-23.8,2.38,-128.25,0.2,22.75,4.88,-2.15,-1.47,-1.87,-5.29,-49.71,3.42,-4.03,41.69,38.97,108.72,2.31,False
7.14,-17.53,2.37,-127.13,0.2,27.55,6.81,-2.15,-1.43,-1.89,-6.75,-36.87,5.4,-4.05,48.08,28.72,117.69,2.41,False
10.42,-10.23,4.06,169.26,0.2,25.59,10.25,-1.85,-3.99,0.76,-6.35,-10.0,6.25,-1.1,39.85,24.77,106.07,2.41,False
10.52,-6.6,4.06,172.57,0.2,22.44,10.45,-1.21,-4.03,0.53,-6.45,-6.18,6.41,-0.69,33.97,24.91,97.25,2.35,False
13.31,-26.43,2.38,171.03,0.17,16.33,11.92,-5.93,-2.35,0.37,-11.06,-30.06,9.57,-5.54,45.94,24.93,114.53,2.08,False
9.11,-11.23,2.92,-146.78,0.18,25.56,8.93,-1.77,-2.44,-1.6,-7.31,-27.43,6.49,-3.37,46.92,30.76,115.98,2.21,False
6.23,23.64,2.46,154.37,0.2,35.19,5.71,2.5,-2.22,1.07,-4.96,45.59,3.47,3.55,81.99,26.2,148.07,2.52,False
8.37,-13.03,2.42,-126.5,0.2,26.23,8.15,-1.89,-1.44,-1.94,-7.74,-29.7,6.73,-3.84,45.21,30.32,113.82,2.44,False
7.01,-18.12,2.37,-126.87,0.2,26.86,6.66,-2.18,-1.42,-1.89,-6.66,-37.83,5.26,-4.08,48.72,27.32,118.52,2.43,False
9.11,-1.23,3.26,-109.49,0.19,2.39,9.11,-0.2,-1.09,-3.07,-8.63,-22.57,7.97,-3.31,56.61,30.7,128.01,2.49,False
