conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
10.18,-13.27,2.39,-105.76,0.2,25.9,9.91,-2.34,-0.65,-2.3,-10.33,-26.67,9.23,-4.64,51.08,31.7,121.46,2.13,False
11.43,-20.64,2.75,-172.48,0.2,23.87,10.7,-4.03,-2.73,-0.36,-9.11,-28.89,7.97,-4.4,77.41,11.55,145.91,2.48,False
8.59,-57.19,6.44,92.08,0.2,9.22,4.66,-7.22,-0.23,6.43,-4.52,-10.04,4.45,-0.79,27.78,0.73,88.84,2.01,False
11.9,-19.94,2.81,-173.1,0.2,28.91,11.19,-4.06,-2.79,-0.34,-9.49,-27.66,8.41,-4.41,81.53,8.27,148.39,2.47,False
9.92,-38.27,-3.92,-9.26,0.2,9.2,7.79,-6.14,3.87,-0.63,-13.5,-30.3,11.66,-6.81,39.62,24.38,105.74,2.26,False
5.3,9.35,2.27,150.52,0.2,32.88,5.23,0.86,-1.97,1.12,-3.79,31.21,3.24,1.96,87.88,16.37,152.14,2.58,False
2.67,32.42,1.19,-173.45,0.2,37.53,2.26,1.43,-1.18,-0.14,-1.68,50.26,1.08,1.29,72.57,23.68,141.93,2.47,False
13.73,7.0,3.55,-152.64,0.16,22.99,13.63,1.67,-3.15,-1.63,-10.48,0.27,10.48,0.05,4.33,5.31,72.19,1.5,False
4.17,-31.68,2.37,-127.51,0.2,28.93,3.55,-2.19,-1.44,-1.88,-4.61,-62.49,2.13,-4.09,48.34,24.82,116.82,2.38,False
3.01,2.49,2.45,-174.16,0.2,27.83,3.01,0.13,-2.44,-0.25,-0.59,-13.66,0.58,-0.14,97.35,20.14,155.87,2.69,False
8.64,-54.64,-1.8,-26.38,0.2,21.6,5.0,-7.04,1.61,-0.8,-10.27,-49.87,6.62,-7.85,37.69,23.61,102.78,2.13,False
11.71,-30.35,0.85,-166.79,0.2,31.26,10.1,-5.92,-0.83,-0.2,-11.1,-33.2,9.28,-6.08,10.81,20.55,56.12,1.55,False
8.03,-16.13,2.38,-127.24,0.2,25.63,7.71,-2.23,-1.44,-1.89,-7.53,-33.33,6.29,-4.14,42.63,36.25,108.82,2.33,False
5.11,-21.23,2.38,-128.92,0.2,24.02,4.76,-1.85,-1.49,-1.85,-4.96,-48.49,3.29,-3.71,47.09,38.7,116.28,2.34,False
12.69,-5.15,1.53,-154.25,0.17,22.27,12.64,-1.14,-1.38,-0.66,-11.41,-9.02,11.27,-1.79,6.23,22.98,75.93,1.7,False
9.45,-45.36,-3.99,-17.79,0.19,7.69,6.64,-6.73,3.8,-1.22,-13.14,-37.42,10.43,-7.98,42.81,32.06,110.4,2.28,False
3.42,7.69,2.12,-156.1,0.2,26.19,3.39,0.46,-1.93,-0.86,-1.52,-15.71,1.47,-0.41,57.76,30.23,129.25,2.42,False
9.79,-24.36,2.73,-172.69,0.2,23.79,8.92,-4.04,-2.7,-0.35,-7.62,-35.23,6.22,-4.39,56.02,6.72,127.16,2.29,False
9.58,3.33,1.87,-145.45,0.2,27.8,9.56,0.56,-1.54,-1.06,-8.04,-3.55,8.03,-0.5,0.7,22.83,43.99,1.32,False
12.27,-17.63,3.75,158.24,0.19,21.01,11.69,-3.72,-3.48,1.39,-8.53,-15.88,8.21,-2.33,4.88,0.0,48.75,1.6,False
13.04,-7.86,3.91,167.85,0.2,25.56,12.91,-1.78,-3.82,0.82,-9.14,-6.08,9.09,-0.97,42.58,20.39,110.06,2.44,False
8.08,-19.65,-1.13,-70.95,0.2,3.96,7.61,-2.72,0.37,-1.07,-8.82,-25.53,7.96,-3.8,45.54,39.84,113.36,2.32,False
4.98,-27.37,-1.26,-56.64,0.2,11.72,4.42,-2.29,0.69,-1.06,-6.11,-33.39,5.1,-3.36,30.16,40.65,91.5,2.24,False
10.69,-8.66,4.12,170.61,0.2,22.51,10.57,-1.61,-4.06,0.67,-6.58,-8.31,6.51,-0.95,39.32,23.94,105.81,2.4,False
