conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
-7.97,92.43,-7.02,-18.7,0.19,4.88,-0.34,7.97,6.65,-2.25,-8.5,42.09,6.31,5.7,118.09,32.68,212.07,2.26,False
19.38,42.53,4.77,-113.85,0.19,13.45,14.28,13.1,-1.93,-4.36,-15.13,35.25,12.36,8.73,85.4,25.24,155.86,2.71,False
12.58,17.01,8.98,-173.67,0.19,0.09,12.03,3.68,-8.93,-0.99,-4.15,41.87,3.09,2.77,106.13,9.81,157.63,0.77,False
13.64,2.12,4.83,-119.79,0.19,15.09,13.63,0.51,-2.4,-4.19,-11.8,-18.2,11.21,-3.69,69.48,26.97,139.57,2.58,False
1.38,-27.81,2.74,-93.93,0.2,6.24,1.22,-0.65,-0.19,-2.73,-3.53,-73.01,1.03,-3.37,90.27,26.89,152.86,2.69,False
14.25,58.95,-4.66,-88.71,0.19,8.69,7.35,12.2,0.11,-4.66,-10.6,45.16,7.47,7.51,37.81,120.89,102.9,2.4,False
8.76,40.8,9.14,174.78,0.19,7.6,6.63,5.72,-9.1,0.83,6.99,110.68,-2.47,6.54,93.5,8.33,153.55,2.76,False
16.28,18.01,5.27,-135.79,0.19,1.9,15.48,5.03,-3.78,-3.68,-11.78,6.87,11.69,1.41,53.33,49.1,279.85,2.68,False
1.39,-28.41,2.74,-94.12,0.19,6.34,1.23,-0.66,-0.2,-2.73,-3.54,-73.18,1.03,-3.39,91.78,34.08,151.09,2.69,False
9.76,-0.76,-1.47,-59.62,0.18,10.35,9.76,-0.13,0.74,-1.27,-10.6,-7.67,10.5,-1.41,28.67,26.48,88.37,1.91,False
6.88,9.55,-3.89,-84.57,0.19,4.84,6.78,1.14,0.37,-3.87,-7.65,-21.18,7.13,-2.76,124.58,24.86,150.36,2.67,False
16.45,38.66,4.65,-94.38,0.19,8.69,12.84,10.28,-0.36,-4.64,-13.72,24.16,12.52,5.62,18.94,16.54,72.36,1.98,False
4.32,-36.77,2.45,144.41,0.18,5.97,3.46,-2.59,-1.99,1.42,-1.88,-38.52,1.47,-1.17,7.81,55.46,60.46,1.52,False
4.35,-35.97,2.43,144.58,0.18,4.73,3.52,-2.56,-1.98,1.41,-1.93,-36.87,1.54,-1.16,7.81,55.46,61.3,1.54,False
13.99,-43.91,2.94,165.92,0.19,16.33,10.08,-9.7,-2.85,0.71,-11.54,-51.11,7.24,-8.98,109.49,16.92,160.77,2.75,False
5.99,-15.41,4.87,-165.13,0.19,18.34,5.78,-1.59,-4.71,-1.25,-3.06,-69.48,1.07,-2.87,70.84,27.71,141.34,2.59,False
10.32,-6.7,1.93,-134.78,0.2,8.85,10.25,-1.2,-1.36,-1.37,-9.25,-16.16,8.89,-2.58,89.88,12.98,148.07,2.64,False
4.36,-35.86,2.42,144.42,0.18,4.2,3.54,-2.56,-1.97,1.41,-1.95,-36.41,1.57,-1.16,7.81,47.85,61.56,1.55,False
8.57,-41.91,4.95,-174.03,0.2,19.48,6.38,-5.73,-4.93,-0.51,-6.39,-76.9,1.45,-6.22,71.83,30.15,142.08,2.13,False
4.42,70.4,-3.94,-25.98,0.19,2.39,1.48,4.16,3.55,-1.73,-5.6,26.14,5.03,2.47,60.58,0.41,131.41,2.3,False
2.21,74.59,-2.99,-61.39,0.17,0.09,0.59,2.13,1.43,-2.63,-2.07,-13.94,2.01,-0.5,66.52,16.25,143.02,2.61,False
6.74,14.79,-3.11,-66.18,0.19,12.65,6.51,1.72,1.25,-2.84,-7.84,-8.46,7.76,-1.15,95.38,18.07,154.98,2.75,False
9.94,25.54,5.38,-112.41,0.2,2.18,8.96,4.28,-2.05,-4.97,-6.96,-5.93,6.93,-0.72,85.22,33.34,150.39,2.67,False
4.42,-18.1,2.39,162.22,0.19,2.55,4.2,-1.37,-2.28,0.73,-2.03,-18.68,1.92,-0.65,9.7,27.13,57.37,1.44,False
15.79,36.6,5.35,-124.51,0.19,16.63,12.67,9.41,-3.03,-4.4,-10.87,27.22,9.67,4.97,78.44,43.69,147.15,2.45,False
3.07,55.84,-3.63,-76.91,0.19,2.78,1.72,2.54,0.82,-3.53,-2.74,-21.01,2.56,-0.98,68.22,0.46,141.95,1.23,False
14.06,0.91,2.98,-149.34,0.19,15.38,14.05,0.22,-2.56,-1.52,-11.57,-6.34,11.5,-1.28,108.85,17.08,160.5,2.75,False
15.4,12.98,2.99,-134.53,0.19,14.42,15.01,3.46,-2.1,-2.13,-12.98,5.91,12.91,1.34,88.37,17.62,139.86,2.41,False
3.56,76.74,3.42,-127.53,0.2,1.87,0.82,3.46,-2.08,-2.71,1.48,149.41,-1.27,0.75,83.92,23.31,149.72,2.67,False
6.95,-39.16,2.2,150.2,0.19,4.52,5.39,-4.39,-1.91,1.1,-4.79,-43.24,3.49,-3.28,7.96,41.76,54.57,1.43,False
4.36,-49.61,2.49,134.04,0.19,4.71,2.83,-3.32,-1.73,1.79,-1.88,-54.64,1.09,-1.54,8.63,47.31,55.61,1.4,False
5.27,-68.4,1.85,175.28,0.19,17.38,1.94,-4.9,-1.84,0.15,-4.73,-88.87,0.09,-4.73,22.14,49.07,77.74,1.89,False
9.62,-17.62,2.44,-157.33,0.2,16.8,9.17,-2.91,-2.25,-0.94,-7.9,-29.06,6.91,-3.84,17.69,19.81,70.36,1.84,False
9.58,-21.79,2.27,-137.64,0.18,8.55,8.89,-3.56,-1.68,-1.53,-8.84,-35.07,7.24,-5.08,93.4,16.87,154.2,2.7,False
6.17,24.72,4.16,-112.31,0.2,4.94,5.61,2.58,-1.58,-3.84,-4.23,-17.26,4.04,-1.26,32.66,0.0,94.87,2.41,False
19.41,2.44,4.74,-153.54,0.17,5.98,19.4,0.83,-4.24,-2.11,-15.21,-4.87,15.15,-1.29,87.69,34.9,151.64,2.68,False
4.46,-43.81,1.67,-144.51,0.18,11.22,3.22,-3.09,-1.36,-0.97,-4.45,-65.48,1.85,-4.05,1.42,6.43,44.69,1.52,False
15.55,29.29,5.15,-129.53,0.19,12.35,13.57,7.61,-3.28,-3.97,-10.91,19.26,10.3,3.6,65.67,35.61,137.02,2.38,False
8.41,-6.9,4.9,-122.05,0.19,12.35,8.35,-1.01,-2.6,-4.16,-7.7,-42.04,5.72,-5.16,64.19,44.15,135.69,2.11,False
8.41,-6.9,4.9,-122.05,0.19,12.35,8.35,-1.01,-2.6,-4.16,-7.7,-42.04,5.72,-5.16,64.19,44.15,135.69,2.11,False
15.58,-1.19,3.06,-149.84,0.2,8.7,15.58,-0.32,-2.65,-1.54,-13.06,-8.16,12.93,-1.85,73.09,22.63,147.47,2.6,False
