conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
4.67,-19.93,-2.0,-81.92,0.18,13.41,4.39,-1.59,0.28,-1.98,-5.86,-37.67,4.64,-3.58,22.84,48.88,80.44,1.95,True
13.85,-16.11,4.08,159.62,0.19,26.0,13.3,-3.84,-3.82,1.42,-9.79,-14.39,9.48,-2.43,38.13,13.56,103.49,2.42,True
4.71,3.77,2.61,-170.7,0.18,34.61,4.7,0.31,-2.58,-0.42,-2.13,-3.64,2.12,-0.13,88.52,25.25,152.03,2.55,True
11.93,-21.42,2.6,168.35,0.19,29.92,11.1,-4.36,-2.54,0.52,-9.38,-24.07,8.56,-3.82,67.13,10.77,138.23,2.36,True
5.67,21.15,2.53,162.15,0.17,31.98,5.29,2.05,-2.41,0.77,-4.02,44.27,2.88,2.8,79.9,28.94,147.48,2.51,True
9.49,8.78,3.01,-175.41,0.2,35.58,9.38,1.45,-3.0,-0.24,-6.49,10.48,6.38,1.18,98.5,11.63,156.31,2.6,True
10.05,6.39,3.05,-174.82,0.18,31.94,9.99,1.12,-3.04,-0.28,-7.0,6.71,6.96,0.82,101.31,15.64,157.43,2.6,True
12.74,-1.96,2.95,-154.56,0.18,32.9,12.73,-0.44,-2.67,-1.27,-10.21,-9.66,10.07,-1.71,103.52,18.73,158.13,2.61,True
10.02,9.34,3.06,-174.75,0.18,33.55,9.89,1.63,-3.05,-0.28,-6.97,10.9,6.84,1.32,97.67,12.22,155.98,2.58,True
10.17,25.4,3.07,-158.67,0.18,32.84,9.19,4.36,-2.86,-1.12,-7.11,26.94,6.34,3.22,99.06,12.74,156.54,2.59,True
10.7,-14.8,1.76,155.18,0.2,19.33,10.34,-2.73,-1.6,0.74,-8.97,-12.8,8.75,-1.99,40.29,54.34,111.18,2.13,True
11.88,26.84,2.68,-143.45,0.2,30.89,10.6,5.37,-2.15,-1.6,-9.25,24.08,8.45,3.78,75.16,9.16,144.44,2.59,True
10.02,9.34,3.06,-174.75,0.18,33.55,9.89,1.63,-3.05,-0.28,-6.97,10.9,6.84,1.32,97.67,12.22,155.98,2.58,True
8.27,-26.5,2.59,-171.61,0.2,34.27,7.4,-3.69,-2.57,-0.38,-6.33,-40.21,4.83,-4.09,94.74,20.22,154.78,2.58,True
12.34,-18.38,2.85,-172.02,0.18,32.38,11.71,-3.89,-2.83,-0.4,-9.88,-25.8,8.89,-4.3,94.18,19.75,154.48,2.25,True
10.67,-29.46,1.75,140.36,0.19,18.75,9.29,-5.25,-1.35,1.12,-8.96,-27.44,7.95,-4.13,40.29,54.34,106.59,2.13,True
8.8,-23.51,2.61,-170.79,0.18,34.44,8.07,-3.51,-2.58,-0.42,-6.77,-35.69,5.5,-3.95,93.36,18.32,154.19,2.57,True
