conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
2.92,-56.78,2.36,-128.5,0.2,28.93,1.6,-2.44,-1.47,-1.85,-4.3,-88.04,0.15,-4.3,53.29,24.81,124.15,2.43,False
7.51,-54.77,-4.06,-8.41,0.2,5.6,4.33,-6.13,4.01,-0.59,-10.74,-38.97,8.35,-6.75,47.02,34.6,116.74,2.25,False
11.89,-20.01,2.81,-172.95,0.2,27.52,11.17,-4.07,-2.79,-0.34,-9.48,-27.8,8.39,-4.42,81.56,13.04,148.41,2.45,False
-3.14,112.9,2.05,-150.11,0.2,27.43,-1.22,2.89,-1.78,-1.02,3.52,148.31,-2.99,1.85,19.48,28.73,97.08,2.29,False
8.33,-60.65,6.44,92.08,0.14,9.2,4.08,-7.26,-0.23,6.43,-3.96,-12.0,3.88,-0.82,10.65,0.0,68.12,1.58,False
10.28,-7.66,4.02,171.64,0.2,24.6,10.19,-1.37,-3.98,0.58,-6.26,-7.31,6.21,-0.8,27.77,22.86,98.41,2.36,False
5.72,25.9,2.42,153.85,0.2,37.53,5.15,2.5,-2.17,1.07,-4.62,50.14,2.96,3.55,83.1,26.2,149.23,2.54,False
10.07,-2.38,1.92,127.92,0.16,5.18,10.06,-0.42,-1.18,1.51,-8.96,7.03,8.89,1.1,74.17,25.01,143.87,2.64,False
9.03,-17.6,1.83,155.46,0.2,22.37,8.61,-2.73,-1.67,0.76,-7.22,-15.78,6.95,-1.96,40.99,53.11,107.64,2.03,False
13.14,-20.44,2.52,178.02,0.2,23.35,12.31,-4.59,-2.52,0.09,-10.77,-24.61,9.8,-4.49,58.16,16.1,129.27,2.23,False
4.36,6.86,2.1,-156.58,0.2,26.69,4.33,0.52,-1.93,-0.84,-2.43,-7.73,2.41,-0.33,60.16,29.43,131.78,2.44,False
