6.140,-21.070,14.100,5.730,-2.210,54.210,33.910
16.170,18.790,18.370,15.310,5.210,48.020,13.050
4.740,14.110,0.100,4.600,1.160,34.490,89.120
7.430,-14.000,11.390,7.210,-1.800,0.540,8.660
5.740,18.670,0.080,5.440,1.840,12.170,75.480
6.640,-3.350,14.710,6.630,-0.390,18.680,44.760
5.740,18.670,0.080,5.440,1.840,12.170,75.480
9.390,5.560,18.370,9.350,0.910,50.450,22.730
2.420,27.950,6.730,2.140,1.130,32.020,0.080
9.150,-7.970,12.870,9.060,-1.270,43.900,7.470
5.030,13.020,2.580,4.900,1.130,37.750,81.860
7.540,-17.940,1.120,7.170,-2.320,17.310,66.120
13.380,-8.860,4.140,13.220,-2.060,49.570,39.620
-3.090,-90.980,0.280,-0.050,-3.090,4.370,31.880
5.380,13.230,7.250,5.240,1.230,35.510,64.670
15.750,-6.180,18.180,15.660,-1.700,46.400,7.070
5.090,12.860,3.160,4.960,1.130,39.360,75.800
5.420,14.030,6.410,5.260,1.320,44.170,66.300
5.250,14.510,4.690,5.080,1.320,42.020,68.810
11.280,-21.350,12.170,10.510,-4.110,88.010,8.710
11.680,-1.180,16.440,11.680,-0.240,70.030,24.230
6.860,8.090,0.100,6.790,0.960,15.920,88.160
6.050,16.950,1.000,5.790,1.760,11.540,77.000
10.350,-2.500,5.300,10.340,-0.450,85.680,12.030
9.690,-66.470,0.090,3.870,-8.890,42.900,24.350
6.030,-15.130,12.740,5.820,-1.570,53.420,37.460
4.470,-9.990,0.090,4.400,-0.780,2.420,23.080
8.860,6.010,8.120,8.810,0.930,46.660,17.440
6.160,-21.010,14.300,5.750,-2.210,54.210,33.910
13.200,-37.340,0.960,10.500,-8.010,44.930,40.530
5.520,16.380,0.960,5.300,1.560,11.280,75.480
4.350,-19.150,1.450,4.110,-1.430,4.030,33.110
4.380,6.390,3.840,4.350,0.490,5.580,43.730
12.220,-31.890,0.090,10.380,-6.460,37.930,19.780
13.900,29.820,21.450,12.060,6.910,83.930,31.080
9.390,5.570,18.370,9.340,0.910,51.250,24.170
5.740,18.670,0.080,5.440,1.840,12.170,75.480
14.370,10.190,21.490,14.150,2.540,65.170,17.120
4.380,-16.420,5.440,4.200,-1.240,7.880,45.620
13.710,17.220,18.370,13.100,4.060,56.140,21.530
3.210,8.630,0.090,3.170,0.480,42.980,0.310
-4.760,-127.760,0.100,-2.920,-3.760,21.180,30.840
-3.100,-94.990,0.090,-0.270,-3.090,4.370,31.880
13.290,13.670,18.370,12.910,3.140,54.160,17.010
12.280,-8.250,12.530,12.150,-1.760,65.330,23.190
4.350,-19.150,1.450,4.110,-1.430,4.030,33.110
6.590,-40.130,15.020,5.040,-4.250,57.400,35.300
7.600,-12.080,11.020,7.430,-1.590,0.900,11.140
2.280,29.770,7.930,1.980,1.130,33.650,0.610
10.310,-13.630,18.180,10.020,-2.430,50.120,16.740
3.230,-71.950,3.350,1.000,-3.070,15.010,38.020
5.800,15.840,2.000,5.580,1.580,11.540,77.000
12.250,11.120,18.560,12.020,2.360,55.650,13.350
5.570,16.240,0.770,5.340,1.560,11.080,75.480
4.740,14.110,0.100,4.600,1.160,34.490,89.120
7.680,-11.940,11.390,7.520,-1.590,0.900,11.140
9.380,-18.440,18.180,8.900,-2.970,50.450,22.730
25.440,-56.780,11.020,13.940,-21.290,2.310,18.380
4.380,-29.010,5.860,3.830,-2.120,7.760,45.400
4.440,11.020,1.320,4.360,0.850,3.360,11.890
-3.100,-94.990,0.090,-0.270,-3.090,4.370,31.880
25.910,-54.180,10.830,15.170,-21.010,5.970,8.430
