,conv_paral_all,conv_paral_mz,conv_paral_cz,conv_paral_mio
age,-0.1561454977421708,-0.4973061590905676,0.3118497181476275,0.12270916874560016
recon_lon,-0.12113534740134575,-0.12953339454725826,0.06491765181618908,-0.28265052200506874
recon_lat,0.24897566754359823,-0.272545717760158,0.34713412220213796,0.4437135296856969
distance,-0.061316796042381966,-0.4354383528010636,0.039666756847093726,0.11378317288594335
conv_rate,0.055151279090270545,0.12402689854641,-0.05861911103991827,-0.007403761156352112
conv_angle,0.8708984301664325,0.7437204287228396,0.927454398270417,0.9924410313306701
trench_abs_rate,0.026230330222739483,-0.5772689278490274,0.14209573873004494,0.24192144720633948
trench_abs_angle,-0.5827090303668399,-0.7116585277825171,-0.5587867980953826,-0.8462982953605878
arc_len,0.036340128236093686,-0.04406644537571028,0.05070938658151643,0.15758498722362074
trench_norm,-0.6968176190444298,-0.38374644400013896,-0.850433768307843,-0.9270329578708174
dist_nearest_edge,0.1865316819281242,0.21332571250234025,0.049607270079253446,-0.038993616315331686
dist_from_start,0.34871495910930805,0.26851561176432714,0.3169059277945724,0.38610197713010314
conv_ortho,-0.13887701304493935,0.28557993428344336,-0.34789775763743497,-0.025036471145136834
conv_paral,1.0,1.0,1.0,1.0
trench_abs_ortho,0.049416820331515045,0.3264384330942068,0.27667900634809384,0.09595903418150627
trench_abs_paral,-0.6622029669881,-0.7763268417000851,-0.72023100984973,-0.8232260072851423
subducting_abs_rate,-0.03025869309445493,-0.37013795324053517,0.10558384823001027,0.06699909257205745
subducting_abs_angle,0.6023503681826541,0.3417963359410658,0.6098236807597299,0.7726436389449369
subducting_abs_ortho,-0.13951421110553422,0.4726978848715123,-0.3200105116172298,-0.00027930597871215785
subducting_abs_paral,0.941378347482417,0.6281364385195488,0.9725100057474062,0.9797692054666224
seafloor_age,0.26109409509724074,-0.43017480706640526,0.28570587797135166,0.0555071850264005
carbonate_sediment_thickness,-0.04134713430544196,-0.012766918440385515,-0.03400584179603004,0.1460751168374414
total_sediment_thick,0.18989299715354713,-0.6506747000215094,0.26716766652695956,0.05490587984730879
ocean_crust_carb_percent,0.18611219407339635,-0.5169792050533437,0.3018754126270657,0.10171614274897335
