,conv_angle_all,conv_angle_mz,conv_angle_cz,conv_angle_mio
age,-0.2969507068125304,-0.34229788601550276,0.4432199984646126,0.11043016082857424
recon_lon,-0.20415099153163063,-0.04407148081606709,0.1421947773566198,-0.25579994771070036
recon_lat,0.2218090164035948,-0.2822041907125551,0.3610463835721785,0.4056402931274495
distance,-0.12150583838409953,-0.413864774197663,-0.005344612446899177,0.13833620761456875
conv_rate,0.10759714681744129,0.4768356475912436,-0.23900113672733883,0.08929830515739404
conv_angle,1.0,1.0,1.0,1.0
trench_abs_rate,0.07102558650073834,-0.3196229141173689,-0.05537762172171555,0.23898115585960264
trench_abs_angle,-0.4319036095910678,-0.20267611766154908,-0.4789546958663927,-0.8466041702258233
arc_len,0.040444618432225445,0.07291013475908159,0.03756386221800035,0.1759759929972746
trench_norm,-0.8007050427128534,-0.6735418575198514,-0.9173006812202849,-0.9513380216258371
dist_nearest_edge,0.2912806443942566,0.2896468658860206,0.014945088287703303,0.010024142837006781
dist_from_start,0.3671013610623768,0.20479911666806883,0.2835202496618474,0.347040339804014
conv_ortho,-0.05356857058250322,0.6160332389225811,-0.5241852257986728,0.06889369953974175
conv_paral,0.8708984301664325,0.7437204287228396,0.927454398270417,0.9924410313306701
trench_abs_ortho,-0.0726243087412867,0.11104372384746818,0.38600690009947397,0.08799162565893155
trench_abs_paral,-0.46547330421357447,-0.3608087331631566,-0.5665546371717223,-0.8397201747382244
subducting_abs_rate,-0.09390315246365097,-0.6579319131097102,0.2458030114717312,-0.03155178083203706
subducting_abs_angle,0.791162363073446,0.843081223186726,0.7603812972537678,0.7201400238710616
subducting_abs_ortho,-0.08980441232083039,0.736461953951542,-0.4895436452362338,0.0956599620160382
subducting_abs_paral,0.8701264688709273,0.7339265378530305,0.9359398011327837,0.9643967722005091
seafloor_age,0.330026372942194,-0.1958039720366443,0.25403205043508953,0.013146339160281378
carbonate_sediment_thickness,-0.2985032932637313,-0.5131650641336761,-0.03847034670954798,0.128549157796487
total_sediment_thick,0.2815884768777506,-0.40670459642421763,0.26221862567055715,0.021072265813422232
ocean_crust_carb_percent,0.17875435005262355,-0.3782933233861005,0.2948643642453959,0.10525937884374466
