,seafloor_age_all,seafloor_age_mz,seafloor_age_cz,seafloor_age_mio
age,-0.39767431799817954,0.08584555811380462,0.44989938482384656,0.4968257455099832
recon_lon,-0.16889555678000132,-0.6036481147109364,0.5556386433023673,0.5465832117830172
recon_lat,0.1572492756127998,0.5520086336250166,-0.06610966777104184,-0.1301737519116307
distance,0.10847122374630296,0.3575839800158963,-0.007213582641311908,0.46815420858995127
conv_rate,0.16007940359304287,0.1362924799094888,-0.11164406716903122,-0.3207208170845664
conv_angle,0.330026372942194,-0.1958039720366443,0.25403205043508953,0.013146339160281378
trench_abs_rate,0.469337946324855,0.24066118881612297,0.3535662787386208,0.3619254044885527
trench_abs_angle,-0.2845982694615083,0.4850951619895377,-0.38811068872849147,-0.09160169794600787
arc_len,-0.025230798374588553,0.09316238717601863,-0.05650778159242154,0.12882545348902918
trench_norm,-0.19411322662026823,-0.2216874776821343,-0.12422060861778499,0.015351374753192018
dist_nearest_edge,0.49837627655517974,-0.4440947823201663,0.4155832333507739,0.4230102838104028
dist_from_start,0.33252108763740834,0.3581008678589121,0.09352678019512513,-0.09198741882063885
conv_ortho,0.07780308819269961,0.028175560481107583,-0.1830041699453744,-0.260032878470391
conv_paral,0.26109409509724074,-0.43017480706640526,0.28570587797135166,0.0555071850264005
trench_abs_ortho,-0.46601134149060613,-0.13649232822308752,-0.24028457061154213,-0.19817371187459995
trench_abs_paral,-0.1036918953943267,0.44587085037215185,-0.34304362066918775,-0.16035979609062515
subducting_abs_rate,0.00322976483211942,-0.047193777556367875,0.1985098061530559,0.40295894497863316
subducting_abs_angle,0.37133962299254736,0.08938020032589698,0.2767526686263436,0.36685651718967777
subducting_abs_ortho,-0.0934965116796179,-0.03411166349830483,-0.25088902837409444,-0.32989621966184557
subducting_abs_paral,0.27520767368185395,-0.1336004807840897,0.22968192186798794,0.013679867499822099
seafloor_age,1.0,1.0,1.0,1.0
carbonate_sediment_thickness,-0.22417064797339697,-0.01889766383686626,-0.5206895517690306,-0.6890845866246592
total_sediment_thick,0.9478213845080873,0.8519635913318608,0.9663835193713988,0.9850352071973377
ocean_crust_carb_percent,0.7397858949985384,0.7526935323555558,0.7767303460905332,0.7518699724623048
