,dist_from_start_all,dist_from_start_mz,dist_from_start_cz,dist_from_start_mio
age,-0.39878234656783257,-0.6629210966927321,0.18253971358519133,0.3439655919207186
recon_lon,-0.48616465009908577,-0.7044469003263218,-0.2658214882146438,-0.7239310086297919
recon_lat,0.6305164069661987,0.26433806082766653,0.7900127384439071,0.986454222581155
distance,-0.29914061816929377,-0.49988853468087396,-0.24055262059035923,-0.19655071248374156
conv_rate,0.07094142372872755,0.21440564776839072,-0.2007721149520567,-0.3198535493547321
conv_angle,0.3671013610623768,0.20479911666806883,0.2835202496618474,0.347040339804014
trench_abs_rate,0.15283343997461693,-0.4096532833336444,0.3710228211508896,0.5107006470123849
trench_abs_angle,-0.26277026902150274,-0.12307469884918822,-0.2755155131259398,-0.3458252003386092
arc_len,-0.24426656209593373,0.31756125888398523,-0.4493594949045181,-0.42049717084289245
trench_norm,-0.3048109196695541,-0.3714297221433629,-0.22587323809737903,-0.24695862000417773
dist_nearest_edge,0.038074153474915114,0.18612403466379282,-0.40350287623293946,-0.6392545159626396
dist_from_start,1.0,1.0,1.0,1.0
conv_ortho,0.030451402847695114,0.16368050515984273,-0.22107934432343307,-0.3162640028336493
conv_paral,0.34871495910930805,0.26851561176432714,0.3169059277945724,0.38610197713010314
trench_abs_ortho,-0.22349353550055984,0.261179587474823,-0.21464460135330474,-0.38611778561965504
trench_abs_paral,-0.4095352630989532,-0.44559939192867304,-0.3966180979883849,-0.3459619857856314
subducting_abs_rate,0.020462687318316318,-0.33730523736624024,0.3107478561180822,0.4551001915354233
subducting_abs_angle,0.3501512786736082,0.040335442573313,0.3331630136806698,0.39931620667326256
subducting_abs_ortho,-0.05190882759100399,0.30660723879014024,-0.28720242866053225,-0.4453210606142176
subducting_abs_paral,0.2480070045076809,-0.1248512927759261,0.25202016941203903,0.3688198925470975
seafloor_age,0.33252108763740834,0.3581008678589121,0.09352678019512513,-0.09198741882063885
carbonate_sediment_thickness,0.0565614796423739,-0.0033628455639661205,0.3368336550443049,0.2995989393970659
total_sediment_thick,0.26392782418802896,0.1352598351951055,0.00023145104795393485,-0.17347714049169052
ocean_crust_carb_percent,0.05167849946558569,0.12449415088050776,-0.09697462108841653,-0.19930275577759993
