,trench_abs_rate_all,trench_abs_rate_mz,trench_abs_rate_cz,trench_abs_rate_mio
age,-0.44987369616785544,0.19891374419668892,-0.13753503972797834,0.8646598649816059
recon_lon,-0.3324521977351757,0.06998269577540417,0.07602900571339404,0.021061059964626355
recon_lat,0.11067849256601679,0.11746575800385298,-0.04840546685783558,0.4438094722325587
distance,0.3240218413419841,0.5983495214546717,0.01846664918804649,0.1542838189262894
conv_rate,0.4472699874607176,0.3318419014355312,0.41063985998614644,0.14853172757021155
conv_angle,0.07102558650073834,-0.3196229141173689,-0.05537762172171555,0.23898115585960264
trench_abs_rate,1.0,1.0,1.0,1.0
trench_abs_angle,-0.02070841198519734,0.6115500444100561,-0.233784199244368,-0.3390403413342469
arc_len,-0.11282285990859527,-0.17712794196631507,-0.15168572393655308,-0.3018154808360333
trench_norm,0.12691088861423447,0.33825521164513134,0.09890906479871675,-0.26524698527414525
dist_nearest_edge,0.39200748470578867,-0.005307056066124806,0.2629137978402572,0.09988367486517366
dist_from_start,0.15283343997461693,-0.4096532833336444,0.3710228211508896,0.5107006470123849
conv_ortho,0.39613084591397274,0.2777727812340775,0.36288751640593553,0.16273347872090024
conv_paral,0.026230330222739483,-0.5772689278490274,0.14209573873004494,0.24192144720633948
trench_abs_ortho,-0.889701508250575,-0.9000208302280922,-0.7408708490113551,-0.8200793236024868
trench_abs_paral,0.18680103290590103,0.784655336585248,-0.6198565090363302,-0.62197158636899
subducting_abs_rate,-0.08369229702194501,0.18570933810631046,-0.17561250183198074,0.07718194035050133
subducting_abs_angle,0.09170730078617904,-0.08327628958753117,-0.14466201335373546,0.08674387289763884
subducting_abs_ortho,0.1056363754814565,-0.11895902629855512,0.23963766103950868,-0.07154782837796718
subducting_abs_paral,0.11582593566746009,0.05274793299071986,-0.036633439731713575,0.08810317405350607
seafloor_age,0.469337946324855,0.24066118881612297,0.3535662787386208,0.3619254044885527
carbonate_sediment_thickness,-0.15767897487844873,-0.09843333598568642,-0.16356331195580326,-0.44526601406646105
total_sediment_thick,0.5119263049493937,0.36232627307557547,0.24429238528674152,0.3367934601854198
ocean_crust_carb_percent,0.3695422285759693,0.4762058503456248,0.2202053134049939,0.4428072682813493
