,trench_abs_rate_all,trench_abs_rate_mz,trench_abs_rate_cz,trench_abs_rate_mio
age,0.2640774469111274,0.13824362936053738,0.3439457744490414,0.46202680948301805
recon_lon,0.33420596124676233,0.24848418414682572,0.35855349609803794,0.9603259591165716
recon_lat,-0.2516232835823386,-0.3006177419718862,-0.280512388357014,-0.9746380942573634
distance,0.05541281394021116,0.25339327124260663,-0.05626621012152595,0.2325288952918339
conv_rate,0.07375728608638119,-0.023497300853705085,0.31978332707648327,-0.6267899821700118
conv_angle,-0.08027344747968716,-0.24937948968268311,0.3411915566373074,-0.4277880334410101
trench_abs_rate,1.0,1.0,1.0,1.0
trench_abs_angle,-0.10574473878876013,0.013317521403108828,-0.027753890091857223,0.9452173585006632
arc_len,-0.04485905294471018,-0.09924124843208222,0.19059217336731485,0.5082680066724358
trench_norm,-0.08199273926540308,0.02000819579255375,-0.31960006567338256,-0.9418552178091718
dist_nearest_edge,0.16701402314124594,0.2738445767781358,0.2577113588103674,-0.7968638479559175
dist_from_start,0.06285992576751487,0.10609891177099744,-0.08666579959414468,0.7452534163431282
conv_ortho,0.17316762947439954,0.10347665155640048,0.4941217673390687,-0.8077048327069645
conv_paral,-0.051864732230549035,-0.17456732203439052,0.21687026356438266,-0.4007657163318776
trench_abs_ortho,-0.7652259217713111,-0.7629358101284547,-0.9443529968887395,-0.9121896540560555
trench_abs_paral,0.010627339958192952,0.16285018181814684,-0.014467288972897287,0.9877314377774702
subducting_abs_rate,0.08926054855851036,0.19789426456376616,-0.14141776476915072,0.9198051918680581
subducting_abs_angle,-0.07215785277800135,-0.16287120033202632,0.38874456015528175,0.125074416405208
subducting_abs_ortho,-0.10717782731677586,-0.21688187422760732,0.25131017580114906,-0.9200575420712864
subducting_abs_paral,-0.0534361820396364,-0.12861404279385663,0.23726926009163316,0.33006414036470677
seafloor_age,0.2719175887588304,0.23023357609935077,0.12922570628853042,-0.9267496106609933
carbonate_sediment_thickness,-0.2733646707322696,-0.3267927044156635,-0.20355892834515463,-0.7140827942609309
total_sediment_thick,0.2192667718515974,0.17161988373348938,0.11626474451451167,-0.9268751298609084
ocean_crust_carb_percent,0.10152095085718937,-0.0033844319391215906,-0.04024629050121963,-0.8777917423481452
