,ocean_crust_carb_percent_all,ocean_crust_carb_percent_mz,ocean_crust_carb_percent_cz,ocean_crust_carb_percent_mio
age,-0.01928252190108797,0.3406065840432647,0.4808749039656364,0.5387660346170877
recon_lon,0.18800188364718534,-0.31164019869309895,0.6698795026456605,0.7060345427005542
recon_lat,0.060277110348934904,0.6228724255365388,-0.21244709866936193,-0.22782376338118066
distance,0.2844925190006532,0.504994603585341,0.16340482167903894,0.6506541866834931
conv_rate,0.011143825045455635,-0.12608010678842133,-0.047347720381394655,0.2125559647137291
conv_angle,0.17875435005262355,-0.3782933233861005,0.2948643642453959,0.10525937884374466
trench_abs_rate,0.3695422285759693,0.4762058503456248,0.2202053134049939,0.4428072682813493
trench_abs_angle,-0.2592362288992079,0.6004716683631005,-0.4182263112429149,-0.2890204133144276
arc_len,0.05657202969365764,0.06174050696409811,0.058050091750361334,0.09243728299166944
trench_norm,-0.10773589954446644,0.18842540109079192,-0.23147136964287068,-0.21334519569638952
dist_nearest_edge,0.46390473611017063,-0.442031812253153,0.7006377583591911,0.7383833306685397
dist_from_start,0.05167849946558569,0.12449415088050776,-0.09697462108841653,-0.19930275577759993
conv_ortho,-0.06187645635956457,-0.18514577142719352,-0.12287950054835714,0.22557218933142267
conv_paral,0.18611219407339635,-0.5169792050533437,0.3018754126270657,0.10171614274897335
trench_abs_ortho,-0.3049637219840307,-0.36828670409095354,-0.1403757139037763,-0.2822392939315651
trench_abs_paral,0.013331338069625725,0.6315292565274443,-0.35057974414681425,-0.3824209722147721
subducting_abs_rate,0.11543538603019103,0.312702784168274,0.0974578727678598,-0.1324227159575003
subducting_abs_angle,0.2432932546109815,-0.14490953913535892,0.2759506597183243,0.05686962612034933
subducting_abs_ortho,-0.1913600585399348,-0.38038288932976444,-0.16412765750421696,0.15303671026205584
subducting_abs_paral,0.23497983261891905,-0.04106146428395794,0.24723445433713134,-0.00571747380694639
seafloor_age,0.7397858949985384,0.7526935323555558,0.7767303460905332,0.7518699724623048
carbonate_sediment_thickness,-0.11206543578495226,0.236747837306435,-0.6315531021121089,-0.741731201170901
total_sediment_thick,0.7669358644974248,0.8839795223593344,0.8068571070235574,0.7552994248958035
ocean_crust_carb_percent,1.0,1.0,1.0,1.0
