lon,lat
-179.999,48.334
-143.559,57.501
-121.954,30.661
-89.403,9.912
-84.454,17.336
-103.68,57.882
-118.527,71.397
-129.378,73.491
-157.931,74.633
-167.259,69.303
-169.162,64.735
-166.783,63.034
-167.556,59.048
-171.423,54.289
-179.999,53.456
-179.999,48.334
