conv_rate,conv_angle,dist_nearest_edge,conv_paral,seafloor_age,carbonate_sediment_thickness,label
13.29,13.67,18.37,3.14,54.16,17.01,TRUE
13.29,13.67,18.37,3.14,54.16,17.01,TRUE
12.95,33.93,1.53,7.23,59.76,21.48,TRUE
13.26,13.7,20.07,3.14,55.83,17.79,TRUE
12.26,11.21,18.37,2.38,55.95,14.31,TRUE
12.25,11.12,18.56,2.36,55.65,13.35,TRUE
12.17,2.4,12.35,0.51,50.77,17.17,TRUE
12.25,11.12,18.37,2.36,55.65,13.35,TRUE
13.7,17.04,18.37,4.01,55.7,15.62,TRUE
13.7,17.04,18.37,4.01,55.7,15.62,TRUE
17.62,-68.25,0.09,-16.36,46.75,55.55,TRUE
17.62,-68.25,0.09,-16.36,46.75,55.55,TRUE
17.62,-68.25,0.09,-16.36,46.75,55.55,TRUE
17.66,-67.89,0.61,-16.36,51.66,45.06,TRUE
18.69,-73.85,16.82,-17.95,11.31,-0.57,TRUE
13.71,17.22,18.37,4.06,56.14,21.53,TRUE
17.9,-41.34,4.14,-11.82,60.37,51.92,TRUE
13.71,-6.78,18,-1.62,56.71,21.1,TRUE
17.64,-67.92,0.09,-16.35,43.43,36.61,TRUE
17.64,-67.92,0.09,-16.35,43.43,36.61,TRUE
17.94,-52.51,4.63,-14.23,60.37,51.92,TRUE
18.34,-37.15,11.61,-11.07,62.07,26.08,TRUE
13.71,17.22,18.37,4.06,56.14,21.53,TRUE
17.65,-67.86,0.26,-16.35,43.43,36.61,TRUE
17.66,-67.79,0.44,-16.35,46.96,36.61,TRUE
18.55,-19.3,14.7,-6.13,60.01,20.68,TRUE
13.46,14.6,18.75,3.39,57.65,26.13,TRUE
18.18,19.83,0.1,6.17,42.72,29.83,TRUE
13.49,14.56,20.07,3.39,57.2,24.57,TRUE
18.25,-68.65,0.09,-17,42.1,24.69,TRUE
18.28,-71.67,0.96,-17.36,41.96,24.69,TRUE
13.47,26.51,20.93,6.01,57.78,34.46,TRUE
12.22,-31.89,0.09,-6.46,37.93,19.78,TRUE
13.38,-9.41,18,-2.19,61.18,31.55,TRUE
13.38,-9.41,18.18,-2.19,61.18,31.55,TRUE
12.07,-6.37,4.14,-1.34,48.99,36.28,TRUE
12.24,-31.36,0.44,-6.37,39.61,23.34,TRUE
12.4,39.61,5.6,7.9,41.24,15.71,TRUE
13.23,-33.97,0.61,-7.39,40.81,37.49,TRUE
13.2,-37.34,0.96,-8.01,44.93,40.53,TRUE
13.22,-34.01,0.79,-7.39,40.81,40.53,TRUE
13.65,-34.8,0.79,-7.79,41.83,39.45,TRUE
13.65,-34.8,0.79,-7.79,41.83,39.45,TRUE
12.33,-10.34,11.97,-2.21,63.77,27.51,TRUE
11.75,-1.61,16.05,-0.33,69.31,22.2,TRUE
13.38,-8.86,4.14,-2.06,49.57,39.62,TRUE
11.65,-1.19,16.63,-0.24,70.03,24.23,TRUE
11.68,-1.18,16.44,-0.24,70.03,24.23,TRUE
13.58,3.51,27.18,0.83,67.77,21.13,TRUE
12.28,-8.25,12.53,-1.76,65.33,23.19,TRUE
13.36,-6.22,12.53,-1.45,65.66,26.08,TRUE
14.37,10.19,21.49,2.54,65.17,17.12,TRUE
14.47,-10.81,15.48,-2.72,67.61,20.33,TRUE
13.68,1.11,16.44,0.26,71.22,31.11,TRUE
13.64,0.6,16.44,0.14,70.91,33.88,TRUE
13.64,0.6,16.44,0.14,70.91,33.88,TRUE
13.61,-44.9,17.2,-9.6,73.16,39.72,TRUE
11.71,34.61,2.26,6.65,34.17,35.74,TRUE
13.12,-7.78,11.44,-1.78,58.57,24.88,TRUE
13.12,-7.78,11.44,-1.78,58.57,24.88,TRUE
16.38,58.88,6.2,14.02,18.95,17.08,TRUE
14.25,-3.95,15.12,-0.98,78.9,20.83,TRUE
13.9,29.82,21.45,6.91,83.93,31.08,TRUE
8.24,-29.41,16.82,-4.05,69.98,39.27,TRUE
9.85,-14.04,27.42,-2.39,76.66,29.97,TRUE
6.86,-39.23,0.44,-4.34,50.67,57.24,TRUE
6.8,49.01,0.1,5.13,50.67,57.24,TRUE
6.8,49.01,0.1,5.13,50.67,57.24,TRUE
6.8,49.01,0.1,5.13,50.67,57.24,TRUE
7.79,-52.09,0.26,-6.14,48.49,62.02,TRUE
12.33,-2.91,27.37,-0.63,81.58,36.63,TRUE
12.38,-2.9,26.99,-0.63,83.28,36.63,TRUE
7.79,36.58,0.1,4.64,49.58,70.98,TRUE
8.06,-53.38,0.96,-6.47,52.47,79.18,TRUE
13.65,-17.55,10.91,-4.12,105.84,17.22,TRUE
7.68,4.01,5.79,0.54,96.9,17.97,TRUE
10.83,-0.11,11.8,-0.02,87.55,10.13,TRUE
11.15,-2.59,0.01,-0.5,83.52,9.6,TRUE
0.87,-43.04,0.09,-0.59,93.89,11.28,TRUE
11.28,-21.35,12.17,-4.11,88.01,8.71,TRUE
11.58,-37.01,6.13,-6.97,92.88,12.94,TRUE
11.58,-37.01,6.13,-6.97,92.88,12.94,TRUE
12.78,-34.35,6.33,-7.21,91.88,13.03,TRUE
0.87,-43.04,0.09,-0.59,91.89,11.34,TRUE
12.51,-18.85,11.63,-4.04,88.23,8.64,TRUE
10.35,-2.52,5.11,-0.46,88.11,12.47,TRUE
10.35,-2.5,5.3,-0.45,85.68,12.03,TRUE
8.73,49.43,0.29,6.64,78.4,5.46,TRUE
2.33,29.14,7.53,1.13,37.23,0.32,TRUE
3.23,-10.39,0.1,-0.58,44.81,1.45,TRUE
3.23,-10.39,0.1,-0.58,44.81,1.45,TRUE
3.21,8.63,0.09,0.48,42.98,0.31,TRUE
2.28,29.77,7.93,1.13,33.65,0.61,TRUE
2.47,27.39,6.33,1.13,33.93,2.04,TRUE
2.37,28.53,7.13,1.13,32.56,1.59,TRUE
2.97,9.31,1.99,0.48,37.79,0.79,TRUE
2.42,27.95,6.73,1.13,32.02,0.08,TRUE
8.37,41.29,4.94,5.52,31.37,0.83,TRUE
8.32,41.56,6.93,5.52,29.67,0.55,TRUE
8.32,41.56,6.93,5.52,28.43,0.33,TRUE
8.46,27.24,0.09,3.87,65.47,0.23,TRUE
8.28,41.8,8.53,5.52,77.7,7.6,TRUE
8.29,41.77,8.33,5.52,77.7,7.6,TRUE
8.28,41.8,8.53,5.52,77.7,7.6,TRUE
8.29,41.77,8.33,5.52,77.7,7.6,TRUE
8.47,54.15,8.28,6.87,33,0,TRUE
8.46,27.24,0.09,3.87,32.57,0,TRUE
8.46,27.24,0.09,3.87,32.57,0,TRUE
8.45,27.25,0.28,3.87,32.57,0,TRUE
5.87,12.3,2.37,1.25,35.17,0,TRUE
5.58,12.95,0.09,1.25,32.98,0,TRUE
6.66,25.3,9.32,2.85,33.91,0,TRUE
5.76,19.84,6.93,1.96,38.8,0,TRUE
5.85,19.54,8.33,1.96,37.33,0,TRUE
