total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
156.46,92.22,7.69,0.07,-5.42,False
73.37,19.56,9.18,0.09,-7.05,False
91.68,30.68,4.28,8.33,-4.24,False
193.51,149.41,2.83,13.72,6.62,False
122.76,52.16,16.66,7.73,-12.35,False
96.94,33.99,10.69,11.58,-11.55,False
154.62,94.93,10.45,5.89,-7.94,False
98.82,35.09,5.35,8.75,-4.27,False
150.35,112.52,7.83,5.15,-7.67,False
87.69,28.17,3.92,10.33,-3.64,False
79.73,18.04,12.04,8.69,-9.51,False
150.45,107.48,6.9,5.03,-7.66,False
93.22,31.64,5.05,2.87,-4.63,False
56.75,9.36,4.37,4.73,-1.94,False
127.77,76.86,10.34,0.29,-9.24,False
154.71,95.9,0.87,0.09,2.65,False
73.37,19.56,9.18,0.09,-7.05,False
61.35,12.16,6.45,2.06,-4.35,False
142.06,71.8,8.55,19.48,-6.33,False
146.96,80.97,6.21,1.69,-5.42,False
148.51,81.71,14.69,1.34,-10.17,False
140.51,69.79,15.02,4.3,-10.87,False
149.32,83.39,8.85,0.09,-8.33,False
59.58,11.06,4.45,0.09,-2.04,False
155.66,97.61,8.88,3.56,-7.93,False
140.54,70.22,8.72,3.95,-8.16,False
141.25,69.75,10.78,16.44,-8.3,False
155.7,97.09,8.79,12.32,7.06,False
130.47,54.94,9.02,0.04,-7.73,False
142.18,71.95,13.95,19.48,-11.99,False
126.79,88.45,1.5,0.09,-4.18,False
156.27,98.35,1.5,0.09,-4.48,False
152.94,90.5,15.72,16.24,-9.52,False
45.43,2.49,7.23,0.09,-4.91,False
121.96,51.49,13.92,11.79,-11.76,False
149.44,82.34,17.18,7.24,-12.63,False
94.61,32.48,8.37,4.54,-4.79,False
44.69,1.42,4.46,11.22,-4.45,False
125.49,88.28,8.83,7.44,7.0,False
137.02,65.67,15.57,12.53,-10.91,False
133.58,90.19,8.8,8.1,7.0,False
141.91,71.57,15.76,16.44,-10.88,False
146.98,88.67,7.29,15.44,5.05,False
155.88,98.77,10.81,3.53,-9.17,False
133.96,62.37,14.49,22.09,-12.4,False
135.47,62.95,9.91,11.61,-7.86,False
65.85,14.95,9.02,19.19,-7.35,False
125.49,88.28,8.83,7.64,7.0,False
145.58,76.83,12.67,19.48,-10.56,False
115.27,55.0,2.73,1.03,-2.45,False
130.16,88.98,8.82,8.44,7.01,False
150.65,85.93,9.91,0.99,-7.13,False
159.66,106.84,14.43,10.72,-11.75,False
152.8,90.21,15.82,16.24,-9.65,False
152.85,90.33,2.59,3.77,-4.94,False
130.85,75.43,10.34,5.68,-9.27,False
112.73,124.51,8.76,3.66,6.93,False
46.12,2.6,7.05,0.09,-4.56,False
159.07,105.41,14.45,10.36,-11.76,False
45.52,2.16,8.02,4.59,-4.47,False
144.66,74.42,8.67,0.04,-7.95,False
62.77,13.09,6.01,0.09,-4.04,False
62.51,12.99,14.26,13.95,-12.16,False
