total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
121.46,51.08,10.18,25.9,-10.33,False
145.91,77.41,11.43,23.87,-9.11,False
88.84,27.78,8.59,9.22,-4.52,False
148.39,81.53,11.9,28.91,-9.49,False
105.74,39.62,9.92,9.2,-13.5,False
152.14,87.88,5.3,32.88,-3.79,False
141.93,72.57,2.67,37.53,-1.68,False
72.19,4.33,13.73,22.99,-10.48,False
116.82,48.34,4.17,28.93,-4.61,False
155.87,97.35,3.01,27.83,-0.59,False
102.78,37.69,8.64,21.6,-10.27,False
56.12,10.81,11.71,31.26,-11.1,False
108.82,42.63,8.03,25.63,-7.53,False
116.28,47.09,5.11,24.02,-4.96,False
75.93,6.23,12.69,22.27,-11.41,False
110.4,42.81,9.45,7.69,-13.14,False
129.25,57.76,3.42,26.19,-1.52,False
127.16,56.02,9.79,23.79,-7.62,False
43.99,0.7,9.58,27.8,-8.04,False
48.75,4.88,12.27,21.01,-8.53,False
110.06,42.58,13.04,25.56,-9.14,False
113.36,45.54,8.08,3.96,-8.82,False
91.5,30.16,4.98,11.72,-6.11,False
105.81,39.32,10.69,22.51,-6.58,False
106.41,40.16,9.02,20.19,-7.25,False
48.98,14.35,4.62,16.64,-5.96,False
122.25,51.72,4.06,21.9,-2.06,False
146.32,77.99,6.89,31.98,-5.42,False
65.77,17.9,8.38,14.17,-4.04,False
117.16,47.74,-2.88,22.49,2.74,False
91.2,30.78,9.51,18.95,-8.82,False
84.35,26.09,12.22,18.93,-10.85,False
99.93,35.84,9.4,18.59,-8.73,False
51.9,19.43,8.43,14.34,-4.19,False
85.58,26.91,12.05,19.78,-10.67,False
114.48,45.72,3.98,5.73,-7.32,False
121.12,50.86,9.0,27.97,-7.09,False
87.2,27.84,12.04,21.59,-10.67,False
112.47,44.26,2.7,29.5,-0.96,False
159.39,105.93,12.32,31.97,-9.81,False
103.23,37.93,6.83,8.65,-7.78,False
91.96,30.83,11.09,18.05,-6.91,False
91.11,30.27,8.06,11.96,-6.98,False
109.83,42.44,5.69,21.21,-5.38,False
139.42,68.44,1.05,33.02,0.41,False
133.57,61.96,4.08,33.55,-2.74,False
153.41,91.6,12.54,32.84,-10.04,False
46.43,2.72,11.93,30.01,-11.38,False
129.73,58.71,4.65,21.68,-2.52,False
69.85,30.06,7.76,13.99,-6.68,False
117.28,47.82,-2.93,21.62,2.73,False
108.01,41.17,7.61,24.02,-10.44,False
150.58,85.42,9.55,34.09,-7.27,False
117.33,47.79,10.68,24.66,-9.35,False
149.63,84.85,9.55,33.65,-7.28,False
80.46,15.1,8.39,12.74,-4.07,False
141.93,72.57,2.58,37.05,-1.63,False
81.24,30.69,5.49,11.96,-4.44,False
117.4,47.93,4.23,23.88,-4.44,False
108.66,39.0,6.33,7.87,-7.27,False
100.41,38.5,5.8,9.03,-4.76,False
89.05,13.27,8.25,15.56,-3.78,False
102.25,37.31,7.94,20.12,-8.51,False
123.14,55.92,2.65,28.59,-0.91,False
132.75,61.12,4.49,25.76,-1.08,False
119.42,50.22,3.59,26.46,-4.33,False
120.48,50.3,3.79,28.05,-4.27,False
107.96,41.15,5.64,21.36,-5.4,False
48.53,23.77,5.37,13.64,-4.32,False
119.98,49.9,9.24,24.53,-10.97,False
117.16,47.74,-2.81,20.91,2.47,False
80.13,15.24,8.37,13.81,-4.02,False
149.68,84.82,6.11,34.61,-4.41,False
111.44,43.56,8.12,25.31,-7.59,False
103.69,40.4,10.19,24.77,-6.2,False
140.65,69.98,12.61,33.15,-10.15,False
128.74,57.31,4.9,23.96,-1.29,False
123.16,52.49,1.7,21.6,0.76,False
147.13,79.44,12.92,28.19,-10.5,False
115.48,46.54,9.03,24.11,-7.19,False
115.36,46.37,7.34,2.56,-7.75,False
117.59,48.07,8.6,22.6,-9.04,False
101.1,36.59,8.75,21.49,-8.18,False
151.51,87.48,10.81,33.28,-8.43,False
137.07,61.96,4.05,33.73,-2.71,False
137.44,66.1,13.62,10.64,-13.26,False
95.08,32.77,8.86,18.99,-7.09,False
117.39,47.87,4.17,2.76,-7.78,False
91.34,30.38,5.35,11.92,-6.49,False
147.18,79.39,12.06,0.09,-7.24,False
155.42,32.46,4.29,0.09,-2.91,False
152.34,92.71,7.76,0.1,-5.51,False
136.89,66.73,1.67,0.68,-3.81,False
137.96,66.73,-3.58,4.67,2.17,False
153.21,94.87,8.77,0.07,-6.39,False
151.72,84.27,3.86,0.09,-1.51,False
134.91,63.37,10.93,9.15,-8.63,False
147.85,83.59,4.2,8.62,-2.52,False
146.77,78.66,9.6,0.08,-9.64,False
135.87,63.98,5.78,0.86,-4.52,False
138.38,66.97,1.53,2.37,-4.32,False
144.43,83.59,5.04,11.25,-3.37,False
138.36,68.75,2.54,1.27,-4.35,False
153.38,87.63,5.08,0.07,-3.11,False
