total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
102.11,37.27,4.52,8.6,-4.08,False
150.51,94.99,10.05,14.65,-3.07,False
85.22,26.59,6.55,7.16,-6.29,False
154.62,94.93,10.45,5.89,-7.94,False
105.5,39.64,14.3,7.73,-12.48,False
158.33,136.37,9.84,4.88,-8.88,False
140.31,69.56,10.43,15.09,-8.12,False
157.9,100.0,7.77,0.07,-5.5,False
272.12,118.66,-7.95,4.88,-8.47,False
108.81,41.93,14.35,8.31,-12.55,False
88.18,28.51,3.98,11.23,-3.73,False
71.41,18.43,6.19,8.69,-6.1,False
149.41,96.86,18.61,18.03,-15.0,False
94.17,32.23,5.39,1.29,-3.91,False
124.88,54.09,8.86,0.09,-9.02,False
124.88,54.09,8.87,0.44,-9.01,False
129.07,57.64,11.49,9.76,-9.68,False
134.3,80.36,1.5,0.28,-4.45,False
156.48,98.85,1.5,0.1,2.7,False
146.38,78.93,8.01,9.8,-7.67,False
146.96,80.04,11.29,1.34,-10.14,False
157.94,103.8,14.18,3.05,-11.56,False
151.85,86.72,16.58,11.65,-12.62,False
126.78,88.66,1.98,3.72,-3.8,False
146.19,93.57,17.64,15.38,-14.43,False
152.07,87.6,10.7,20.25,-9.25,False
51.6,6.06,4.42,2.75,-2.68,False
153.39,91.5,15.83,15.67,-10.85,False
129.47,60.27,3.86,0.02,-5.22,False
142.42,72.3,9.19,19.48,-8.24,False
142.71,72.69,9.2,19.48,-8.18,False
97.36,34.23,5.2,1.09,-4.78,False
154.72,94.64,2.46,11.63,-4.97,False
119.55,57.25,5.76,3.75,-6.6,False
155.6,97.0,1.83,9.25,-3.72,False
96.85,33.94,6.55,8.33,-4.44,False
114.49,124.84,8.74,2.3,6.91,False
130.56,74.21,8.81,5.99,6.97,False
126.79,86.29,8.82,6.72,6.98,False
134.24,62.64,7.65,12.35,-5.65,False
154.25,93.59,9.76,8.93,-7.94,False
57.23,9.61,4.43,2.55,-2.04,False
153.05,117.66,4.46,14.88,5.07,False
76.6,17.28,5.12,15.48,-4.7,False
152.45,89.46,2.6,4.37,-4.94,False
154.77,95.18,8.37,8.46,-7.94,False
127.26,55.97,12.66,18.37,-8.65,False
126.79,86.29,8.82,6.72,6.98,False
78.92,22.88,10.5,18.72,-8.31,False
148.69,82.33,9.35,0.04,-8.31,False
154.62,95.0,9.79,7.72,-7.94,False
140.54,69.74,8.61,0.04,-7.81,False
125.29,129.37,8.72,1.54,6.9,False
45.43,2.49,7.23,0.09,-4.91,False
130.47,54.94,8.97,0.35,-7.71,False
149.29,83.09,15.68,11.97,-10.9,False
112.73,124.51,8.76,3.66,6.93,False
46.54,3.69,12.07,0.07,-9.64,False
134.72,64.19,8.31,11.61,-7.64,False
149.32,83.39,8.85,0.09,-8.33,False
49.85,7.06,7.6,4.26,-4.67,False
101.5,36.87,6.17,4.94,-4.24,False
148.09,80.96,2.65,1.78,-2.42,False
114.49,124.84,8.74,2.49,6.91,False
130.78,74.5,8.34,6.13,-4.63,False
152.91,88.16,13.1,14.58,-11.36,False
146.74,75.98,2.85,0.1,-2.53,False
116.93,54.21,8.36,0.28,-6.75,False
45.06,1.71,7.32,1.06,-4.36,False
150.34,85.14,9.94,2.17,-7.15,False
150.55,85.46,10.34,16.44,-7.88,False
142.18,90.06,15.37,15.57,-12.95,False
118.78,42.02,8.68,1.45,-7.56,False
145.25,73.48,2.85,0.1,-2.54,False
137.43,64.84,8.57,0.04,-7.71,False
147.34,79.68,11.3,7.73,-9.92,False
113.85,53.27,2.79,0.47,-2.49,False
266.39,4.37,-3.1,0.09,2.1,False
65.76,11.13,-4.38,0.09,5.52,False
155.14,95.63,6.19,14.31,-4.98,False
129.16,53.61,9.08,0.48,-7.77,False
152.69,89.96,15.8,16.24,-9.62,False
153.76,85.58,2.57,11.07,-4.66,False
113.17,53.48,2.85,0.1,-2.52,False
44.5,1.82,7.21,0.09,-4.89,False
142.34,74.7,2.42,4.26,-2.27,False
112.4,51.5,2.85,0.1,-2.53,False
44.83,1.58,12.2,21.04,-9.78,False
58.88,10.66,6.35,0.09,-4.28,False
150.57,85.61,9.95,0.08,-7.04,False
150.81,86.05,10.89,1.58,-8.39,False
154.29,91.79,15.87,16.82,-10.83,False
135.85,64.33,14.61,26.61,-12.48,False
154.75,95.24,8.49,7.69,-7.94,False
147.05,78.46,8.07,10.76,-3.67,False
68.18,14.23,-4.54,0.94,4.77,False
153.64,78.19,17.46,17.67,-13.4,False
118.36,57.66,2.59,2.34,-2.37,False
149.32,83.39,8.85,0.09,-8.33,False
147.66,79.28,9.39,1.06,-8.34,False
146.03,74.2,2.85,0.1,-2.53,False
139.81,68.87,14.72,17.62,-12.49,False
151.36,87.15,10.79,17.81,-9.47,False
154.8,94.81,6.13,13.16,-4.97,False
44.5,1.82,7.21,0.09,-4.89,False
75.22,21.09,9.21,18.93,-7.57,False
149.22,82.93,14.06,18.37,-11.75,False
153.67,92.16,2.51,2.77,-4.98,False
115.65,47.37,8.38,1.25,-6.67,False
266.39,4.37,-3.1,0.09,2.1,False
149.39,88.86,15.94,18.37,-9.87,False
150.25,84.97,9.97,1.18,-6.97,False
