total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
154.22,93.42,2.42,6.52,-4.53,False
144.28,88.77,8.78,11.92,7.05,False
100.81,36.39,5.34,7.42,-4.06,False
139.18,69.22,8.76,15.09,-8.03,False
153.33,108.11,3.87,0.09,5.43,False
126.66,55.49,17.66,6.9,-14.3,False
54.46,7.89,4.45,1.32,-2.08,False
89.05,29.1,10.35,9.86,-11.15,False
156.86,121.49,1.96,0.09,7.25,False
158.65,103.96,7.8,0.07,-5.51,False
163.11,52.46,10.11,2.52,-5.26,False
154.47,104.41,1.16,2.24,-4.57,False
56.8,9.32,4.4,5.97,-2.62,False
155.21,90.86,15.93,18.15,-10.79,False
149.78,86.64,15.88,17.58,-10.83,False
124.99,72.68,10.32,0.88,-9.23,False
133.65,62.01,6.77,9.76,-3.92,False
156.97,100.14,1.5,0.09,-4.18,False
139.5,88.83,1.91,0.78,4.92,False
142.67,72.34,8.17,9.87,-7.06,False
146.1,78.86,8.04,9.55,-7.69,False
151.81,65.21,15.64,3.05,-13.02,False
154.3,93.63,6.54,8.77,-5.66,False
139.55,68.6,8.17,16.44,-6.08,False
73.37,19.56,9.18,0.09,-7.05,False
150.7,85.75,10.09,20.25,-7.51,False
141.0,70.43,10.68,16.44,-8.24,False
155.08,95.88,10.56,4.57,-7.94,False
152.98,85.64,15.91,6.82,-11.99,False
156.15,98.04,1.5,0.1,-4.48,False
109.58,41.71,3.73,4.24,4.18,False
77.0,21.7,5.25,17.38,-4.7,False
149.52,83.64,11.45,1.34,-7.02,False
79.87,23.06,13.28,11.83,-11.08,False
155.6,97.0,1.83,9.25,-3.72,False
53.04,7.09,9.31,6.11,9.78,False
155.32,96.33,1.84,8.66,-3.72,False
130.09,80.33,10.35,5.11,-9.27,False
154.72,95.38,9.89,6.78,-7.94,False
135.69,64.19,8.41,12.35,-7.7,False
62.77,13.09,6.01,0.09,-4.04,False
140.63,69.94,13.76,16.44,-11.89,False
62.77,13.09,6.01,0.09,-4.04,False
153.05,117.66,4.46,14.88,5.07,False
46.36,2.6,7.69,2.64,-4.77,False
59.58,11.06,4.45,0.09,-2.04,False
155.27,95.94,6.96,15.36,-5.73,False
154.9,95.44,10.65,7.68,-9.17,False
97.68,35.56,3.7,9.27,-3.25,False
148.89,82.68,8.83,0.0,-8.31,False
141.09,70.54,15.58,11.79,-10.91,False
155.28,96.03,6.81,12.84,-5.71,False
101.36,36.79,6.15,4.74,-4.23,False
126.82,55.58,12.64,16.24,-8.62,False
123.66,60.64,5.72,4.28,-6.58,False
