total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
111.38,43.44,7.81,4.96,-8.58,False
113.88,45.29,9.95,5.54,-13.76,False
100.06,35.87,8.45,9.22,-7.37,False
63.66,29.18,8.55,9.22,-4.41,False
109.96,42.51,7.68,24.8,-10.57,False
118.91,49.14,9.01,25.43,-7.16,False
112.47,44.26,2.91,28.53,-1.12,False
75.92,5.24,8.73,21.51,-7.43,False
108.66,41.57,8.8,6.17,-7.73,False
50.0,6.96,2.62,29.87,1.43,False
89.57,29.34,11.84,23.06,-10.47,False
90.85,46.27,12.41,25.89,-8.63,False
94.66,32.49,14.06,25.92,-9.96,False
148.07,81.99,6.02,36.17,-4.82,False
110.38,42.97,7.98,17.81,-6.17,False
107.65,42.37,6.13,7.86,-6.8,False
89.69,33.06,9.27,22.78,-8.53,False
44.8,1.59,1.46,28.08,0.5,False
120.35,50.17,10.87,25.12,-9.45,False
130.52,59.65,12.61,1.69,-16.73,False
126.32,55.1,9.79,24.79,-11.74,False
49.19,8.7,12.46,25.22,-8.72,False
91.5,30.16,4.98,11.72,-6.11,False
118.35,48.65,9.47,21.88,-10.73,False
113.82,45.21,8.39,26.43,-7.77,False
86.5,27.49,14.93,18.44,-10.67,False
97.59,34.79,9.18,19.03,-8.59,False
146.32,77.99,6.89,31.98,-5.42,False
91.2,30.78,9.35,20.52,-8.67,False
51.9,19.43,8.45,14.17,-4.21,False
98.71,35.2,7.3,17.84,-7.97,False
146.32,77.99,7.01,31.26,-5.48,False
128.74,57.31,5.24,22.2,-1.57,False
107.96,41.15,5.71,21.01,-5.46,False
98.53,34.96,8.83,19.18,-10.22,False
113.81,45.26,7.42,28.94,-7.01,False
116.28,47.09,5.23,23.43,-5.05,False
89.47,28.4,14.61,21.48,-10.41,False
117.59,48.07,9.11,24.55,-9.46,False
95.53,33.01,9.02,12.91,-12.36,False
94.66,32.49,13.98,26.49,-9.9,False
150.41,85.23,5.42,31.98,-2.88,False
90.13,29.67,11.9,23.07,-10.52,False
65.77,17.9,8.39,13.81,-4.07,False
150.41,85.23,5.22,33.02,-2.68,False
101.43,36.82,8.43,19.77,-9.98,False
103.7,32.99,8.04,19.22,-9.58,False
44.37,1.27,9.53,27.01,-7.99,False
94.72,32.51,11.35,18.17,-7.09,False
95.51,5.75,8.29,13.99,-3.82,False
151.45,87.31,5.0,33.2,-2.43,False
95.72,33.11,5.75,9.81,-4.7,False
110.43,43.81,5.48,22.04,-5.34,False
42.74,0.18,11.99,29.29,-11.47,False
96.7,33.76,6.79,13.31,-9.39,False
151.51,87.48,10.76,32.74,-8.38,False
63.66,29.18,8.54,9.42,-4.39,False
139.59,68.64,3.01,35.58,-1.86,False
104.07,38.54,8.53,22.89,-7.97,False
109.91,43.43,10.02,25.9,-6.07,False
95.52,26.61,10.28,24.9,-6.26,False
64.9,17.41,5.13,15.56,-4.08,False
80.46,15.1,8.36,13.46,-3.99,False
90.59,33.07,5.75,9.22,-4.7,False
104.77,36.61,9.19,22.14,-8.52,False
129.13,57.59,9.52,21.35,-11.51,False
43.18,0.44,1.57,29.29,0.48,False
95.83,5.33,8.24,13.81,-2.94,False
130.17,58.62,4.68,25.03,-1.15,False
106.15,39.88,3.65,9.18,-6.69,False
87.2,25.65,12.23,19.49,-10.86,False
89.66,29.78,9.4,21.14,-8.64,False
112.62,44.38,9.21,20.96,-10.51,False
113.71,46.92,9.05,23.7,-7.26,False
93.11,22.72,10.27,25.25,-6.25,False
125.25,54.22,3.66,24.07,-1.71,False
106.88,40.43,5.76,20.58,-5.62,False
117.16,47.74,-2.81,20.91,2.47,False
118.35,48.65,10.01,24.61,-11.13,False
86.83,32.87,8.69,7.91,-4.75,False
114.87,45.99,8.2,25.76,-7.61,False
105.81,39.32,10.59,23.29,-6.5,False
52.36,20.56,8.44,13.28,-4.18,False
131.41,59.81,4.61,25.22,-1.13,False
106.88,40.43,5.58,21.46,-5.47,False
84.09,9.12,12.27,15.17,-9.46,False
118.55,45.81,-2.95,21.67,2.72,False
110.4,42.42,13.02,25.22,-9.13,False
150.94,86.34,12.23,31.64,-9.77,False
142.47,72.36,-9.36,0.09,8.75,False
93.67,20.47,4.72,0.05,-2.41,False
89.08,26.51,0.67,2.38,2.25,False
149.61,79.66,3.65,0.05,-4.43,False
81.95,8.25,2.39,1.68,2.41,False
137.3,67.33,9.86,4.46,-5.1,False
142.41,69.9,1.36,0.96,0.62,False
147.0,83.42,5.38,9.26,-2.96,False
142.77,74.22,1.5,0.03,-4.32,False
149.57,83.27,13.14,0.09,-9.46,False
135.87,63.98,5.78,0.86,-4.52,False
138.99,74.03,9.38,0.1,-5.6,False
140.51,69.8,9.45,0.0,-4.81,False
149.08,87.97,7.48,0.76,-5.31,False
149.05,78.87,7.78,0.1,-8.28,False
149.79,90.38,7.3,2.68,-5.15,False
139.33,75.38,9.67,12.11,-7.04,False
135.28,63.74,-2.36,1.35,-4.12,False
127.53,56.11,-3.22,0.03,-3.71,False
151.46,88.4,3.93,0.09,-1.54,False
144.12,71.81,1.34,0.05,0.66,False
141.24,70.75,10.11,0.49,-4.82,False
138.39,68.56,-4.4,2.5,-4.26,False
106.95,29.02,2.7,4.44,-3.8,False
150.31,87.13,13.32,23.59,-10.8,False
149.62,83.71,6.08,27.42,-3.58,False
135.63,65.03,8.97,3.89,-5.37,False
86.66,2.89,2.15,15.01,-3.51,False
92.47,27.77,7.48,13.97,-9.04,False
148.94,82.42,13.85,14.84,-11.34,False
149.62,83.71,5.71,30.3,-3.17,False
126.48,55.33,5.44,5.1,-4.07,False
151.27,86.92,13.52,20.68,-11.0,False
83.44,25.61,15.14,16.53,-10.84,False
78.82,22.8,11.48,15.32,-7.21,False
129.1,58.7,5.14,18.4,-2.96,False
104.09,42.2,6.56,16.78,-6.29,False
96.41,37.12,12.09,12.07,-8.55,False
74.82,14.38,4.16,16.96,-2.62,False
58.92,11.77,3.07,18.57,-4.51,False
110.08,42.7,5.85,15.82,-5.64,False
115.86,46.78,-2.75,18.79,2.18,False
48.98,14.35,4.32,17.62,-5.7,False
113.33,68.28,7.39,3.88,-7.69,False
100.8,37.0,12.17,11.52,-8.61,False
136.02,64.59,4.45,15.23,-2.77,False
128.34,57.01,4.52,2.4,-4.4,False
87.49,28.09,8.63,13.39,-6.84,False
113.1,44.98,8.7,14.78,-3.11,False
145.81,77.22,7.81,23.21,-5.51,False
127.06,57.53,8.65,5.57,-9.14,False
108.97,64.42,9.34,3.83,-9.31,False
130.76,54.96,4.55,7.36,-4.44,False
74.82,14.38,4.0,18.3,-2.45,False
119.33,53.84,8.65,6.0,-9.11,False
97.81,45.64,8.19,11.99,-8.14,False
90.6,49.69,7.82,9.28,-7.71,False
99.59,40.92,9.85,15.51,-9.23,False
114.55,45.81,-2.72,18.56,2.15,False
134.1,62.97,2.54,3.04,-4.32,False
131.09,59.52,9.75,4.08,-4.18,False
155.83,97.2,13.22,24.54,-10.68,False
60.06,15.25,6.92,17.83,-5.95,False
64.8,16.99,8.1,17.64,-2.42,False
149.05,82.66,11.6,21.66,-9.04,False
