total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
104.97,42.88,10.88,27.14,-9.53,False
44.19,1.16,1.84,29.86,-0.48,False
104.57,35.95,13.92,25.84,-9.85,False
106.16,39.93,8.84,25.46,-8.21,False
149.05,81.6,10.39,29.22,-8.09,False
118.61,48.85,9.92,24.48,-11.04,False
136.96,65.58,3.29,28.07,-2.21,False
51.32,5.91,13.72,22.79,-12.41,False
107.53,40.83,13.46,28.14,-9.48,False
126.14,54.99,10.89,25.23,-11.78,False
131.55,59.94,4.37,26.51,-1.02,False
117.85,48.13,11.12,4.17,-14.99,False
114.32,45.63,4.71,25.92,-4.82,False
150.73,85.83,5.77,35.03,-4.15,False
132.65,61.0,5.05,4.26,-9.0,False
118.57,48.81,9.39,25.68,-9.68,False
90.69,29.8,5.03,12.1,-6.08,False
117.65,48.1,4.17,3.75,-7.66,False
121.31,50.96,10.36,25.03,-10.5,False
138.69,67.47,9.87,3.08,-8.77,False
43.2,0.06,2.49,29.09,1.5,False
114.79,45.86,9.06,3.79,-7.99,False
150.2,84.82,5.86,35.42,-4.21,False
123.03,52.44,8.99,27.97,-7.09,False
113.75,45.17,8.24,26.85,-7.69,False
83.44,28.4,14.97,18.47,-10.7,False
89.54,29.32,11.17,17.91,-6.96,False
85.33,26.69,12.11,19.63,-10.74,False
51.31,19.83,5.28,14.17,-4.22,False
150.58,85.42,9.63,33.37,-7.33,False
131.41,59.81,5.11,22.76,-1.45,False
101.99,37.17,6.12,18.82,-5.93,False
85.61,25.33,14.88,18.6,-10.62,False
126.08,52.03,3.77,23.05,-1.8,False
118.65,48.88,-1.38,21.49,2.05,False
123.74,52.92,9.49,27.17,-11.35,False
94.66,30.23,11.8,23.45,-10.43,False
90.6,29.93,10.9,20.3,-6.75,False
87.31,32.88,8.67,9.03,-4.7,False
132.56,60.95,3.97,25.22,-2.03,False
118.91,49.14,9.02,24.86,-7.17,False
64.9,17.41,5.13,15.56,-4.08,False
95.29,32.88,5.09,11.91,-6.08,False
152.66,89.94,12.46,33.55,-9.97,False
65.77,17.9,8.35,14.52,-4.0,False
91.11,30.27,7.78,13.99,-6.7,False
87.59,28.08,9.55,20.64,-8.79,False
46.43,2.72,11.93,30.01,-11.38,False
48.98,14.35,4.62,16.64,-5.96,False
89.69,28.72,9.46,20.94,-8.7,False
103.52,38.16,9.0,20.64,-8.35,False
116.78,47.46,8.8,23.52,-9.22,False
103.7,39.34,8.26,20.81,-9.86,False
122.22,51.68,10.7,23.66,-10.78,False
102.03,37.18,8.79,21.64,-8.18,False
101.43,36.82,8.57,21.01,-10.17,False
148.41,81.56,11.91,27.71,-9.5,False
99.44,35.5,8.23,21.37,-8.76,False
121.12,50.86,9.0,28.16,-7.09,False
143.41,73.6,-0.07,35.5,1.07,False
81.54,31.87,8.58,9.03,-4.48,False
80.12,32.51,3.29,15.52,-5.59,False
126.59,55.42,8.97,29.66,-7.04,False
118.45,50.32,2.64,28.34,-0.89,False
73.23,21.87,8.51,12.74,-4.35,False
127.93,56.55,9.96,24.02,-11.91,False
104.97,42.88,10.8,26.55,-9.45,False
83.44,25.58,10.96,20.46,-6.79,False
87.2,27.84,12.04,21.59,-10.67,False
95.96,33.32,5.76,9.22,-4.71,False
49.53,24.33,3.69,15.74,-2.09,False
80.13,15.24,8.37,13.81,-4.02,False
129.25,57.76,3.55,25.61,-1.62,False
111.0,43.26,8.16,25.43,-7.59,False
107.5,40.83,7.95,25.93,-7.48,False
99.2,35.38,8.7,19.77,-10.24,False
99.2,35.38,8.62,19.24,-10.14,False
50.06,20.7,5.13,15.74,-4.1,False
118.45,50.32,2.6,28.54,-0.86,False
117.12,47.71,4.43,27.46,-4.61,False
45.22,1.85,9.62,26.99,-8.06,False
98.13,34.65,5.16,10.94,-6.25,False
130.47,55.48,8.96,29.49,-7.04,False
84.62,26.54,5.03,13.24,-6.23,False
126.59,55.42,8.96,29.84,-7.03,False
65.71,14.85,18.64,11.92,-17.4,False
51.31,19.83,5.24,14.52,-4.19,False
128.09,56.83,13.17,22.35,-10.83,False
44.91,23.01,8.5,11.96,-4.31,False
141.56,71.17,-9.33,0.09,8.75,False
112.09,19.39,4.75,0.05,2.41,False
140.1,70.63,0.94,1.86,-4.43,False
149.82,79.35,9.87,0.09,-9.78,False
162.91,32.26,4.27,0.09,-2.95,False
137.39,66.1,9.84,4.99,-5.1,False
142.49,29.08,4.93,0.09,-2.34,False
120.39,50.31,10.0,9.26,-7.45,False
152.67,86.43,3.96,0.1,-1.6,False
93.4,31.74,7.97,10.42,-5.88,False
142.41,72.33,10.92,0.1,-5.87,False
139.33,75.38,9.74,11.71,-7.1,False
135.63,64.2,2.54,1.67,-4.35,False
