lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-158.4,56.52,137.0,16112.0,-87.23100000000001,64.061,0.165,426.0,-67.09,61.66,7.69,-47.11,3.75,173.46,0.15,111.13,902.0,101.0,0.07,53.25,5.24,-5.64,-3.73,0.43,-5.42,-73.77,1.51,-5.2,92.22,0.08,23.33,156.46,2.72
-127.85,50.68,30.0,16110.0,-121.39200000000001,55.081,0.028999999999999998,190.0,-120.63,53.47,9.18,-15.26,2.13,169.82,0.17,74.37,903.0,101.0,0.09,16.73,8.85,-2.42,-2.1,0.38,-7.05,-16.61,6.76,-2.02,19.56,0.08,50.45,73.37,1.97
-157.24,57.05,23.0,16112.0,-155.864,60.542,0.034,225.0,-153.14,59.19,4.28,12.47,1.69,-90.38,0.18,312.43,901.0,111.0,8.33,8.33,4.18,0.92,-0.01,-1.69,-4.24,-10.45,4.17,-0.77,30.68,0.05,35.35,91.68,2.06
-127.58,50.33,220.0,16110.0,-98.542,29.381999999999998,0.032,284.0,-96.86,30.47,2.83,12.13,9.27,174.73,0.19,236.52,131.0,16111.0,13.72,13.72,2.76,0.59,-9.23,0.85,6.62,167.61,-6.47,1.42,149.41,0.06,0.0,193.51,2.02
-158.41,56.15,120.0,16112.0,-101.184,64.07600000000001,0.069,224.0,-96.72,67.58,16.66,58.33,-5.57,-88.74,0.19,29.28,902.0,182.0,7.73,7.73,8.75,14.18,0.12,-5.57,-12.35,44.08,8.87,8.59,52.16,0.14,71.8,122.76,2.08
-160.68,55.63,45.0,16112.0,-154.092,60.761,0.033,132.0,-152.27,59.08,10.69,-7.74,-1.51,-66.79,0.15,327.57,918.0,111.0,11.58,11.58,10.6,-1.44,0.59,-1.39,-11.55,-14.26,11.19,-2.85,33.99,0.1,12.36,96.94,2.11
-127.5,50.38,164.0,16110.0,-64.11,44.129,0.034,430.0,-66.84,43.96,10.45,-23.36,2.94,129.7,0.19,83.97,902.0,16111.0,5.89,5.89,9.59,-4.14,-1.88,2.26,-7.94,-13.97,7.71,-1.92,94.93,0.19,12.23,154.62,2.84
-158.41,56.15,10.0,16112.0,-158.306,57.7,0.027999999999999997,248.0,-156.53,56.45,5.35,2.47,1.73,-134.36,0.15,323.16,901.0,111.0,8.75,8.75,5.35,0.23,-1.21,-1.24,-4.27,-13.83,4.14,-1.02,35.09,0.05,52.06,98.82,1.98
-159.42,55.89,160.0,16112.0,-85.632,58.803000000000004,0.111,390.0,-73.27,59.92,7.83,-26.09,-0.8,78.0,0.17,85.21,902.0,16111.0,5.15,23.15,7.03,-3.44,0.17,0.78,-7.67,-20.62,7.18,-2.7,112.52,0.13,23.12,150.35,2.67
-159.42,55.89,26.0,16112.0,-157.597,59.662,0.03,186.0,-155.56,58.3,3.92,13.9,1.7,-98.35,0.18,320.06,901.0,111.0,10.33,10.33,3.8,0.94,-0.25,-1.68,-3.64,-11.81,3.56,-0.75,28.17,0.04,33.53,87.69,2.03
-160.68,55.64,101.0,16112.0,-122.81200000000001,66.387,0.077,199.0,-118.96,70.58,12.04,40.01,4.75,-92.66,0.19,15.83,926.0,182.0,8.69,8.69,9.22,7.74,-0.22,-4.74,-9.51,18.28,9.03,2.98,18.04,0.09,36.19,79.73,2.1
-160.63,55.25,159.0,16112.0,-87.601,59.119,0.127,381.0,-73.3,60.47,6.9,9.52,-3.89,-84.83,0.19,85.67,902.0,16111.0,5.03,23.34,6.81,1.14,0.35,-3.87,-7.66,-21.16,7.14,-2.76,107.48,0.14,24.01,150.45,2.67
-122.08,46.36,220.0,173.0,-55.623000000000005,19.528,0.053,1269.0,-58.36,21.15,5.05,-11.09,2.34,-125.14,0.2,124.16,131.0,101.0,2.87,20.21,4.96,-0.97,-1.35,-1.91,-4.63,-38.66,3.62,-2.89,31.64,0.06,0.0,93.22,2.37
-121.64,47.68,14.0,173.0,-119.01899999999999,50.092,0.054000000000000006,327.0,-123.68,49.38,4.37,-36.23,2.43,144.8,0.18,76.02,903.0,101.0,4.73,12.41,3.52,-2.58,-1.99,1.4,-1.94,-37.74,1.53,-1.18,9.36,0.02,41.64,56.75,1.46
-120.98,48.2,175.0,173.0,-57.858999999999995,39.821999999999996,0.064,566.0,-62.26,41.38,10.34,-32.07,1.95,-160.91,0.2,114.83,902.0,101.0,0.29,23.35,8.76,-5.49,-1.84,-0.64,-9.24,-41.53,6.92,-6.13,76.86,0.17,7.8,127.77,2.56
-121.37,47.5,164.0,173.0,-60.356,37.635999999999996,0.046,627.0,-63.39,38.81,0.87,-43.04,3.42,160.48,0.18,59.79,101.0,16111.0,0.09,0.09,0.64,-0.59,-3.22,1.14,2.65,168.1,-2.59,0.55,95.9,0.01,10.52,154.71,2.84
-130.48,55.4,30.0,16124.0,-124.087,59.843,0.11599999999999999,190.0,-120.63,53.47,9.18,-15.26,2.13,169.82,0.17,74.37,903.0,101.0,0.09,16.73,8.85,-2.42,-2.1,0.38,-7.05,-16.61,6.76,-2.02,19.56,0.08,50.45,73.37,1.97
-121.5,48.01,20.0,173.0,-117.40299999999999,51.388000000000005,0.057999999999999996,304.0,-122.51,50.62,6.45,-29.01,2.16,162.83,0.19,75.18,903.0,101.0,2.06,13.91,5.64,-3.13,-2.06,0.64,-4.35,-34.61,3.58,-2.47,12.16,0.04,41.78,61.35,1.57
-109.63,44.02,98.0,101.0,-73.773,45.971000000000004,0.20199999999999999,445.0,-89.31,51.52,8.55,-41.86,4.95,-174.34,0.2,118.34,902.0,101.0,19.48,38.73,6.37,-5.7,-4.93,-0.49,-6.33,-76.92,1.43,-6.17,71.8,0.12,33.04,142.06,2.13
-101.95,19.0,137.0,215.0,-59.982,11.462,0.055999999999999994,551.0,-63.27,11.44,6.21,-63.02,-1.26,70.74,0.16,92.87,902.0,2000.0,1.69,21.79,2.82,-5.54,0.42,1.19,-5.42,-53.01,3.26,-4.33,80.97,0.04,15.65,146.96,2.64
-102.08,19.08,109.0,215.0,-69.539,17.535,0.035,652.0,-71.04,16.12,14.69,25.62,6.33,-119.41,0.19,42.53,902.0,101.0,1.34,1.34,13.25,6.35,-3.11,-5.52,-10.17,4.68,10.13,0.83,81.71,0.25,30.65,148.51,2.46
-137.08,59.02,116.0,16122.0,-79.273,62.105,0.015,352.0,-81.1,62.01,15.02,16.97,4.79,-138.08,0.16,82.89,902.0,101.0,4.3,53.91,14.36,4.38,-3.56,-3.2,-10.87,6.06,10.81,1.15,69.79,0.22,52.63,140.51,2.31
