total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
147.1,76.86,2.94,1.25,-2.62,False
119.55,57.25,2.54,2.86,-2.34,False
63.77,13.51,4.49,0.09,4.96,False
153.76,92.37,16.98,17.51,-13.63,False
110.34,50.03,2.9,0.67,-2.57,False
134.99,62.72,8.59,1.64,-7.8,False
109.93,42.73,1.54,11.95,4.54,False
151.83,83.03,10.07,10.68,-9.08,False
120.04,51.75,8.01,0.09,-7.23,False
149.86,84.29,11.42,2.92,-7.11,False
130.44,58.93,14.57,0.61,-10.76,False
61.56,7.81,4.37,3.84,-1.96,False
149.71,83.96,11.22,4.34,-7.22,False
155.71,84.89,7.25,2.89,-4.78,False
150.03,84.72,9.48,1.27,-8.42,False
62.67,12.5,-8.87,0.07,9.28,False
116.83,43.67,13.71,0.09,-11.57,False
124.68,54.14,13.69,4.63,-11.73,False
138.44,67.29,15.55,11.61,-10.91,False
65.76,11.13,-4.38,0.09,5.52,False
157.46,103.12,14.32,0.07,-11.64,False
131.42,60.04,8.49,7.5,7.05,False
135.99,64.5,12.16,14.7,-10.21,False
149.71,83.96,11.21,4.54,-7.24,False
153.74,92.38,8.57,2.88,7.13,False
75.79,18.03,-4.71,0.06,4.78,False
153.74,85.98,1.31,10.79,-4.66,False
151.19,56.98,15.57,0.07,-12.95,False
48.28,3.32,9.82,0.09,-7.46,False
156.46,92.22,7.69,0.07,-5.42,False
57.02,9.52,9.07,18.94,-7.38,False
139.94,68.81,8.63,0.87,-7.88,False
155.02,95.5,7.62,13.12,-7.86,False
157.9,100.0,7.77,0.07,-5.5,False
153.49,90.99,15.86,18.18,-9.74,False
597.02,154.84,-1.52,1.76,5.08,False
85.54,27.3,3.48,0.1,-3.18,False
154.94,95.26,6.63,12.19,-7.83,False
120.21,50.09,10.1,0.79,-8.77,False
122.48,51.22,6.1,0.61,-4.93,False
139.13,68.3,8.53,8.08,7.06,False
122.62,52.07,6.9,0.61,-7.09,False
134.73,63.13,12.32,11.97,-10.04,False
146.11,78.03,15.79,16.05,-10.87,False
158.02,102.78,14.22,2.89,-11.57,False
141.91,71.57,15.76,16.44,-10.88,False
155.89,97.44,9.01,1.15,-7.91,False
151.07,86.89,9.99,10.24,-8.91,False
48.12,3.79,4.46,0.09,-2.13,False
1353.33,122.98,11.71,5.32,-4.66,False
134.24,62.64,7.68,12.53,-5.67,False
145.54,75.96,8.64,0.91,-7.9,False
153.5,91.76,15.39,13.6,-12.64,False
141.0,70.43,10.68,16.44,-8.24,False
156.26,99.86,10.84,2.24,-9.16,False
63.4,13.49,5.12,15.67,-4.73,False
151.94,88.4,9.58,11.21,-7.69,False
124.99,72.68,10.33,0.1,-9.24,False
146.24,77.91,7.56,7.6,-4.94,False
55.2,8.42,9.79,4.1,-7.45,False
148.27,94.84,8.83,9.21,7.02,False
136.15,64.71,15.49,11.44,-10.91,False
153.0,60.32,16.85,3.7,-11.77,False
150.02,84.53,9.98,0.08,-7.01,False
146.39,77.43,9.74,6.11,-8.68,False
98.33,34.85,5.58,0.09,-3.96,False
152.27,89.09,9.53,10.05,-7.73,False
104.81,39.09,1.6,12.71,4.51,False
155.67,100.66,14.91,0.07,-11.88,False
76.75,21.63,3.19,0.1,-2.09,False
98.31,34.87,4.72,0.1,-3.23,False
151.19,56.98,15.57,0.07,-12.95,False
147.29,91.11,14.38,25.32,-12.32,False
154.47,94.03,2.82,11.82,-4.96,False
157.9,100.0,7.77,0.07,-5.5,False
158.65,103.96,7.8,0.07,-5.51,False
156.76,102.13,14.36,0.07,-11.64,False
146.2,87.33,14.27,24.36,-12.27,False
137.11,83.3,10.34,6.05,-9.27,False
154.62,95.0,9.83,7.35,-7.94,False
61.75,12.44,13.38,28.95,-11.02,False
149.86,96.62,7.41,14.08,4.98,False
75.79,18.03,-4.71,0.06,4.78,False
47.69,4.84,6.97,0.01,-4.65,False
122.15,68.69,10.33,0.1,-9.23,False
151.59,87.72,10.96,12.13,-7.63,False
147.97,85.87,7.06,13.65,-4.89,False
52.92,6.87,4.46,1.32,-2.09,False
143.68,74.04,15.72,14.9,-10.89,False
