total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
124.15,53.29,2.92,28.93,-4.3,False
123.1,52.41,2.99,29.52,-4.31,False
118.61,48.85,9.92,24.48,-11.04,False
106.16,39.93,8.84,25.46,-8.21,False
118.45,50.32,2.64,28.34,-0.89,False
100.41,38.5,5.79,9.22,-4.74,False
96.38,33.58,11.67,25.22,-10.3,False
46.9,1.3,12.87,19.31,-9.23,False
109.74,42.37,6.57,6.12,-7.11,False
115.33,46.2,6.24,4.19,-5.19,False
108.72,41.69,5.33,22.75,-5.29,False
117.69,48.08,7.14,27.55,-6.75,False
106.07,39.85,10.42,25.59,-6.35,False
97.25,33.97,10.52,22.44,-6.45,False
114.53,45.94,13.31,16.33,-11.06,False
115.98,46.92,9.11,25.56,-7.31,False
148.07,81.99,6.23,35.19,-4.96,False
113.82,45.21,8.37,26.23,-7.74,False
118.52,48.72,7.01,26.86,-6.66,False
128.01,56.61,9.11,2.39,-8.63,False
106.99,53.2,3.07,27.59,4.2,False
112.01,43.82,8.85,3.99,-5.09,False
156.13,98.27,12.17,30.63,-9.68,False
118.73,48.94,-3.04,24.34,3.16,False
59.99,12.99,9.58,25.63,-5.72,False
128.23,56.86,8.9,30.89,-6.93,False
99.66,35.69,8.28,17.76,-9.75,False
97.36,34.19,7.09,18.46,-9.44,False
149.68,84.82,6.38,33.37,-4.62,False
90.6,29.93,10.97,19.76,-6.8,False
107.17,34.0,8.63,17.9,-10.08,False
88.82,28.86,8.3,16.27,-11.36,False
95.21,32.85,7.91,17.38,-9.36,False
110.43,39.85,5.7,20.97,-5.5,False
112.11,44.04,4.46,19.83,-4.85,False
42.94,0.36,1.88,30.47,-0.5,False
99.22,35.36,6.74,11.77,-9.5,False
92.2,30.97,5.54,13.45,-6.74,False
93.11,22.72,10.3,25.06,-6.27,False
88.58,28.72,9.37,22.13,-8.62,False
105.1,39.21,8.89,26.27,-8.19,False
85.27,26.73,14.89,19.58,-10.63,False
110.43,43.81,5.3,22.98,-5.21,False
125.25,54.22,3.63,24.24,-1.67,False
91.11,30.27,7.7,14.52,-6.63,False
87.58,28.13,11.97,21.2,-10.59,False
86.5,27.49,14.71,20.39,-10.49,False
113.37,44.92,8.22,25.65,-7.62,False
110.64,41.38,-2.79,19.32,2.32,False
95.51,5.75,8.29,13.99,-3.82,False
96.97,35.36,6.5,14.35,-9.02,False
127.84,56.99,2.81,27.56,-1.02,False
85.32,27.1,5.67,13.08,-6.85,False
127.93,56.55,10.02,23.44,-11.99,False
